TOKEN,NE-COARSE-LIT
# language = en,
# newspaper = sn83030483,
# date = 1790-01-02,
# document_id = sn83030483-1790-01-02-a-i0004,
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/527,279,409,29/full/0/default.jpg",
FROM,O
A,O
VIRGINIA,B-loc
PAPER,O
.,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/296,342,708,38/full/0/default.jpg",
To,O
his,O
EXCELLENCY,O
the,O
GOVERNOR,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/665,385,138,33/full/0/default.jpg",
GINIA,O
.,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/630,429,495,40/full/0/default.jpg",
NEW,B-loc
-,I-loc
YORK,I-loc
",",O
SEPT,B-time
.,I-time
28,I-time
",",I-time
1780,I-time
.,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/374,466,108,34/full/0/default.jpg",
SIR,O
",",O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/300,505,865,74/full/0/default.jpg",
W,O
E,O
have,O
long,O
waited,O
in,O
anxious,O
expectations,O
",",O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/414,546,751,46/full/0/default.jpg",
of,O
having,O
it,O
in,O
our,O
power,O
to,O
tranlinit,O
effec,O
¬,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/296,587,869,37/full/0/default.jpg",
tual,O
Amendments,O
to,O
the,O
Conftitution,O
of,O
the,O
Uni,B-loc
¬,I-loc
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790010201%2F0004.jp2/297,626,871,47/full/0/default.jpg",
ted,I-loc
Stares,I-loc
",",O
and,O
it,O
is,O
with,O
