TOKEN,NE
The,0
original,0
sheet,0
(,0
consisting,0
of,0
4,0
pages,0
),0
has,0
been,0
torn,0
in,0
half,0
",",0
removing,0
the,0
first,0
half,0
of,0
the,0
letter,0
along,0
with,0
paper,0
from,0
the,0
left-hand,0
margin,0
of,0
this,0
sheet,0
.,0
As,0
a,0
result,0
",",0
a,0
number,0
of,0
characters,0
are,0
missing,0
at,0
the,0
beginning,0
of,0
subsequent,0
lines,0
.,0
26,0
De,0
ar,0
A,B-pers
Maria,I-pers
goes,0
with,0
me,0
",",0
Mrs.,B-pers
Devaynes,I-pers
gave,0
m,0
e,0
the,0
tickets,0
",",0
it,0
is,0
Mr.,B-pers
Smith,I-pers
s,0
benefit,0
.,0
On,0
Wednesday,0
we,0
go,0
to,0
Sunning,B-place
hill,I-place
for,0
a,0
few,0
days,0
.,0
As,0
you,0
like,0
anecdotes,0
I,0
will,0
tell,0
you,0
one,0
of,0
two,0
gen,0
tlemen,0
of,0
the,0
City,0
",",0
the,0
one,0
is,0
a,0
Mr.,B-pers
Skinner,I-pers
",",0
the,0
othe,0
r,0
a,0
Mr.,B-pers
Dunford,I-pers
",",0
who,0
is,0
a,0
very,0
busy,0
meddling,0
man,0
",",0
&,0
is,0
always,0
finding,0
fault,0
with,0
his,0
neighbour,0
--,0
The,0
late,0
Lord,0
Mayor,0
;,0
Mr,B-pers
Clarke,I-pers
(,0
who,0
is,0
a,0
very,0
worthy,0
man,0
),0
as,0
soon,0
as,0
his,0
Mayoralty,0
was,0
out,0
",",0
was,0
call,0
'd,0
to,0
acco,0
unt,0
by,0
Mr,B-pers
..,I-pers
Dunford,I-pers
who,0
charged,0
him,0
with,0
not,0
allowing,0
the,0
prisoners,0
in,0
Newgate,0
what,0
was,0
their,0
due,0
",",0
&,0
he,0
brought,0
as,0
a,0
proof,0
a,0
number,0
of,0
Butchers,0
&,0
Bakers,0
",",0
who,0
by,0
their,0
account,0
",",0
so,0
far,0
from,0
MrClarke,B-pers
defrauding,0
them,0
",",0
that,0
he,0
gave,0
them,0
more,0
than,0
is,0
usual,0
&,0
chiefly,0
at,0
his,0
own,0
expence,0
;,0
the,0
court,0
which,0
amounted,0
to,0
about,0
180,0
citizens,0
",",0
wish,0
'd,0
to,0
rebuke,0
Mr.,B-pers
Dunford,I-pers
very,0
severely,0
",",0
Mr.,B-pers
Skinner,I-pers
got,0
up,0
and,0
said,0
Gentlemen,0
",",0
give,0
me,0
leave,0
to,0
tell,0
you,0
what,0
rebuke,0
I,0
would,0
wish,0
you,0
to,0
paſs,0
upon,0
Mr.,B-pers
D,I-pers
......,I-pers
When,0
I,0
was,0
a,0
boy,0
of,0
thirteen,0
my,0
Mother,0
was,0
left,0
a,0
widow,0
",",0
she,0
put,0
me,0
an,0
apprentice,0
in,0
Newgate,0
",",0
but,0
before,0
I,0
went,0
",",0
she,0
said,0
Tom,B-pers
",",0
theirthere,0
are,0
three,0
things,0
which,0
I,0
wish,0
you,0
always,0
to,0
bear,0
in,0
your,0
mind,0
",",0
the,0
first,0
is,0
to,0
remember,0
that,0
whatsoever,0
money,0
paſses,0
through,0
your,0
hands,0
is,0
sacred,0
&,0
let,0
yr,0
.,0
diſstreſsesdistresses,0
be,0
what,0
they,0
will,0
must,0
never,0
be,0
touch,0
'd,0
by,0
you,0
",",0
secondly,0
speak,0
not,0
ill,0
nor,0
do,0
no,0
mischief,0
to,0
thy,0
neighbour,0
",",0
but,0
if,0
you,0
can,0
speak,0
well,0
of,0
him,0
or,0
can,0
help,0
him,0
do,0
it,0
",",0
&,0
thirdly,0
try,0
to,0
make,0
yourself,0
as,0
happy,0
as,0
people,0
in,0
general,0
try,0
to,0
make,0
themselves,0
Miserable,0
",",0
&,0
you,0
will,0
be,0
a,0
very,0
happy,0
man,0
",",0
it,0
Affected,0
Mr.,B-pers
Dunford,I-pers
so,0
much,0
that,0
he,0
burst,0
into,0
tears,0
",",0
the,0
court,0
were,0
so,0
much,0
pleased,0
with,0
it,0
",",0
that,0
he,0
really,0
went,0
an,0
without,0
being,0
further,0
rebuked,0
.,0
Mrs.,B-pers
L,I-pers
..,I-pers
desires,0
her,0
Affectionate,0
compts,0
.,0
to,0
you,0
&,0
my,0
Brother,0
.,0
&,0
I,0
remain,0
your,0
ever,0
obliged,0
&,0
affectionate,0
M,B-pers
:,I-pers
G——r,I-pers
Let,0
me,0
have,0
an,0
answer,0
about,0
Sally,B-pers
as,0
I,0
feel,0
quite,0
interested,0
for,0
her,0
.,0
--,0
This,0
postscript,0
is,0
written,0
upside,0
down,0
at,0
the,0
bottom,0
of,0
the,0
sheet,0
.,0
It,0
has,0
been,0
moved,0
from,0
its,0
original,0
position,0
to,0
its,0
logical,0
place,0
in,0
the,0
text,0
.,0
Mrs,B-pers
..,I-pers
Dickenson,I-pers
at,0
Sir,B-pers
W,I-pers
:,I-pers
Wake,I-pers
s,0
A,0
number,0
4,0
has,0
been,0
written,0
across,0
the,0
address,0
in,0
ink,0
",",0
indicating,0
postage,0
due,0
.,0
Courteen,B-place
Hall,I-place
Northampton,B-place
Bishop,0
mark,0
dated,0
15,0
March,0
",",0
in,0
black,0
ink,0
.,0
Seal,0
",",0
in,0
black,0
wax,0
.,0
