TOKEN,NE
My,0
dear,0
",",0
I,0
send,0
you,0
two,0
Tickets,0
for,0
tomorrow,0
for,0
the,0
Eidouranion,0
A,0
kind,0
of,0
transparent,0
orrery,0
",",0
or,0
magic,0
lantern,0
",",0
used,0
in,0
astronomical,0
lectures,0
",",0
a,0
precursor,0
of,0
the,0
modern,0
planetarium,0
.,0
Adam,0
Walker,0
(,0
1730/1-1821,0
),0
",",0
the,0
maker,0
of,0
the,0
original,0
eidouranion,0
",",0
began,0
exhibiting,0
his,0
device,0
in,0
the,0
1760s,0
and,0
had,0
moved,0
to,0
London,0
in,0
1781,0
.,0
(,0
For,0
more,0
on,0
Walker,0
's,0
career,0
",",0
see,0
Jan,0
Golinski,0
",",0
'Sublime,0
Astronomy,0
:,0
The,0
Eidouranion,0
of,0
Adam,0
Walker,0
and,0
His,0
Sons,0
',0
",",0
Huntington,0
Library,0
Quarterly,0
80:1,0
Spring,0
2017,0
.,0
),0
--,0
Mr,B-pers
Walker,I-pers
sent,0
them,0
to,0
me,0
but,0
the,0
Oratorio,0
prevents,0
me,0
going,0
.,0
if,0
you,0
intend,0
making,0
use,0
of,0
either,0
or,0
both,0
--,0
keep,0
them,0
--,0
if,0
not,0
return,0
them,0
to,0
Mr,B-pers
Walker,I-pers
--,0
he,0
did,0
not,0
know,0
your,0
addreſs,0
--,0
it,0
is,0
to,0
be,0
at,0
the,0
Little,0
Theatre,0
",",0
Haymarket,0
tomorrow,0
--,0
very,0
well,0
worth,0
seeing,0
--,0
Price,0
5,0
s,0
--,0
adieu,0
how,0
are,0
you,0
?,0
My,0
throat,0
very,0
sore,0
--,0
yours,0
CMG,B-pers
--,0
1,0
6,0
7,0
th,0
-,0
March,0
1785,0
This,0
annotation,0
appears,0
to,0
the,0
left,0
of,0
the,0
salutation,0
.,0
ning,0
The,0
back,0
of,0
the,0
note,0
is,0
not,0
visible,0
on,0
the,0
image,0
here,0
but,0
can,0
be,0
seen,0
behind,0
the,0
notes,0
pasted,0
on,0
the,0
back,0
of,0
this,0
document,0
in,0
HAM/1/15/1/4,0
p.1,0
.,0
It,0
may,0
say,0
something,0
along,0
the,0
lines,0
of,0
'Evening,0
',0
or,0
'Morning,0
',0
",",0
indicating,0
the,0
moment,0
that,0
this,0
note,0
was,0
written,0
.,0
The,0
rest,0
of,0
the,0
address,0
panel,0
can,0
not,0
at,0
present,0
be,0
viewed,0
due,0
to,0
how,0
the,0
notes,0
have,0
been,0
pasted,0
together,0
.,0
3,0
