TOKEN,NE
27,0
The,0
beginning,0
of,0
the,0
note,0
is,0
missing,0
.,0
could,0
form,0
no,0
judgment,0
--,0
Their,0
exterior,0
was,0
not,0
favorable,0
.,0
at,0
least,0
they,0
would,0
not,0
shine,0
in,0
a,0
fine,0
Ladys,0
drawing,0
Room,0
Mr.,B-pers
Montagu,I-pers
was,0
attentive,0
",",0
polite,0
",",0
yet,0
silent,0
&,0
took,0
no,0
part,0
in,0
conversation,0
.,0
his,0
Tutor,0
--,0
I,0
could,0
make,0
nothing,0
offof,0
--,0
his,0
countenance,0
said,0
nothing,0
",",0
&,0
I,0
did,0
not,0
hear,0
ye,0
.,0
sound,0
of,0
his,0
voice,0
.,0
I,0
left,0
them,0
at,0
8,0
&,0
return,0
'd,0
home,0
I,0
found,0
a,0
sober,0
Whist,0
party,0
",",0
at,0
wch,0
.,0
my,0
amiable,0
friend,0
Mrs.,B-pers
Jackson,I-pers
aſsisted,0
--,0
After,0
Supper,0
I,0
enjoy,0
'd,0
a,0
long,0
tête,0
a,0
tête,0
--,0
ye,0
.,0
Subject,0
was,0
America,B-place
as,0
I,0
intend,0
continuing,0
to,0
write,0
in,0
this,0
Manner,0
keep,0
these,0
scrawls,0
it,0
will,0
serve,0
sometime,0
hence,0
to,0
recall,0
past,0
days,0
&,0
furnish,0
us,0
subjects,0
of,0
conversation,0
See,0
also,0
HAM/1/15/2/4,0
(,0
3,0
),0
.,0
God,0
Bleſs,0
You,0
my,0
friend,0
I,0
recd,0
Your,0
letter,0
directed,0
here,0
