TOKEN,NE
at,0
3,0
--,0
A,B-pers
M,I-pers
came,0
&,0
took,0
leave,0
of,0
me,0
as,0
she,0
was,0
going,0
to,0
MrsJackson,B-pers
s,0
&,0
I,0
should,0
not,0
see,0
her,0
all,0
day,0
--,0
had,0
Wm,B-pers
.,I-pers
Benn,I-pers
&,0
got,0
him,0
to,0
write,0
answers,0
to,0
notes,0
&,0
c,0
--,0
after,0
I,0
was,0
dreſsed,0
scribbled,0
in,0
my,0
diary,0
--,0
Miſs,B-pers
Palmer,I-pers
call,0
'd,0
but,0
was,0
was,0
not,0
let,0
in,0
as,0
I,0
was,0
dreſsing,0
--,0
A,0
little,0
before,0
5,0
Lord,B-pers
Stormont,I-pers
s,0
Charriot,0
came,0
for,0
me,0
went,0
there,0
to,0
dinner,0
--,0
only,0
Lady,B-pers
S——,I-pers
Mr.,B-pers
Nicholson,I-pers
(,0
Mr,B-pers
Murray,I-pers
s,0
tutor,0
&,0
me,0
--,0
the,0
3,0
boys,0
came,0
down,0
to,0
desert,0
--,0
Mr.,B-pers
N,I-pers
.,I-pers
&,0
they,0
left,0
us,0
soon,0
--,0
Lady,0
S,0
&,0
I,0
went,0
upstairs,0
&,0
had,0
a,0
comfortable,0
tête,0
a,0
tête,0
till,0
near,0
9,0
--,0
she,0
gave,0
me,0
½,0
a,0
Guinea,0
for,0
my,0
poor,0
Woman,0
--,0
we,0
talk,0
'd,0
of,0
ye,0
.,0
Royal,0
family,0
--,0
&,0
c,0
&,0
c,0
.,0
Lord,B-pers
Stormont,I-pers
came,0
in,0
for,0
10,0
Minutes,0
before,0
I,0
came,0
away,0
--,0
told,0
us,0
Wales,B-pers
was,0
better,0
(,0
he,0
has,0
been,0
very,0
ill,0
again,0
&,0
if,0
he,0
goes,0
on,0
as,0
he,0
ha,0
d,0
s,0
done,0
it,0
is,0
thought,0
he,0
will,0
fall,0
a,0
Victim,0
to,0
his,0
irregularities,0
.,0
--,0
A,0
little,0
after,0
9,0
left,0
Ld,B-pers
.,I-pers
St,I-pers
.,I-pers
's,0
had,0
his,0
Chariot,0
--,0
went,0
to,0
Mrs.,B-pers
Burrows,I-pers
--,0
a,0
large,0
party,0
&,0
few,0
People,0
I,0
knew,0
.,0
ex,0
Conversed,0
wth,0
.,0
Young,B-pers
Mr.,I-pers
Cambridge,I-pers
Miſs,B-pers
C,I-pers
Smith,I-pers
M,0
&,0
a,0
few,0
others,0
.,0
At,0
½,0
past,0
ten,0
was,0
brought,0
home,0
by,0
Mr,B-pers
..,I-pers
C.,I-pers
Smith,I-pers
&,0
his,0
daughter,0
--,0
.,0
sat,0
up,0
½,0
an,0
hour,0
wrote,0
Notes,0
--,0
Miſs,B-pers
C,I-pers
.,I-pers
was,0
gone,0
to,0
bed,0
--,0
A,B-pers
M,I-pers
would,0
not,0
come,0
into,0
ye,0
.,0
room,0
when,0
she,0
came,0
home,0
as,0
she,0
had,0
been,0
at,0
Mr.,B-pers
Jackson,I-pers
s,0
Where,0
Fanny,B-pers
Jackson,I-pers
was,0
recovering,0
from,0
smallpox,0
inoculation,0
less,0
than,0
a,0
week,0
earlier,0
(,0
see,0
HAM/2/8,0
p.99,0
),0
.,0
--,0
