TOKEN,NE
Bristol,B-place
24,0
June,0
1783,0
My,0
dear,0
Friend,0
The,0
reasons,0
why,0
I,0
did,0
not,0
write,0
to,0
you,0
on,0
friday,0
evening,0
from,0
Devizes,B-place
were,0
threefold,0
",",0
as,0
M,0
r,0
.,0
Vellum,0
says,0
.,0
A,0
character,0
in,0
Joseph,0
Addison,0
's,0
play,0
The,0
Drummer,0
(,0
premiered,0
in,0
1716,0
and,0
revived,0
in,0
1762,0
),0
.,0
Vellum,0
is,0
a,0
steward,0
who,0
",",0
having,0
agreed,0
that,0
‘,0
[,0
t,0
],0
here,0
is,0
nothing,0
more,0
requisite,0
in,0
Business,0
than,0
Dispatch,0
’,0
",",0
ironically,0
delays,0
his,0
master,0
by,0
his,0
thoughts,0
on,0
the,0
latter,0
",",0
observing,0
that,0
‘,0
the,0
Benefit,0
that,0
attends,0
it,0
is,0
fourfold,0
’,0
.,0
(,0
Joseph,B-pers
Addison,I-pers
",",0
The,0
Drummer,0
:,0
or,0
",",0
The,0
Haunted,0
House,0
.,0
London,0
:,0
Company,0
of,0
Booksellers,0
",",0
1733,0
",",0
4,0
:,0
ii,0
",",0
p.88,0
),0
.,0
In,0
the,0
first,0
place,0
there,0
was,0
no,0
post,0
went,0
out,0
that,0
night,0
;,0
secondly,0
I,0
did,0
not,0
stay,0
at,0
Devizes,B-place
as,0
I,0
had,0
proposed,0
",",0
but,0
came,0
on,0
to,0
Bath,B-place
to,0
sleep,0
",",0
a,0
nd,0
thirdly,0
I,0
did,0
not,0
meet,0
Dr.,B-pers
Stonhouse,I-pers
",",0
as,0
the,0
e,0
xtreme,0
badneſs,0
of,0
the,0
weather,0
prevented,0
his,0
c,0
oming,0
to,0
me,0
",",0
a,0
loſs,0
I,0
regretted,0
the,0
leſs,0
",",0
as,0
I,0
d,0
id,0
not,0
paſs,0
the,0
evening,0
there,0
.,0
I,0
had,0
not,0
t,0
he,0
bonne,0
fortune,0
to,0
see,0
the,0
first,0
Edition,0
of,0
t,0
hat,0
excellent,0
Epigram,0
on,0
the,0
Window,0
",",0
which,0
Mr.,B-pers
Pepys,I-pers
directed,0
me,0
to,0
search,0
out,0
.,0
--,0
My,0
regret,0
at,0
leaving,0
London,B-place
was,0
rendered,0
much,0
more,0
lively,0
by,0
having,0
spent,0
the,0
last,0
day,0
of,0
my,0
sejour,0
there,0
so,0
delightfully,0
.,0
And,0
yet,0
it,0
was,0
very,0
pleasant,0
to,0
me,0
to,0
revolve,0
in,0
my,0
mind,0
the,0
kind,0
and,0
affectionate,0
manner,0
in,0
which,0
I,0
was,0
taken,0
leave,0
of,0
by,0
so,0
many,0
amiable,0
and,0
excellent,0
persons,0
whom,0
I,0
so,0
warmly,0
love,0
and,0
esteem,0
.,0
--,0
That,0
my,0
friends,0
often,0
flatter,0
me,0
",",0
I,0
am,0
perswaded,0
I,0
ought,0
to,0
believe,0
",",0
and,0
yet,0
I,0
cordially,0
embrace,0
all,0
their,0
kindneſs,0
to,0
me,0
upon,0
Hamlet,0
's,0
principle,0
--,0
“,0
Why,0
what,0
preferment,0
can,0
they,0
hope,0
from,0
me,0
”,0
?,0
Shakespeare,B-pers
Hamlet,0
3.2,0
.,0
I,0
staid,0
at,0
Bath,B-place
the,0
greatest,0
part,0
of,0
Saturday,0
",",0
but,0
cou,0
'd,0
not,0
find,0
an,0
opportunity,0
to,0
see,0
Miſs,B-pers
Cooper,I-pers
",",0
Miſs,B-pers
Bowdler,I-pers
",",0
or,0
any,0
of,0
my,0
