TOKEN,NE
To,0
judge,0
from,0
the,0
datelines,0
",",0
these,0
are,0
in,0
fact,0
copies,0
of,0
two,0
separate,0
letters,0
.,0
29,0
3,0
d,0
.,0
Decbr,0
.,0
sent,0
I,0
went,0
with,0
Miſs,B-pers
T,I-pers
.,I-pers
to,0
Lady,B-pers
Spencer,I-pers
s,0
Aſsembly,0
a,0
great,0
deal,0
of,0
Bon,0
ton,0
--,0
but,0
ye,0
.,0
apartments,0
were,0
not,0
so,0
filled,0
as,0
I,0
have,0
seen,0
them,0
",",0
ye,0
.,0
Ducheſs,B-pers
of,I-pers
Devonshire,I-pers
was,0
in,0
great,0
Beauty,0
--,0
I,0
conversed,0
chiefly,0
with,0
my,0
relation,0
Lady,B-pers
Claremont,I-pers
--,0
Lady,B-pers
Hartford,I-pers
--,0
Miſs,B-pers
Thynne,I-pers
&,0
Ly,B-pers
Spencer,I-pers
--,0
upon,0
ye,0
.,0
whole,0
I,0
paſsed,0
rather,0
an,0
agreeable,0
Eveg,0
.,0
&,0
c,0
&,0
c,0
&,0
c,0
Conclusion,0
29,0
Sent,0
Sunday,0
Morng,0
5,0
th,0
.,0
Decbr,0
.,0
I,0
have,0
written,0
nothing,0
",",0
but,0
your,0
Meſsenger,0
insiſts,0
upon,0
my,0
writing,0
I,0
am,0
well,0
--,0
&,0
toujours,0
de,0
Même,0
Adieu,0
An,0
image,0
of,0
a,0
sprig,0
of,0
holly,0
",",0
in,0
watercolours,0
",",0
appears,0
to,0
the,0
right,0
of,0
the,0
body,0
of,0
the,0
text,0
.,0
