TOKEN,NE
This,0
note,0
appears,0
in,0
Llanover,0
(,0
1862,0
:,0
14,0
),0
.,0
x,0
9a,0
St,0
James,0
's,0
Place,0
30,0
Ap,0
1781,0
My,0
Dear,0
Miſs,B-pers
Hamilton,I-pers
I,0
take,0
the,0
Liberty,0
of,0
sending,0
a,0
piece,0
of,0
Antiquity,0
to,0
add,0
to,0
your,0
collection,0
",",0
tho,0
I,0
fear,0
it,0
is,0
much,0
leſs,0
Valuable,0
than,0
a,0
piece,0
of,0
Spar,0
or,0
a,0
lump,0
of,0
Mundic,0
.,0
In,0
the,0
1700s,0
this,0
term,0
was,0
often,0
used,0
to,0
refer,0
to,0
pyrite,0
or,0
'fool,0
's,0
gold,0
',0
.,0
if,0
you,0
will,0
find,0
a,0
corner,0
for,0
it,0
",",0
and,0
sometimes,0
look,0
on,0
it,0
with,0
a,0
partial,0
Eye,0
",",0
you,0
will,0
most,0
agreeable,0
flatter,0
and,0
Gratify,0
your,0
most,0
Affectte,0
&,0
much,0
obliged,0
hum,0
ble,0
.,0
Sert,0
MDelany,B-pers
my,0
Eyes,0
hardly,0
open,0
but,0
am,0
pretty,0
well,0
