TOKEN,NE
The,0
first,0
image,0
is,0
of,0
an,0
archival,0
note,0
with,0
basic,0
metadata,0
",",0
the,0
location,0
in,0
the,0
Yale,0
Edition,0
of,0
Horace,0
Walpole,0
's,0
correspondence,0
",",0
and,0
the,0
provenance,0
of,0
the,0
document,0
.,0
This,0
note,0
appears,0
in,0
Lewis,0
(,0
1937-83,0
:,0
XXXI,0
",",0
231,0
),0
.,0
Tuesday,0
3,0
o'clock,0
7,0
th,0
.,0
June,0
1785,0
.,0
The,0
editors,0
of,0
Lewis,0
(,0
1937-83,0
),0
attribute,0
this,0
annotation,0
to,0
Mary,0
Hamilton,0
.,0
However,0
",",0
our,0
view,0
is,0
that,0
it,0
is,0
a,0
different,0
",",0
as-yet-unidentified,0
hand,0
.,0
E,0
.,0
G,0
A,0
If,0
Mr,B-pers
Walpole,I-pers
does,0
not,0
apply,0
very,0
improperly,0
to,0
Miſs,B-pers
Hamilton,I-pers
",",0
That,0
is,0
",",0
because,0
she,0
may,0
by,0
now,0
be,0
Mrs,0
Dickenson,0
.,0
Hamilton,0
's,0
marriage,0
to,0
John,0
Dickenson,0
did,0
not,0
in,0
fact,0
take,0
place,0
until,0
almost,0
a,0
week,0
later,0
",",0
on,0
13,0
June,0
.,0
Walpole,0
has,0
therefore,0
addressed,0
her,0
correctly,0
",",0
despite,0
his,0
doubts,0
.,0
which,0
perhaps,0
he,0
does,0
",",0
&,0
shall,0
not,0
be,0
quite,0
sorry,0
if,0
he,0
does,0
",",0
will,0
she,0
be,0
so,0
good,0
as,0
to,0
tell,0
him,0
one,0
word,0
of,0
poor,0
Mrs,B-pers
Vesey,I-pers
",",0
&,0
when,0
he,0
may,0
have,0
leave,0
to,0
wait,0
on,0
her,0
.,0
He,0
is,0
but,0
this,0
moment,0
come,0
to,0
town,B-place
",",0
&,0
therefore,0
hopes,0
to,0
be,0
pardoned,0
",",0
if,0
he,0
does,0
any,0
thing,0
wrong,0
in,0
giving,0
this,0
trouble,0
.,0
Honble,B-pers
H,I-pers
Walpole,I-pers
June,0
7,0
th,0
1785,0
