TOKEN,NE
London,B-place
August,0
29,0
th,0
.,0
1783,0
.,0
My,0
Dear,0
Cousin,0
I,0
received,0
your,0
delightful,0
long,0
Letter,0
two,0
or,0
three,0
Days,0
ago,0
;,0
I,0
am,0
afraid,0
you,0
will,0
say,0
this,0
short,0
one,0
is,0
making,0
but,0
an,0
indifferent,0
return,0
for,0
it,0
",",0
but,0
you,0
will,0
I,0
hope,0
",",0
excuse,0
it,0
",",0
when,0
you,0
know,0
what,0
a,0
hurry,0
we,0
are,0
all,0
in,0
",",0
being,0
to,0
dine,0
at,0
our,0
House,0
in,0
Bedford,B-place
Square,I-place
this,0
Day,0
.,0
Papa,0
explained,0
to,0
Sir,B-pers
William,I-pers
Hamilton,I-pers
the,0
reason,0
that,0
prevented,0
your,0
coming,0
to,0
Town,0
to,0
see,0
him,0
.,0
--,0
I,0
am,0
very,0
glad,0
the,0
life,0
you,0
lead,0
is,0
so,0
suited,0
to,0
your,0
taste,0
",",0
but,0
can,0
not,0
expreſs,0
much,0
joy,0
at,0
your,0
resolution,0
of,0
not,0
returning,0
'till,0
the,0
Winter,0
Season,0
;,0
however,0
you,0
will,0
spend,0
your,0
time,0
very,0
agreeably,0
I,0
hope,0
",",0
which,0
will,0
make,0
me,0
some,0
amends,0
for,0
your,0
long,0
absence,0
.,0
--,0
Adieu,0
my,0
Dear,0
Cousin,0
your,0
's,0
sincerely,0
Jane,B-pers
Hamilton,I-pers
