TOKEN,NE
From,0
Miss,B-pers
Palmer,I-pers
Niece,0
of,0
Sir,B-pers
Joshua,I-pers
Reynolds,I-pers
",",0
&,0
who,0
married,0
Lord,B-pers
Inchiquin,I-pers
7,0
.,0
Typed,0
My,0
Dear,0
Miſs,B-pers
Hamilton,I-pers
",",0
it,0
is,0
impoſsible,0
for,0
me,0
to,0
have,0
the,0
pleasure,0
of,0
drinking,0
tea,0
with,0
you,0
this,0
Evening,0
or,0
Saturday,0
but,0
if,0
you,0
have,0
a,0
mind,0
to,0
be,0
goodnaturd,0
you,0
will,0
come,0
to,0
me,0
this,0
Afternoon,0
",",0
&,0
I,0
will,0
introduce,0
you,0
to,0
one,0
of,0
my,0
greatest,0
favorites,0
who,0
is,0
one,0
of,0
the,0
most,0
agreeable,0
Men,0
in,0
the,0
World,0
&,0
I,0
shall,0
be,0
pleased,0
in,0
making,0
him,0
acquainted,0
with,0
so,0
amiable,0
a,0
Being,0
as,0
yourself,0
",",0
if,0
you,0
will,0
give,0
me,0
leave,0
I,0
will,0
send,0
the,0
See,0
Miss,B-pers
H,I-pers
's,0
diaries,0
.,0
She,0
was,0
prevented,0
coming,0
by,0
her,0
Engagement,0
to,0
Mr,B-pers
Dickenson,I-pers
which,0
took,0
place,0
June,0
18,0
th,0
.,0
carriage,0
for,0
you,0
",",0
&,0
if,0
you,0
like,0
it,0
we,0
will,0
take,0
a,0
walk,0
after,0
tea,0
yours,0
most,0
Affly,0
MPalmer,B-pers
Leicester,0
fields,0
thursday,0
morn,0
18,0
th,0
.,0
June,0
1784,0
+,0
The,0
most,0
agreeable,0
Man,0
in,0
the,0
World,0
was,0
Lord,B-pers
Inchiquin,I-pers
--,0
who,0
married,0
Miſs,B-pers
Palmer,I-pers
after,0
the,0
death,0
of,0
her,0
Uncle,0
Sr.,B-pers
J,I-pers
:,I-pers
Reynolds,I-pers
Lord,B-pers
Inchiquin,I-pers
was,0
created,0
Marquis,B-pers
of,I-pers
Thomond,I-pers
on,0
—,0
&,0
on,0
—,0
died,0
in,0
consequence,0
of,0
a,0
fall,0
from,0
his,0
Horse,0
in,0
S,0
t,0
.,0
Jamess,0
Square,0
London,0
--,0
the,B-pers
Countess,I-pers
of,I-pers
Orkney,I-pers
/,0
my,0
Cousin,0
/,0
is,0
his,0
only,0
Child,0
by,0
his,0
first,0
wife,0
--,0
Daughter,0
&,0
heireſs,0
to,0
my,0
great,0
Uncle,0
the,B-pers
Earl,I-pers
of,I-pers
Orkney,I-pers
An,0
illegible,0
pencil,0
annotation,0
",",0
possibly,0
upside,0
down,0
",",0
appears,0
at,0
the,0
bottom,0
of,0
the,0
page,0
.,0
