TOKEN	NE
A	B-pers
M	I-pers
Clarke	I-pers
at	0
the	0
Post	0
Office	0
Deal	B-place
Kent	B-place
May	0
26	0
th	0
-	0
1819	0
My	0
dear	0
Friend	0
I	0
am	0
induced	0
to	0
trouble	0
you	0
with	0
a	0
letter	0
by	0
the	0
solicitude	0
I	0
feel	0
respecting	0
your	0
health	0
&	0
that	0
of	0
dear	0
Lady	B-pers
Anson	I-pers
&	0
all	0
your	0
Family	0
it	0
is	0
a	0
long	0
time	0
indeed	0
since	0
I	0
had	0
the	0
pleasure	0
of	0
hearing	0
immediately	0
from	0
our	0
dear	0
Louisa	B-pers
this	0
would	0
occasion	0
me	0
much	0
chagrin	0
did	0
I	0
not	0
know	0
from	0
her	0
own	0
declaration	0
that	0
writing	0
letters	0
is	0
irksome	0
to	0
her	0
&	0
were	0
I	0
not	0
also	0
convinced	0
that	0
she	0
has	0
some	0
attachment	0
to	0
me	0
as	0
a	0
friend	0
notwithstanding	0
this	0
uncomfortable	0
silence	0
at	0
with	0
which	0
I	0
can	0
not	0
be	0
offended	0
for	0
the	0
reason	0
she	0
has	0
aſsigned	0
&	0
which	0
circumstance	0
occasioned	0
me	0
much	0
uneasineſs	0
on	0
a	0
from	0
a	0
similar	0
cause	0
respecting	0
my	0
late	0
&	0
lost	0
most	0
dear	0
Friend	0
Mary	0
Hamilton	0
had	0
died	0
in	0
May	0
1816	0
.	0
tell	0
Lady	B-pers
Anson	I-pers
I	0
had	0
the	0
pleasure	0
of	0
hearing	0
that	0
Sir	B-pers
William	I-pers
&	0
herself	0
were	0
well	0
from	0
Mrs	B-pers
:	I-pers
Luxmoore	I-pers
who	0
saw	0
them	0
at	0
I	0
believe	0
Mrs	B-pers
:	I-pers
Cockerel	I-pers
's	0
aſsembly	0
Did	0
you	0
receive	0
a	0
letter	0
of	0
mine	0
in	0
answer	0
to	0
one	0
I	0
had	0
the	0
pleasure	0
of	0
obtaining	0
from	0
you	0
when	0
Lady	B-pers
Anson	I-pers
was	0
recovering	0
if	0
you	0
should	0
not	0
be	0
very	0
lazy	0
&	0
should	0
answer	0
this	0
pray	0
mention	0
it	0
as	0
it	0
is	0
an	0
uncomfortable	0
circumstance	0
to	0
have	0
a	0
letter	0
lost	0
though	0
there	0
should	0
be	0
no	0
secretes	0
or	0
intelligence	0
of	0
great	0
importance	0
in	0
it	0
which	0
I	0
believe	0
was	0
the	0
case	0
respecting	0
that	0
Epistle	0
--	0
I	0
hope	0
you	0
&	0
yours	0
have	0
enjoyed	0
the	0
fine	0
&	0
promising	0
spring	0
we	0
have	0
been	0
favoured	0
with	0
.	0
I	0
have	0
been	0
generally	0
at	0
home	0
&	0
much	0
occupied	0
by	0
Music	0
I	0
can	0
not	0
bear	0
so	0
much	0
exercice	0
as	0
I	0
was	0
used	0
to	0
take	0
&	0
it	0
is	0
delightful	0
to	0
me	0
to	0
be	0
what	0
may	0
be	0
called	0
very	0
quiet	0
I	0
had	0
a	0
most	0
kind	0
invitation	0
to	0
paſs	0
the	0
spring	0
with	0
my	0
old	0
friend	0
Mrs.	B-pers
Steers	I-pers
Anna	0
Maria	0
Clarke	0
refers	0
to	0
her	0
‘	0
old	0
friend	0
’	0
Mrs	0
Steers	0
in	0
these	0
late	0
letters	0
,	0
dated	0
1819	0
.	0
She	0
had	0
a	0
friend	0
referred	0
to	0
repeatedly	0
by	0
Mary	0
Hamilton	0
in	0
the	0
Clarges	0
Street	0
period	0
as	0
Miss	0
Steers	0
,	0
‘	0
a	0
sensible	0
well	0
behaved	0
young	0
Woman	0
’	0
(	0
HAM/2/10	0
p.79	0
;	0
see	0
also	0
HAM/2/8	0
p.84	0
,	0
HAM/2/14	0
p.16	0
,	0
HAM/2/15/3	0
p.41	0
,	0
HAM/2/16	0
p.33	0
)	0
.	0
It	0
seems	0
highly	0
likely	0
that	0
it	0
is	0
this	0
same	0
friend	0
,	0
some	0
35	0
years	0
later	0
,	0
now	0
taking	0
the	0
courtesy	0
title	0
Mrs	0
appropriate	0
to	0
an	0
elderly	0
unmarried	0
lady	0
(	0
OED	0
s.v	0
.	0
Mrs	0
noun	0
1	0
,	0
1.b	0
.	0
)	0
.	0
at	0
Chelsea	B-place
but	0
I	0
feared	0
it	0
would	0
have	0
been	0
at	0
that	0
time	0
too	0
great	0
an	0
exertion	0
so	0
I	0
was	0
obliged	0
malgre	0
my	0
inclination	0
to	0
make	0
the	0
sacrifice	0
I	0
regretted	0
it	0
the	0
more	0
because	0
it	0
would	0
have	0
enabled	0
me	0
to	0
have	0
seen	0
you	0
&	0
your	0
Family	0
&	0
a	0
few	0
more	0
friends	0
I	0
am	0
sincerely	0
attached	0
to	0
&	0
I	0
should	0
have	0
been	0
so	0
much	0
at	0
ease	0
with	0
Mrs	B-pers
:	I-pers
S	I-pers
that	0
she	0
would	0
have	0
been	0
pleased	0
in	0
knowing	0
I	0
was	0
at	0
times	0
happy	0
in	0
the	0
society	0
of	0
my	0
other	0
friends	0
I	0
have	0
hopes	0
I	0
shall	0
go	0
to	0
her	0
for	0
a	0
month	0
in	0
the	0
Autumn	0
we	0
are	0
going	0
to-morrow	0
to	0
remove	0
to	0
other	0
Lodgings	0
in	0
Deal	B-place
to	0
be	0
nearer	0
the	0
Sea	0
from	0
which	0
health	0
derives	0
benefit	0
&	0
the	0
Landlady	0
who	0
is	0
particularly	0
obliging	0
&	0
goodhumoured	0
has	0
promised	0
to	0
show	0
every	0
attention	0
to	0
my	0
Sister	0
I	0
could	0
wish	0
,	0
should	0
I	0
leave	0
her	0
you	0
perhaps	0
should	0
this	0
take	0
place	0
will	0
have	0
left	0
Devonshire	0
Place	0
--	0
I	0
hope	0
you	0
pursue	0
your	0
musical	0
studies	0
nothing	0
can	0
be	0
more	0
delightful	0
I	0
wish	0
I	0
could	0
hear	0
you	0
on	0
your	0
Baſs	0
an	0
Instrument	0
I	0
much	0
admire	0
&	0
that	0
you	0
could	0
hear	0
some	0
of	0
Geminiani	B-pers
's	0
Solos	0
on	0
the	0
Violin	0
accompanied	0
by	0
a	0
Thorough	0
Baſs	0
there	0
is	0
a	0
sweetneſs	0
in	0
the	0
modulation	0
which	0
surpaſses	0
all	0
I	0
have	0
heard	0
on	0
instruments	0
excepting	0
Handel	B-pers
's	0
airs	0
--	0
my	0
dear	0
Niece	0
Mary	B-pers
has	0
left	0
Colchester	B-place
she	0
has	0
lost	0
her	0
sister	0
Mrs.	B-pers
Boggis	I-pers
who	0
lately	0
died	0
&	0
left	0
a	0
Girl	0
of	0
8	0
months	0
old	0
very	0
sickly	0
&	0
of	0
which	0
my	0
Niece	0
has	0
undertaken	0
the	0
care	0
hoping	0
that	0
with	0
the	0
divine	0
bleſsing	0
she	0
may	0
be	0
enabled	0
to	0
raise	0
this	0
poor	0
Child	0
Colonel	B-pers
Boggis	I-pers
the	0
Father	0
has	0
also	0
also	0
left	0
Colchester	B-place
on	0
this	0
melancholy	0
Event	0
my	0
Niece	0
has	0
taken	0
a	0
pretty	0
House	0
Garden	0
&	0
Field	0
within	0
a	0
mile	0
of	0
Stamford	B-place
