TOKEN	NE
Dear	0
Miſs	B-pers
Hamilton	I-pers
,	0
My	0
Mother	0
Com̄iſsions	0
me	0
to	0
send	0
you	0
(	0
with	0
her	0
Love	0
)	0
the	0
Letter	0
that	0
goes	0
with	0
this	0
from	0
her	0
to	0
Pſs	B-pers
.	I-pers
Elisabeth	I-pers
requesting	0
you	0
to	0
deliver	0
it	0
to	0
her	0
R	0
H	0
--	0
I	0
wish	0
'd	0
much	0
to	0
deliver	0
it	0
myself	0
by	0
having	0
ye	0
Pleasure	0
of	0
Calling	0
upon	0
you	0
,	0
but	0
the	0
Wet	0
weather	0
prevents	0
me	0
--	0
Kew	B-place
Sepr	0
.	0
1779	0
Miſs	B-pers
Finch	I-pers
