TOKEN,NE
14,0
th,0
June,0
1781,0
I,0
can,0
not,0
bear,0
to,0
leave,0
London,B-place
without,0
sending,0
You,0
a,0
line,0
&,0
this,0
is,0
the,0
only,0
moment,0
since,0
we,0
parted,0
that,0
I,0
have,0
been,0
able,0
to,0
do,0
so,0
--,0
I,0
am,0
very,0
far,0
from,0
well,0
",",0
&,0
sleeping,0
3,0
nights,0
in,0
different,0
Beds,0
&,0
upon,0
hard,0
mattraſs,0
's,0
wch,0
.,0
I,0
am,0
not,0
used,0
to,0
",",0
has,0
quite,0
destroy,0
'd,0
my,0
rest,0
",",0
I,0
am,0
so,0
extremely,0
Nervous,0
I,0
can,0
hardly,0
hold,0
my,0
pen,0
steady,0
.,0
if,0
You,0
see,0
Dr.,B-pers
T——,I-pers
Turton,B-pers
tell,0
him,0
I,0
sent,0
this,0
Morng,0
.,0
for,0
4,0
D,0
raughts,0
as,0
before,0
",",0
&,0
ye,0
.,0
same,0
opening,0
dose,0
to,0
take,0
to,0
Kew,B-place
--,0
I,0
should,0
like,0
to,0
know,0
if,0
The,0
rest,0
of,0
the,0
page,0
has,0
been,0
cut,0
off,0
.,0
14,0
June,0
1781,0
This,0
annotation,0
is,0
written,0
vertically,0
in,0
the,0
right-hand,0
margin,0
of,0
the,0
page,0
.,0
