TOKEN,NE
The,0
pages,0
in,0
this,0
document,0
have,0
been,0
reordered,0
according,0
to,0
their,0
chronological,0
and,0
codicological,0
archive,0
order,0
",",0
and,0
may,0
differ,0
from,0
the,0
image,0
order,0
in,0
the,0
University,0
of,0
Manchester,0
LUNA,0
catalogue,0
.,0
1782,0
27,0
th,0
.,0
Novbr,0
to,0
Decbr,0
.,0
31,0
st,0
&,0
Jan,0
7.,0
to,0
Feb,0
6,0
',0
178,0
2,0
3,0
Novr,0
.,0
27,0
th,0
to,0
Decbr,0
.,0
31,0
st,0
1782,0
Wedn,0
27,0
th,0
.,0
Novbr,0
.,0
1782,0
came,0
from,0
Windsor,B-place
The,0
(,0
red,0
),0
pencil,0
markings,0
found,0
throughout,0
this,0
diary,0
(,0
as,0
well,0
as,0
others,0
",",0
see,0
e.g,0
.,0
HAM/2/11,0
),0
are,0
likely,0
by,0
members,0
of,0
the,0
Anson,0
family,0
due,0
to,0
how,0
closely,0
many,0
marked,0
sections,0
correspond,0
to,0
the,0
transcribed,0
parts,0
in,0
Anson,0
&,0
Anson,0
(,0
1925,0
),0
.,0
--,0
Lord,B-pers
Dartrey,I-pers
Lord,B-pers
Napier,I-pers
at,0
--,0
2,0
--,0
went,0
to,0
Miſs,B-pers
Gunning,I-pers
&,0
Miſs,B-pers
Tryon,I-pers
at,0
3,0
.,0
my,0
Uncle,0
in,0
ye,0
Eveg,0
.,0
--,0
28,0
Thursday,0
Lord,B-pers
Napier,I-pers
to,0
Breakfast,0
.,0
Mr,B-pers
Chamberlain,I-pers
call,0
'd,0
--,0
go,0
to,0
Miſs,B-pers
Gunning,I-pers
from,0
12,0
--,0
till,0
1,0
oClock,0
To,0
Lady,B-pers
CFinch,I-pers
at,0
3,0
.,0
at,0
4,0
my,0
Uncle,0
's,0
Coach,0
to,0
carry,0
me,0
to,0
Ld,B-pers
Dartrey,I-pers
s,0
Dine,0
there,0
Ld,B-pers
Bellemont,I-pers
--,0
call,0
upon,0
Lady,B-pers
King,I-pers
at,0
½,0
past,0
