TOKEN	NE
It	0
seems	0
that	0
Mary	0
Hamilton	0
had	0
originally	0
written	0
something	0
in	0
pencil	0
on	0
the	0
label	0
of	0
the	0
front	0
of	0
the	0
diary	0
(	0
parts	0
of	0
the	0
year	0
are	0
still	0
somewhat	0
visible	0
)	0
,	0
but	0
this	0
probably	0
faded	0
over	0
time	0
and	0
an	0
unknown	0
writer	0
later	0
added	0
the	0
currently	0
visible	0
number	0
and	0
date	0
range	0
.	0
N	0
o	0
2	0
.	0
Went	0
to	0
Ly	B-pers
Wake	I-pers
1783	0
.	0
15	0
th	0
-	0
..	0
July	0
to	0
22	0
nd	0
-	0
..	0
Septr-	0
..	0
This	0
page	0
is	0
blank	0
.	0
This	0
page	0
is	0
blank	0
.	0
This	0
page	0
is	0
blank	0
.	0
Les	0
Voyages	0
de	0
s	0
Klimius	0
en	0
la	0
Monde	0
Souterainne	0
Ludvig	B-pers
Holberg	I-pers
,	0
Voyage	0
de	0
Nicolas	0
Klimius	0
dans	0
Le	0
Monde	0
Souterrain	0
(	0
Copenhagen	0
,	0
1741	0
)	0
,	0
i.e	0
.	0
‘	0
Niels	0
Klim	0
's	0
Underground	0
Travels	0
’	0
,	0
originally	0
published	0
in	0
Latin	0
as	0
Nicolai	0
Klimii	0
Iter	0
Subterraneum	0
in	0
1741	0
.	0
Mary	0
Hamilton	0
initially	0
wrote	0
this	0
section	0
in	0
pencil	0
,	0
before	0
tracing	0
over	0
it	0
with	0
pen	0
.	0
Miſs	B-pers
Burney	I-pers
Thursday	0
that	0
The	0
text	0
abruptly	0
ends	0
here	0
.	0
It	0
is	0
currently	0
unknown	0
how	0
it	0
relates	0
to	0
the	0
writing	0
on	0
the	0
back	0
of	0
this	0
page	0
.	0
d	0
--	0
like	0
d	0
th	0
.	0
great	0
to	0
every	0
probate	0
ye	0
next	0
day	0
ling	0
of	0
smoked	0
Kitchen	0
Maid	0
This	0
section	0
is	0
orientated	0
vertically	0
and	0
the	0
top	0
of	0
the	0
page	0
(	0
the	0
left-hand	0
side	0
of	0
the	0
text	0
)	0
is	0
missing	0
.	0
Tuesday	0
15	0
th	0
.	0
July	0
Clarges	0
Street	0
1783	0
Breakfasted	0
before	0
8	0
oClock	0
read	0
&	0
wrote	0
ye	0
.	0
Whole	0
Morng	0
.	0
dreſs	0
'd	0
myself	0
at	0
9	0
for	0
ye	0
.	0
day	0
--	0
Mrs	B-pers
Vesey	I-pers
came	0
in	0
for	0
a	0
Moment	0
at	0
3	0
oClock	0
to	0
invite	0
me	0
to	0
dinner	0
--	0
¼	0
before	0
4	0
went	0
to	0
Dr.	B-pers
Lady	I-pers
King	I-pers
s	0
where	0
I	0
dined	0
only	0
ye	B-pers
2	I-pers
Miſs	I-pers
Kings	I-pers
&	0
her	0
.	0
¼	0
before	0
7.	0
w	0
ent	0
to	0
Miſs	B-pers
Bloſset	I-pers
s	0
to	0
take	0
leave	0
of	0
her	0
as	0
she	0
was	0
going	0
into	0
ye	0
.	0
Country	0
ye	0
.	0
next	0
day	0
.	0
met	0
there	0
Mrs	B-pers
..	I-pers
Barnard	I-pers
&	0
Mrs-	B-pers
Codrington	I-pers
--	0
Lady	B-pers
King	I-pers
sent	0
ye	0
Coach	0
for	0
me	0
at	0
¼	0
past	0
7	0
.	0
I	0
went	0
back	0
to	0
her	0
house	0
--	0
Miſs	B-pers
King	I-pers
desired	0
me	0
to	0
come	0
up	0
to	0
see	0
ye	0
St	0
she	0
had	0
just	0
finish	0
'd	0
filagree	0
paper	0
&	0
c	0
.	0
Lady	B-pers
King	I-pers
Miſs	B-pers
W.	I-pers
King	I-pers
&	0
I	0
went	0
to	0
Kensington	0
Gardens	0
walk	0
'd	0
there	0
till	0
9.	0
they	0
brought	0
me	0
home	0
.	0
I	0
wrote	0
some	0
Verses	0
out	0
for	0
Miſs	B-pers
Bloſset	I-pers
&	0
at	0
10	0
went	0
to	0
ye	B-pers
.	I-pers
Veseys	I-pers
--	0
sup	0
'd	0
&	0
staid	0
till	0
12	0
.	0
Mr.	B-pers
Vesey	I-pers
was	0
gone	0
to	0
bed	0
.	0
--	0
Wed	0
:	0
16	0
th	0
.	0
July	0
1783	0
.	0
dreſs	0
'd	0
at	0
10	0
for	0
ye	0
.	0
day	0
.	0
my	0
Cousin	0
Robert	B-pers
Greville	I-pers
came	0
&	0
staid	0
½	0
an	0
hour	0
brought	0
me	0
a	0
Meſsage	0
from	0
Lady	B-pers
Stormont	I-pers
to	0
spend	0
a	0
few	0
days	0
at	0
Wandsworth	0
Hill	0
--	0
Madame	B-pers
Renaud	I-pers
came	0
to	0
inqure	0
if	0
I	0
had	0
heard	0
from	0
Lady	B-pers
Wake	I-pers
staid	0
¼	0
of	0
an	0
hour	0
.	0
show	0
'd	0
me	0
her	0
Letters	0
from	0
Miſs	B-pers
nes	I-pers
&	0
c	0
&	0
c	0
at	0
3	0
I	0
went	0
to	0
Mrs.	B-pers
Jackson	I-pers
's	0
sat	0
wth	0
.	0
her	0
while	0
her	0
hair	0
was	0
dreſsing	0
--	0
saw	0
Mr.	B-pers
Jackson	I-pers
.	0
at	0
4	0
went	0
to	0
my	0
Uncle	0
Frederick	B-pers
s	0
to	0
dinner	0
.	0
only	0
themselves	0
&	0
Children	0
--	0
after	0
dinner	0
my	0
Uncle	0
talk	0
'd	0
of	0
his	0
Son	0
s	0
education	0
&	0
c.	0
we	0
sat	0
long	0
after	0
dinner	0
till	0
7	0
--	0
I	0
W	0
e	0
then	0
went	0
up	0
to	0
Miſs	B-pers
Hamilton	I-pers
s	0
Room	0
she	0
play	0
'd	0
