TOKEN	NE
Hampton	B-place
6	0
June	0
1783	0
Ma	0
chere	0
Amie	0
I	0
have	0
been	0
expecting	0
a	0
line	0
from	0
you	0
in	0
answer	0
to	0
my	0
note	0
written	0
a	0
fortnight	0
ago	0
,	0
to	0
negotiate	0
our	0
little	0
Treaty	0
for	0
Sunday	0
next	0
;	0
but	0
not	0
having	0
heard	0
from	0
you	0
we	0
construe	0
Silence	0
in	0
the	0
usual	0
way	0
,	0
and	0
depend	0
on	0
the	0
pleasure	0
of	0
seeing	0
you	0
.	0
Mrs.	B-pers
Garrick	I-pers
goes	0
to	0
Town	B-place
to	0
morrow	0
Night	0
to	0
be	0
ready	0
to	0
bring	0
you	0
away	0
after	0
Church	0
on	0
Sunday	0
;	0
she	0
will	0
call	0
on	0
you	0
at	0
about	0
half	0
after	0
One	0
Adieu	0
my	0
dearest	0
Madam	0
Yours	0
most	0
faithfully	0
H	B-pers
More	I-pers
This	0
page	0
is	0
blank	0
.	0
This	0
page	0
is	0
blank	0
.	0
Remains	0
of	0
a	0
gummed	0
wafer	0
.	0
To	0
Miſs	B-pers
Hamilton	I-pers
Clarges	0
Street	0
Picadilly	0
London	B-place
This	0
addres	0
is	0
written	0
vertically	0
.	0
Bishop	0
mark	0
in	0
black	0
ink	0
,	0
dated	0
7	0
June	0
,	0
indicating	0
the	0
date	0
the	0
letter	0
went	0
through	0
the	0
post	0
.	0
Postmark	0
‘	0
ISLEWORTH	0
’	0
in	0
black	0
ink	0
.	0
