TOKEN,NE
Bristol,B-place
2,0
Nov,0
:,0
84,0
The,0
‘,0
8,0
’,0
has,0
been,0
retraced,0
",",0
possibly,0
by,0
Mary,0
Hamilton,0
.,0
My,0
dear,0
Friend,0
Will,0
the,0
excellent,0
Ducheſs,0
dear,0
Mrs.,B-pers
Delany,I-pers
",",0
and,0
Yourself,0
",",0
forgive,0
me,0
for,0
not,0
instantly,0
obeying,0
Your,0
commands,0
in,0
sending,0
some,0
Verses,0
of,0
my,0
poor,0
Poeteſs,0
?,0
I,0
staid,0
out,0
a,0
w,0
eek,0
longer,0
than,0
I,0
design,0
'd,0
",",0
of,0
course,0
did,0
not,0
get,0
Your,0
letter,0
in,0
time,0
.,0
The,0
more,0
I,0
see,0
of,0
this,0
Heaven-taught,0
Genius,0
the,0
more,0
I,0
am,0
charmed,0
a,0
nd,0
astonished,0
with,0
her,0
.,0
It,0
is,0
with,0
grief,0
I,0
perceive,0
that,0
her,0
bitter,0
sorrows,0
have,0
tinged,0
her,0
Soul,0
with,0
melancholy,0
;,0
the,0
terrible,0
circumstance,0
of,0
seeing,0
a,0
beloved,0
Mother,0
die,0
of,0
hunger,0
is,0
ever,0
before,0
h,0
er,0
Eyes,0
",",0
and,0
her,0
Verses,0
continually,0
allude,0
to,0
i,0
t,0
--,0
My,0
present,0
plan,0
is,0
",",0
if,0
Heaven,0
bleſses,0
my,0
endeavours,0
",",0
to,0
put,0
her,0
into,0
a,0
small,0
Farm,0
;,0
she,0
implores,0
not,0
to,0
be,0
put,0
into,0
any,0
employment,0
which,0
must,0
make,0
her,0
mix,0
with,0
the,0
World,0
",",0
and,0
rob,0
her,0
of,0
her,0
beloved,0
Solitude,0
.,0
I,0
have,0
no,0
wish,0
to,0
make,0
her,0
an,0
idle,0
or,0
a,0
useleſs,0
Being,0
;,0
she,0
has,0
duties,0
to,0
fill,0
the,0
smallest,0
of,0
which,0
is,0
of,0
more,0
importance,0
in,0
the,0
Eyes,0
of,0
Heaven,0
than,0
the,0
best,0
Couplet,0
that,0
ever,0
Dryden,B-pers
made,0
.,0
One,0
day,0
I,0
found,0
her,0
in,0
a,0
state,0
of,0
despondency,0
I,0
expostulated,0
on,0
the,0
sinfulneſs,0
of,0
it,0
;,0
soon,0
after,0
she,0
sent,0
me,0
a,0
long,0
Poem,0
",",0
the,0
conclusion,0
I,0
which,0
I,0
send,0
you,0
without,0
any,0
Alteration,0
--,0
To,0
Stella,0
--,0
“,0
Believe,0
me,0
",",0
gentle,0
friend,0
",",0
I,0
cou,0
'd,0
complain,0
;,0
“,0
But,0
what,0
avails,0
the,0
deep,0
repining,0
Sigh,0
?,0
“,0
When,0
Heav'n,0
afflicts,0
none,0
shou,0
'd,0
oppose,0
the,0
Plea,0
",",0
“,0
For,0
who,0
shall,0
hold,0
the,0
Arm,0
that,0
thus,0
has,0
wreck,0
'd,0
me,0
?,0
“,0
Say,0
",",0
bright,0
Instructreſs,0
",",0
Soother,0
of,0
the,0
Soul,0
!,0
“,0
Whose,0
flowing,0
Numbers,0
",",0
strong,0
as,0
Jeſse,0
's,0
Harp,0
",",0
“,0
Despair,0
ne'er,0
heard,0
",",0
but,0
loathing,0
left,0
the,0
Soul,0
",",0
“,0
Dire,0
Fiend,0
",",0
whom,0
sounds,0
of,0
joy,0
cou,0
'd,0
ne'er,0
allure,0
.,0
“,0
O,0
say,0
",",0
for,0
strong-ey,0
'd,0
Faith,0
has,0
borne,0
You,0
far,0
",",0
“,0
Beyond,0
the,0
gloomy,0
Chambers,0
of,0
the,0
Grave,0
",",0
“,0
Speak,0
loudly,0
to,0
my,0
late-corrected,0
Soul,0
",",0
“,0
That,0
sure,0
reward,0
awaits,0
the,0
blameleſs,0
Mind,0
",",0
“,0
Else,0
will,0
I,0
give,0
the,0
strenuous,0
struggle,0
o'er,0
",",0
“,0
Throw,0
up,0
your,0
Angel,0
Mind,0
as,0
painted,0
Shade,0
",",0
“,0
Or,0
notion,0
strong,0
from,0
early,0
precept,0
caught,0
",",0
“,0
Rove,0
thro,0
',0
the,0
Maze,0
of,0
all-alluring,0
Sense,0
",",0
“,0
And,0
this,0
side,0
Jordan,0
every,0
hope,0
shall,0
fix,0
;,0
“,0
Mere,0
ravings,0
all,0
--,0
these,0
crude,0
Ideas,0
die,0
“,0
As,0
Faith,0
to,0
Calvary,0
's,0
Mount,0
directs,0
my,0
view,0
",",0
“,0
Nor,0
will,0
I,0
lose,0
",",0
thus,0
humbled,0
as,0
I,0
am,0
",",0
“,0
My,0
dear,0
bought,0
claim,0
to,0
Immortality,0
.,0
“,0
Excuse,0
me,0
",",0
Stella,0
!,0
lo,0
!,0
I,0
guideleſs,0
stray,0
",",0
“,0
No,0
friendly,0
hand,0
aſsists,0
my,0
wilder,0
'd,0
thought,0
;,0
“,0
Uncouth,0
",",0
unciviliz,0
'd,0
",",0
and,0
rudely,0
rough,0
",",0
“,0
Unpolish,0
'd,0
as,0
the,0
form,0
thrown,0
by,0
by,0
Heav'n,0
",",0
“,0
Not,0
worth,0
completion,0
",",0
or,0
the,0
Artist,0
's,0
Hand,0
",",0
“,0
To,0
add,0
a,0
something,0
more,0
.,0
--,0
Such,0
is,0
the,0
Mind,0
“,0
Which,0
Thou,0
may'st,0
yet,0
illumine,0
;,0
tis,0
a,0
task,0
“,0
For,0
Angels,0
thus,0
to,0
raise,0
the,0
groveling,0
Soul,0
",",0
“,0
And,0
bid,0
it,0
pant,0
for,0
more,0
than,0
earthly,0
bliſs,0
.,0
“,0
Then,0
shew,0
Heav'ns,0
op'ning,0
glories,0
to,0
my,0
Eyes,0
",",0
“,0
And,0
I,0
will,0
view,0
Thee,0
as,0
the,0
Fount,0
of,0
Light,0
Which,0
pierc,0
'd,0
old,0
Chaos,0
to,0
his,0
depth,0
profound,0
",",0
While,0
all,0
his,0
native,0
horrors,0
stood,0
reveal,0
'd,0
.,0
My,0
dear,0
friend,0
if,0
you,0
are,0
not,0
all,0
wonder,0
",",0
my,0
Enthusiasm,0
has,0
exceedingly,0
misled,0
me,0
She,0
has,0
a,0
bright,0
and,0
glowing,0
Imagination,0
and,0
so,0
exact,0
a,0
Taste,0
that,0
her,0
Epithets,0
are,0
as,0
happily,0
chosen,0
as,0
those,0
of,0
our,0
best,0
Poets,0
.,0
I,0
shall,0
be,0
impatient,0
to,0
know,0
",",0
if,0
the,0
Admirable,0
judges,0
you,0
are,0
with,0
",",0
and,0
Yourself,0
think,0
of,0
her,0
as,0
I,0
do,0
.,0
Take,0
another,0
Paſsage,0
“,0
Blest,0
Pair,0
!,0
O,0
had,0
not,0
Souls,0
like,0
Yours,0
been,0
given,0
“,0
The,0
dubious,0
Atheist,0
well,0
might,0
doubt,0
a,0
Heav'n,0
;,0
“,0
Convinc,0
'd,0
",",0
he,0
now,0
deserts,0
his,0
gloomy,0
stand,0
",",0
“,0
Owns,0
Mind,0
the,0
noblest,0
proof,0
of,0
a,0
creating,0
Hand,0
.,0
These,0
two,0
couplets,0
are,0
lines,0
35-38,0
from,0
a,0
piece,0
called,0
‘,0
To,0
Stella,0
",",0
on,0
a,0
Visit,0
to,0
Mrs.,0
Montague,0
’,0
",",0
published,0
in,0
the,0
Bath,0
Chronicle,0
(,0
24,0
February,0
1785,0
",",0
p.3,0
),0
.,0
An,0
extended,0
version,0
published,0
later,0
in,0
the,0
same,0
year,0
in,0
book,0
form,0
(,0
‘,0
To,0
Stella,0
",",0
on,0
a,0
Visit,0
to,0
Mrs.,0
Montagu,0
’,0
",",0
in,0
Ann,0
Yearsley,0
",",0
Poems,0
on,0
several,0
occasions,0
",",0
3rd,0
edn.,0
",",0
T.,0
Cadell,0
",",0
London,0
",",0
1785,0
",",0
pp.51-54,0
),0
has,0
‘,0
The,0
ſtupid,0
Atheiſt,0
’,0
in,0
the,0
second,0
quoted,0
line,0
.,0
Many,0
thanks,0
for,0
Your,0
friendly,0
communication,0
about,0
the,0
State,0
of,0
your,0
Affairs,0
;,0
You,0
account,0
very,0
prudently,0
for,0
the,0
delay,0
.,0
Let,0
me,0
hear,0
from,0
You,0
soon,0
and,0
believe,0
me,0
ever,0
most,0
affectionately,0
Yours,0
H,B-pers
M,I-pers
