TOKEN,NE
Hamilton,0
drafted,0
this,0
letter,0
on,0
the,0
final,0
blank,0
sheet,0
of,0
a,0
letter,0
to,0
her,0
from,0
George,0
",",0
Prince,0
of,0
Wales,0
(,0
GEO/ADD/3/82/16,0
(,0
1,0
),0
),0
",",0
with,0
which,0
it,0
was,0
originally,0
catalogued,0
as,0
GEO/ADD/3/82/16,0
.,0
The,0
image,0
has,0
been,0
split,0
to,0
separate,0
the,0
Prince,0
's,0
letter,0
and,0
Hamilton,0
's,0
draft,0
and,0
so,0
differs,0
from,0
that,0
in,0
the,0
Royal,0
Archive,0
",",0
where,0
the,0
two,0
appear,0
as,0
a,0
single,0
item,0
under,0
the,0
original,0
reference,0
.,0
This,0
letter,0
is,0
a,0
response,0
not,0
to,0
GEO/ADD/3/82/16,0
(,0
1,0
),0
but,0
to,0
GEO/ADD/3/82/17,0
of,0
26,0
July,0
(,0
which,0
had,0
no,0
blank,0
space,0
),0
;,0
the,0
sheet,0
is,0
lightly,0
scrawled,0
over,0
in,0
ink,0
so,0
as,0
to,0
leave,0
the,0
content,0
readable,0
.,0
The,0
Prince,0
reacts,0
to,0
Hamilton,0
's,0
opening,0
sentence,0
in,0
GEO/ADD/3/82/18,0
.,0
26,0
July,0
1779,0
I,0
will,0
not,0
go,0
at,0
present,0
",",0
ask,0
no,0
further,0
explanation,0
I,0
am,0
your,0
friend,0
&,0
as,0
such,0
shall,0
adopt,0
every,0
proper,0
method,0
to,0
keep,0
up,0
to,0
that,0
character,0
--,0
Your,0
honor,0
is,0
dear,0
to,0
me,0
as,0
my,0
own,0
",",0
therefore,0
I,0
shall,0
in,0
whatever,0
I,0
do,0
be,0
guided,0
by,0
that,0
consideration,0
&,0
that,0
consideration,0
will,0
lead,0
me,0
to,0
make,0
every,0
proper,0
sacrifice,0
.,0
