TOKEN,NE
69,0
recd,0
.,0
Satry-,0
Morng,0
27,0
th,0
-,0
Novbr-,0
1779,0
Friday,0
Night,0
in,0
answer,0
to,0
Thursday,0
Night,0
.,0
Again,0
my,0
ever,0
dearest,0
Miranda,B-pers
indeed,0
every,0
time,0
I,0
write,0
to,0
you,0
",",0
I,0
can,0
not,0
write,0
you,0
longer,0
Letters,0
",",0
however,0
I,0
hope,0
neceſsity,0
will,0
plead,0
my,0
excuse,0
especially,0
as,0
you,0
know,0
my,0
inclination,0
.,0
Oh,0
!,0
how,0
wretched,0
am,0
I,0
to,0
hear,0
yt,0
.,0
my,0
Comforter,0
my,0
bosom,0
Friend,0
",",0
my,0
dearest,0
Miranda,B-pers
",",0
is,0
so,0
ill,0
",",0
take,0
care,0
of,0
yrself,0
for,0
me,0
",",0
consider,0
me,0
",",0
consider,0
my,0
situation,0
",",0
consider,0
what,0
it,0
wld,0
..,0
be,0
were,0
I,0
--,0
Heaven,0
curse,0
ye,0
.,0
thought,0
I,0
cld,0
:,0
not,0
bear,0
it,0
",",0
thou,0
art,0
dearer,0
",",0
dearer,0
dearer,0
to,0
me,0
than,0
a,0
thousand,0
Worlds,0
.,0
Tell,0
me,0
in,0
yr,0
.,0
next,0
how,0
you,0
are,0
whether,0
or,0
no,0
you,0
have,0
seen,0
Dr,B-pers
..,I-pers
T——,I-pers
according,0
to,0
yr,0
.,0
promise,0
",",0
if,0
you,0
have,0
not,0
",",0
you,0
will,0
see,0
him,0
immediately,0
for,0
my,0
sake,0
",",0
unleſs,0
you,0
find,0
yrself,0
greatly,0
better,0
.,0
What,0
wld,0
..,0
you,0
have,0
said,0
had,0
you,0
known,0
yt,0
.,0
I,0
who,0
am,0
but,0
this,0
very,0
day,0
perfectly,0
recovered,0
of,0
cold,0
was,0
obliged,0
to,0
ride,0
with,0
my,0
F——,0
to,0
Barnet,B-place
to,0
See,0
ye,0
.,0
East,B-place
Yorkshire,I-place
Melitia,0
&,0
was,0
out,0
all,0
ye,0
.,0
time,0
wet,0
thro,0
',0
to,0
ye,0
.,0
skin,0
in,0
ye,0
.,0
cold,0
Wind,0
wh,0
..,0
was,0
very,0
high,0
",",0
ye,0
snow,0
&,0
rain,0
till,0
from,0
9,0
till,0
1,0
.,0
I,0
thought,0
of,0
yr,0
.,0
tender,0
care,0
for,0
me,0
my,0
Sister,0
all,0
ye,0
.,0
time,0
I,0
was,0
out,0
",",0
however,0
thank,0
God,0
I,0
am,0
so,0
far,0
from,0
being,0
ye,0
.,0
worse,0
yt,0
.,0
I,0
think,0
I,0
am,0
rather,0
ye,0
.,0
better,0
for,0
it,0
.,0
My,0
This,0
word,0
was,0
originally,0
the,0
antecedent,0
of,0
him,0
",",0
two,0
lines,0
below,0
.,0
The,0
Prince,0
may,0
have,0
written,0
Messenger,0
",",0
possibly,0
overwriting,0
it,0
with,0
a,0
different,0
word,0
before,0
it,0
was,0
made,0
wholly,0
illegible,0
(,0
perhaps,0
by,0
Hamilton,0
),0
.,0
not,0
knowing,0
exactly,0
what,0
time,0
to,0
call,0
this,0
Evening,0
I,0
ordered,0
him,0
not,0
to,0
call,0
till,0
ye,0
.,0
Morning,0
notwithstanding,0
my,0
impatience,0
to,0
be,0
informed,0
of,0
ye,0
.,0
state,0
of,0
yr,0
health,0
.,0
Adieu,0
",",0
Adieu,0
",",0
Adieu,0
.,0
God,0
bleſs,0
you,0
&,0
preserve,0
you,0
",",0
&,0
believe,0
me,0
ever,0
thy,0
tenderest,0
Brother,0
&,0
friend,0
Thy,0
Palemon,B-pers
toujours,0
de,0
même,0
P.S,0
.,0
I,0
hope,0
you,0
found,0
what,0
I,0
sent,0
you,0
good,0
&,0
I,0
hope,0
you,0
will,0
find,0
it,0
soften,0
ye,0
.,0
pain,0
you,0
must,0
feel,0
in,0
yr,0
.,0
breast,0
by,0
coughing,0
I,0
understand,0
L——d,B-pers
S——t,I-pers
Probably,0
Lord,0
Stormont,0
.,0
cut,0
a,0
wonderful,0
great,0
figure,0
yesterday,0
.,0
Encore,0
une,0
fois,0
préservez,0
vôtre,0
chére,0
santé,0
pour,0
moi,0
a,0
.,0
a,0
.,0
a,0
.,0
toujours,0
chére,0
.,0
Ton,0
P,B-pers
.,I-pers
.,0
The,0
last,0
page,0
is,0
blank,0
.,0
