TOKEN	NE
26	0
I	0
am	0
my	0
friend	0
something	0
better	0
to	0
day	0
I	0
have	0
kept	0
myself	0
quiet	0
all	0
day	0
--	0
they	0
wanted	0
me	0
to	0
go	0
to	0
ye	0
.	0
Opera	0
to	0
night	0
,	0
but	0
had	0
I	0
been	0
well	0
I	0
should	0
not	0
have	0
so	0
celebrated	0
the	0
first	0
anniversary	0
of	0
my	0
Mam̄a	0
s	0
death	0
--	0
I	0
mean	0
not	0
however	0
impiously	0
to	0
endulge	0
grief	0
--	0
I	0
hope	0
this	0
Eveg	0
Mrs.	B-pers
Jackson	I-pers
&	0
her	0
amiable	0
Sister	0
who	0
supported	0
me	0
through	0
ye	0
:	0
dreadful	0
Scene	0
last	0
year	0
will	0
come	0
&	0
sit	0
with	0
me	0
this	0
Eveg	0
--	0
Adieu	0
Adieu	0
my	0
friend	0
--	0
For	0
my	0
sake	0
be	0
It	0
is	0
likely	0
that	0
be	0
was	0
to	0
be	0
a	0
catchword	0
,	0
as	0
the	0
cancelled	0
text	0
overleaf	0
begins	0
with	0
‘	0
be	0
’	0
.	0
be	0
careful	0
to	0
b	0
Treason	0
to	0
If	0
the	0
few	0
semi-legible	0
words	0
of	0
this	0
abandoned	0
passage	0
are	0
correctly	0
transcribed	0
,	0
its	0
ideas	0
are	0
resumed	0
in	0
'treasonous	0
'	0
and	0
'be	0
upon	0
your	0
guard	0
'	0
in	0
GEO/ADD/3/83/27	0
,	0
which	0
is	0
probably	0
part	0
of	0
the	0
same	0
draft	0
letter	0
.	0
Saty	0
Afternoon	0
6	0
o'Clock	0
27	0
Novbr	0
.	0
1779	0
anniversary	0
of	0
her	0
Mother	0
's	0
death	0
