TOKEN,NE
This,0
letter,0
occupies,0
the,0
top,0
two-thirds,0
of,0
the,0
image,0
.,0
It,0
is,0
followed,0
by,0
Delany,0
's,0
message,0
for,0
the,0
Queen,0
",",0
transcribed,0
as,0
LWL,0
Mss,0
Vol,0
.,0
75,0
(,0
22,0
),0
(,0
2,0
),0
.,0
The,0
response,0
to,0
this,0
letter,0
(,0
LWL,0
Mss,0
Vol,0
.,0
75,0
(,0
23,0
),0
",",0
copied,0
by,0
Hamilton,0
),0
is,0
dated,0
14,0
November,0
1780,0
",",0
hence,0
the,0
dating,0
of,0
this,0
letter,0
on,0
or,0
before,0
that,0
date,0
.,0
x,0
21,0
My,0
Dear,0
Miſs,B-pers
Hamilton,I-pers
As,0
I,0
have,0
the,0
truest,0
opinion,0
of,0
yor,0
.,0
goodneſs,0
to,0
me,0
",",0
&,0
of,0
your,0
upright,0
judgement,0
I,0
submit,0
this,0
flower,0
to,0
your,0
sentence,0
;,0
whether,0
it,0
is,0
to,0
receive,0
ye,0
.,0
highest,0
of,0
Honors,0
or,0
be,0
condemn,0
'd,0
to,0
ye,0
.,0
station,0
it,0
has,0
a,0
better,0
claim,0
to,0
:,0
aſsured,0
yo,0
.,0
will,0
not,0
permit,0
me,0
to,0
take,0
an,0
improper,0
liberty,0
",",0
where,0
",",0
so,0
much,0
distance,0
&,0
respect,0
are,0
due,0
&,0
where,0
you,0
well,0
know,0
I,0
feel,0
that,0
mixture,0
of,0
awe,0
&,0
admiration,0
wch,0
.,0
only,0
can,0
be,0
felt,0
but,0
not,0
expreſ,0
'd,0
.,0
ye,B-pers
.,I-pers
Ducheſs,I-pers
Dowgr,I-pers
.,I-pers
of,I-pers
Portland,I-pers
came,0
one,0
Sunday,0
Eveg,0
.,0
just,0
after,0
you,0
went,0
away,0
",",0
always,0
sorry,0
to,0
miſs,0
you,0
I,0
hope,0
that,0
kind,0
tho,0
',0
short,0
visit,0
did,0
you,0
as,0
much,0
good,0
as,0
it,0
did,0
yr,0
.,0
Affect,0
.,0
&,0
much,0
obliged,0
Mary,B-pers
Delany,I-pers
S,0
t,0
.,0
James,0
Place,0
