TOKEN	NE
58a	0
My	0
Dr	0
.	0
friend	0
if	0
you	0
could	0
come	0
to	0
me	0
this	0
afternoon	0
at	0
6	0
.	0
I	0
can	0
Send	0
the	B-pers
Dutcheſs	I-pers
of	I-pers
P——	I-pers
s	0
Coach	0
for	0
you	0
at	0
that	0
hour	0
&	0
it	0
may	0
that	0
carry	0
you	0
back	0
where	0
you	0
please	0
.	0
if	0
that	0
is	0
not	0
convenient	0
to	0
you	0
I	0
shall	0
be	0
glad	0
to	0
see	0
you	0
tomorrow	0
at	0
the	0
time	0
you	0
name	0
&	0
am	0
sure	0
you	0
may	0
if	0
you	0
want	0
it	0
have	0
the	B-pers
Dſs	I-pers
's	0
Coach	0
.	0
affectionately	0
yours	0
MD	B-pers
Miſs	B-pers
Port	I-pers
sends	0
her	0
love	0
10	0
th	0
.	0
Febry	0
85	0
To	0
Miſs	B-pers
Hamilton	I-pers
The	0
address	0
line	0
is	0
split	0
in	0
three	0
,	0
with	0
different	0
orientations	0
,	0
by	0
unfolding	0
.	0
delany	B-pers
This	0
annotation	0
is	0
written	0
vertically	0
in	0
the	0
left-hand	0
margin	0
of	0
the	0
page	0
.	0
Mrs.	B-pers
Delany	I-pers
10	0
Febry	0
85	0
This	0
annotation	0
is	0
written	0
vertically	0
in	0
the	0
left-hand	0
margin	0
of	0
the	0
page	0
.	0
