TOKEN	NE
The	0
first	0
image	0
is	0
of	0
an	0
archival	0
note	0
with	0
basic	0
metadata	0
,	0
the	0
location	0
in	0
the	0
Yale	0
Edition	0
of	0
Horace	0
Walpole	0
's	0
correspondence	0
,	0
and	0
the	0
provenance	0
of	0
the	0
document	0
.	0
This	0
letter	0
appears	0
in	0
Lewis	0
(	0
1937-83	0
:	0
XXXI	0
,	0
335-336	0
)	0
.	0
Berkley	0
Square	0
Dec	0
.	0
22	0
d	0
.	0
1789	0
.	0
Dear	0
Madam	0
Some	0
time	0
ago	0
I	0
received	0
a	0
brace	0
of	0
woodcocks	0
labelled	0
with	0
a	0
name	0
so	0
friendly	0
,	0
that	0
I	0
am	0
sure	0
I	0
can	0
only	0
be	0
obliged	0
to	0
Mr	B-pers
Dickenson	I-pers
&	0
you	0
for	0
so	0
kind	0
a	0
remembrance	0
.	0
It	0
does	0
not	0
look	0
very	0
gratefull	0
when	0
I	0
am	0
so	0
late	0
in	0
my	0
gratitude	0
--	0
but	0
I	0
was	0
out	0
of	0
town	0
&	0
have	0
been	0
so	0
till	0
last	0
week	0
,	0
&	0
neither	0
knew	0
how	0
to	0
direct	0
to	0
you	0
,	0
nor	0
where	0
to	0
learn	0
.	0
On	0
the	0
very	0
night	0
that	0
I	0
arrived	0
,	0
I	0
drove	0
to	0
Norfolk	0
street	0
--	0
but	0
alas	0
!	0
Miſs	B-pers
Clarke	I-pers
was	0
removed	0
,	0
whither	0
was	0
not	0
known	0
,	0
but	0
was	0
beleived	0
at	0
Sunning	B-place
.	0
I	0
thence	0
went	0
to	0
melancholy	0
Clarges	0
Street	0
,	0
Edmund	B-pers
was	0
as	0
ignorant	0
;	0
but	0
yesterday	0
informed	0
me	0
I	0
shoud	0
find	0
Miſs	B-pers
Clarke	I-pers
in	0
Conduit	0
street	0
,	0
&	0
so	0
I	0
did	0
last	0
night	0
,	0
&	0
she	0
gave	0
me	0
a	0
direction	0
,	0
&	0
acquainted	0
me	0
that	0
Mr	B-pers
Dickenson	I-pers
has	0
been	0
out	0
of	0
order	0
but	0
is	0
quite	0
recovered	0
--	0
so	0
my	0
joy	0
is	0
pure	0
she	0
gave	0
me	0
another	0
pleasure	0
,	0
the	0
hope	0
of	0
seeing	0
you	0
this	0
spring	0
,	0
&	0
I	0
trust	0
,	0
with	0
your	0
sweet	0
little	0
girl	0
much	0
growing	0
&	0
improved	0
.	0
I	0
have	0
been	0
so	0
few	0
days	0
in	0
town	0
,	0
that	0
I	0
can	0
give	0
you	0
very	0
imperfect	0
accounts	0
of	0
our	0
Friends	0
,	0
The	0
poor	0
dear	0
Vesey	B-pers
is	0
quite	0
Childish	0
,	0
but	0
thence	0
not	0
at	0
all	0
unhappy	0
,	0
which	0
,	0
with	0
the	0
great	0
care	0
taken	0
of	0
her	0
,	0
is	0
the	0
best	0
we	0
coud	0
hope	0
.	0
Mrs	B-pers
Carter	I-pers
comes	0
next	0
monday	0
;	0
Miſs	B-pers
More	I-pers
is	0
at	0
Hampton	B-place
,	0
but	0
not	0
coming	0
this	0
month	0
.	0
A	0
person	0
,	0
who	0
lives	0
opposite	0
to	0
Hampton	0
Court	0
,	0
is	0
in	0
a	0
very	0
dangerous	0
way	0
,	0
&	0
suffers	0
terribly	0
,	0
but	0
I	0
do	0
not	0
beleive	0
disordered	0
,	0
as	0
reported	0
.	0
I	0
am	0
a	0
bad	0
newsmonger	0
,	0
&	0
if	0
there	0
is	0
any	0
,	0
do	0
not	0
know	0
it	0
;	0
and	0
therefore	0
,	0
as	0
I	0
can	0
not	0
entertain	0
you	0
,	0
I	0
will	0
not	0
tire	0
you	0
,	0
when	0
my	0
sole	0
reason	0
for	0
writing	0
was	0
to	0
thank	0
you	0
&	0
Mr	B-pers
Dickenson	I-pers
,	0
&	0
to	0
seize	0
that	0
opportunity	0
of	0
aſsuring	0
you	0
that	0
I	0
am	0
as	0
much	0
as	0
ever	0
Dear	0
Madam	0
yr	0
much	0
obliged	0
&	0
most	0
sincere	0
humble	0
Sert	0
HWalpole	B-pers
This	0
page	0
is	0
blank	0
.	0
To	0
Mrs	B-pers
Dickenson	I-pers
at	0
Taxal	B-place
Chapel	B-place
le	I-place
Frith	I-place
Derbyshire	B-place
.	0
This	0
address	0
is	0
written	0
vertically	0
.	0
Charge	0
mark	0
;	0
a	0
large	0
manuscript	0
number	0
6	0
in	0
black	0
ink	0
,	0
denoting	0
postage	0
due	0
.	0
Postmark	0
in	0
black	0
ink	0
,	0
dated	0
22	0
December	0
1789	0
.	0
Remains	0
of	0
a	0
seal	0
,	0
in	0
red	0
wax	0
.	0
