TOKEN,NE
The,0
first,0
image,0
is,0
of,0
an,0
archival,0
note,0
with,0
basic,0
metadata,0
",",0
the,0
location,0
in,0
the,0
Yale,0
Edition,0
of,0
Horace,0
Walpole,0
's,0
correspondence,0
",",0
and,0
the,0
provenance,0
of,0
the,0
document,0
.,0
This,0
letter,0
appears,0
in,0
Lewis,0
(,0
1937-83,0
:,0
XXXI,0
",",0
344-346,0
),0
.,0
Strawberry,0
hill,0
aug,0
.,0
25,0
.,0
1790,0
.,0
Mr,B-pers
Dickenson,I-pers
's,0
present,0
was,0
very,0
kind,0
",",0
my,0
dear,0
Madam,0
",",0
and,0
I,0
give,0
him,0
a,0
thousand,0
thanks,0
for,0
it,0
",",0
especially,0
as,0
a,0
mark,0
of,0
his,0
remembrance,0
&,0
friendship,0
.,0
The,0
Birds,0
arrived,0
perfectly,0
sweet,0
",",0
&,0
to,0
me,0
were,0
a,0
great,0
novelty,0
",",0
who,0
never,0
saw,0
growse-pouts,0
before,0
:,0
I,0
took,0
them,0
for,0
a,0
beautifull,0
new-invented,0
sort,0
of,0
Partridge,0
",",0
&,0
wished,0
to,0
bring,0
them,0
to,0
life,0
again,0
",",0
rather,0
than,0
to,0
eat,0
them,0
.,0
Your,0
letter,0
is,0
still,0
kinder,0
",",0
&,0
as,0
far,0
as,0
gratitude,0
&,0
return,0
of,0
attachment,0
can,0
poſsibly,0
go,0
",",0
I,0
am,0
not,0
unworthy,0
of,0
it,0
.,0
I,0
am,0
sorry,0
you,0
give,0
me,0
such,0
good,0
reasons,0
",",0
that,0
I,0
dare,0
",",0
not,0
only,0
not,0
hope,0
to,0
see,0
you,0
soon,0
",",0
but,0
am,0
even,0
forced,0
to,0
approve,0
your,0
reasons,0
",",0
but,0
and,0
to,0
admire,0
you,0
for,0
them,0
.,0
Indeed,0
when,0
do,0
you,0
not,0
act,0
with,0
sense,0
&,0
propriety,0
?,0
&,0
when,0
you,0
have,0
made,0
so,0
excellent,0
a,0
choice,0
",",0
can,0
a,0
true,0
friend,0
wish,0
you,0
to,0
deviate,0
from,0
the,0
line,0
of,0
conduct,0
that,0
so,0
much,0
becomes,0
you,0
?,0
&,0
which,0
may,0
interfere,0
with,0
some,0
kind,0
sentiments,0
but,0
does,0
justly,0
contribute,0
to,0
your,0
solid,0
happineſs,0
--,0
I,0
will,0
rest,0
on,0
that,0
thought,0
",",0
&,0
only,0
hope,0
I,0
may,0
live,0
to,0
a,0
day,0
when,0
your,0
Duty,0
&,0
convenience,0
may,0
fall,0
in,0
with,0
my,0
satisfaction,0
.,0
Were,0
I,0
of,0
a,0
travelling,0
age,0
how,0
gladly,0
shoud,0
I,0
accept,0
your,0
most,0
obliging,0
proposal,0
of,0
making,0
you,0
a,0
visit,0
!,0
&,0
kiſsing,0
your,0
pretty,0
Louisa,B-pers
!,0
--,0
but,0
my,0
clock,0
is,0
on,0
the,0
stroke,0
of,0
74,0
Horace,0
Walpole,0
would,0
turn,0
73,0
on,0
5,0
October,0
1790,0
",",0
a,0
few,0
months,0
after,0
this,0
letter,0
",",0
thus,0
entering,0
his,0
74th,0
year,0
.,0
--,0
&,0
after,0
so,0
many,0
years,0
of,0
gout,0
",",0
have,0
not,0
I,0
cause,0
to,0
be,0
content,0
&,0
thank,0
god,0
that,0
I,0
can,0
creep,0
about,0
my,0
own,0
small,0
garden,0
--,0
coud,0
I,0
call,0
on,0
you,0
&,0
Mr,B-pers
Dickenson,I-pers
",",0
my,0
dear,0
Madam,0
",",0
it,0
woud,0
not,0
be,0
in,0
my,0
way,0
to,0
Buxton,B-place
.,0
I,0
do,0
not,0
beleive,0
there,0
is,0
in,0
the,0
whole,0
map,0
of,0
Medicine,0
a,0
fountain,0
so,0
salutory,0
as,0
my,0
own,0
temperance,0
&,0
regimen,0
",",0
and,0
cold,0
system,0
.,0
They,0
have,0
preserved,0
my,0
paper,0
frame,0
to,0
this,0
extended,0
age,0
",",0
I,0
am,0
certainly,0
better,0
than,0
I,0
was,0
three,0
years,0
ago,0
",",0
&,0
tho,0
I,0
have,0
frequent,0
parentheses,0
of,0
gout,0
",",0
they,0
are,0
not,0
only,0
short,0
",",0
but,0
in,0
a,0
manner,0
without,0
pain,0
",",0
so,0
that,0
the,0
worst,0
hurt,0
they,0
do,0
me,0
is,0
to,0
confine,0
me,0
--,0
&,0
That,0
now,0
is,0
a,0
small,0
Evil,0
.,0
In,0
short,0
I,0
woud,0
not,0
be,0
cured,0
of,0
my,0
gout,0
",",0
if,0
I,0
coud,0
;,0
I,0
do,0
not,0
want,0
to,0
dance,0
like,0
Lord,B-pers
Barrymore,I-pers
with,0
Delpini,B-pers
--,0
nay,0
",",0
I,0
shoud,0
probably,0
have,0
some,0
other,0
Illneſs,0
",",0
which,0
I,0
shoud,0
not,0
Understand,0
so,0
well,0
how,0
to,0
manage,0
--,0
&,0
besides,0
old,0
people,0
who,0
have,0
no,0
complaint,0
",",0
are,0
mighty,0
apt,0
to,0
think,0
that,0
if,0
forty,0
or,0
fifty,0
years,0
have,0
not,0
lamed,0
them,0
",",0
they,0
have,0
remained,0
at,0
a,0
stand,0
&,0
are,0
still,0
twenty,0
--,0
mercy,0
on,0
us,0
!,0
do,0
but,0
think,0
what,0
follies,0
are,0
committed,0
by,0
ancient,0
gentry,0
that,0
fancy,0
themselves,0
young,0
!,0
--,0
but,0
I,0
have,0
talked,0
too,0
many,0
lines,0
on,0
myself,0
",",0
&,0
will,0
now,0
answer,0
your,0
questions,0
.,0
Poor,0
dear,0
Mrs,B-pers
Vesey,I-pers
is,0
exactly,0
in,0
the,0
same,0
state,0
of,0
childhood,0
she,0
was,0
",",0
&,0
certainly,0
will,0
never,0
be,0
leſs,0
so,0
.,0
One,0
can,0
only,0
wish,0
now,0
that,0
she,0
was,0
restored,0
to,0
happineſs,0
thro,0
the,0
only,0
door,0
by,0
which,0
She,0
can,0
paſs,0
to,0
it,0
",",0
&,0
which,0
her,0
blameleſs,0
benevolent,0
life,0
makes,0
us,0
presume,0
She,0
will,0
enjoy,0
.,0
Mrs,B-pers
Garrick,I-pers
I,0
beleive,0
is,0
still,0
at,0
Bristol,B-place
",",0
whither,0
She,0
went,0
in,0
a,0
fright,0
at,0
the,0
beginning,0
of,0
the,0
Summer,0
.,0
In,0
the,0
single,0
letter,0
I,0
have,0
received,0
from,0
Miſs,B-pers
More,I-pers
",",0
She,0
told,0
me,0
her,0
friend,0
was,0
better,0
.,0
So,0
is,0
She,0
herself,0
",",0
&,0
tormenting,0
herself,0
",",0
more,0
to,0
mend,0
her,0
spotleſs,0
Soul,0
than,0
her,0
Constitution,0
--,0
one,0
of,0
her,0
nostrums,0
indeed,0
is,0
an,0
excellent,0
one,0
",",0
which,0
is,0
always,0
labouring,0
to,0
do,0
good,0
to,0
others,0
.,0
Miſs,B-pers
Boyle,I-pers
called,0
a,0
fortune,0
of,0
five,0
thousand,0
a,0
yr,0
.,0
is,0
really,0
Miſtreſs,0
of,0
half,0
of,0
it,0
.,0
The,0
other,0
half,0
is,0
contested,0
by,0
Lord,B-pers
Shannon,I-pers
by,0
some,0
informality,0
in,0
the,0
poor,0
Brother,0
's,0
Will,0
",",0
or,0
by,0
Mrs,B-pers
Walsingham,I-pers
's,0
Mrs,0
Walsingham,0
had,0
died,0
on,0
12,0
April,0
1790,0
.,0
presuming,0
on,0
her,0
own,0
title,0
to,0
it,0
without,0
the,0
right,0
.,0
I,0
have,0
heard,0
both,0
causes,0
aſsigned,0
&,0
know,0
not,0
which,0
is,0
the,0
true,0
.,0
Miſs,B-pers
Boyle,I-pers
is,0
intoxicated,0
with,0
her,0
Release,0
&,0
laughs,0
&,0
talks,0
&,0
gallops,0
&,0
drives,0
&,0
dances,0
from,0
night,0
to,0
morning,0
&,0
from,0
one,0
end,0
of,0
the,0
isle,0
tother,0
--,0
yet,0
to,0
the,0
last,0
moment,0
of,0
her,0
mother,0
's,0
life,0
never,0
relaxed,0
one,0
moment,0
in,0
attention,0
;,0
&,0
since,0
",",0
with,0
all,0
her,0
torrent,0
of,0
spirits,0
has,0
done,0
nothing,0
to,0
be,0
blamed,0
",",0
&,0
behaves,0
with,0
great,0
regard,0
&,0
propriety,0
to,0
all,0
her,0
Mother,0
's,0
old,0
friends,0
.,0
Both,0
her,0
real,0
&,0
nominal,0
fortune,0
have,0
a,0
cohort,0
of,0
Suitors,0
",",0
but,0
I,0
hear,0
of,0
no,0
preference,0
She,0
Shows,0
;,0
&,0
as,0
She,0
has,0
had,0
the,0
sense,0
",",0
against,0
her,0
Mother,0
's,0
advice,0
",",0
to,0
admit,0
no,0
female,0
to,0
live,0
with,0
her,0
(,0
who,0
woud,0
soon,0
recommend,0
a,0
Male,0
),0
I,0
hope,0
She,0
will,0
not,0
fling,0
",",0
away,0
herself,0
&,0
her,0
liberty,0
&,0
felicity,0
on,0
one,0
of,0
our,0
Sex,0
",",0
without,0
knowing,0
whether,0
he,0
deserves,0
her,0
or,0
not,0
;,0
for,0
that,0
rare,0
Clan,0
",",0
the,0
Dickensons,0
",",0
are,0
not,0
fortune-hunters,0
.,0
Our,0
early,0
post,0
allows,0
me,0
to,0
say,0
no,0
more,0
",",0
tho,0
I,0
own,0
I,0
was,0
happy,0
to,0
seize,0
this,0
moment,0
of,0
conversing,0
with,0
you,0
again,0
",",0
for,0
I,0
am,0
with,0
the,0
most,0
sincere,0
&,0
cordial,0
regard,0
and,0
esteem,0
my,0
dearst,0
.,0
Madam,0
yr,0
most,0
obliged,0
&,0
devoted,0
humble,0
Sert,0
HorWalpole,B-pers
To,0
Mrs,B-pers
Dickenson,I-pers
at,0
Taxal,B-place
Chapel,B-place
le,I-place
Frith,I-place
Derbyshire,B-place
Remains,0
of,0
a,0
stamp,0
",",0
which,0
reads,0
'AU,0
25,0
90,0
',0
",",0
indicating,0
the,0
date,0
the,0
letter,0
went,0
through,0
the,0
post,0
.,0
Remains,0
of,0
a,0
seal,0
",",0
in,0
red,0
wax,0
.,0
