TOKEN,NE
10,0
From,0
Miss,B-pers
S.,I-pers
Dickenson,I-pers
to,0
her,0
sister,0
in,0
law,0
Mrs.,B-pers
J,I-pers
Dickenson,I-pers
Jany,0
26,0
.,0
1807,0
.,0
My,0
dear,0
Sister,0
M,0
r,0
:,0
Fletcher,0
proposes,0
to,0
send,0
My,0
Brother,0
s,0
cash,0
in,0
in,0
the,0
basket,0
I,0
have,0
netted,0
for,0
you,0
",",0
as,0
it,0
is,0
to,0
be,0
a,0
casket,0
for,0
your,0
tr,0
easure,0
",",0
I,0
have,0
no,0
doubt,0
of,0
its,0
being,0
acceptable,0
to,0
you,0
",",0
&,0
that,0
its,0
agreeable,0
contents,0
will,0
make,0
ample,0
amends,0
for,0
its,0
numerous,0
deficiencies,0
.,0
I,0
had,0
intended,0
to,0
have,0
netted,0
in,0
a,0
smaller,0
scale,0
",",0
2,0
bags,0
for,0
Louisa,B-pers
&,0
Miſs,B-pers
Morrison,I-pers
",",0
but,0
I,0
have,0
not,0
been,0
very,0
well,0
lately,0
;,0
&,0
since,0
the,0
arrival,0
of,0
Mr,B-pers
Pit,I-pers
s,0
speeches,0
",",0
Perhaps,0
The,0
Speeches,0
of,0
...,0
William,0
Pitt,0
in,0
the,0
House,0
of,0
Commons,0
",",0
ed,0
.,0
W.,0
S.,0
Hathaway,0
",",0
first,0
published,0
November,0
1806,0
",",0
the,0
year,0
of,0
Pitt,0
's,0
death,0
.,0
I,0
have,0
been,0
employd,0
in,0
reading,0
&,0
admiring,0
the,0
astonishing,0
p,0
ow,0
ers,0
of,0
his,0
mind,0
",",0
if,0
I,0
coud,0
expreſs,0
my,0
sentiments,0
as,0
well,0
",",0
I,0
shoud,0
be,0
as,0
enthusiastic,0
as,0
Mr,B-pers
Thomson,I-pers
but,0
I,0
must,0
be,0
content,0
with,0
simply,0
observing,0
I,0
never,0
read,0
any,0
work,0
that,0
gave,0
me,0
more,0
pleasure,0
.,0
I,0
had,0
last,0
night,0
every,0
prospect,0
of,0
my,0
father,0
s,0
having,0
a,0
regular,0
&,0
comfortable,0
fit,0
of,0
the,0
gout,0
in,0
his,0
foot,0
",",0
the,0
inflammation,0
was,0
strong,0
&,0
the,0
swelling,0
had,0
commenced,0
",",0
I,0
got,0
up,0
about,0
5,0
this,0
morning,0
",",0
&,0
from,0
the,0
pain,0
he,0
complaind,0
of,0
",",0
conclud,0
ed,0
he,0
was,0
going,0
on,0
perfectly,0
well,0
;,0
I,0
had,0
not,0
however,0
been,0
with,0
him,0
many,0
minutes,0
before,0
he,0
told,0
me,0
his,0
foot,0
was,0
become,0
easy,0
",",0
&,0
a,0
most,0
violen,0
t,0
&,0
obstinate,0
spasm,0
on,0
the,0
chest,0
took,0
place,0
.,0
I,0
gave,0
him,0
guaiacum,0
&,0
agar,0
&,0
at,0
length,0
he,0
was,0
relieved,0
.,0
I,0
mention,0
this,0
circumstance,0
so,0
fully,0
as,0
I,0
think,0
it,0
tends,0
strongly,0
to,0
prove,0
that,0
the,0
spasm,0
is,0
a,0
gouty,0
affection,0
",",0
&,0
that,0
it,0
does,0
not,0
arise,0
from,0
the,0
cause,0
his,0
medical,0
friends,0
sometimes,0
suggest,0
;,0
&,0
as,0
this,0
is,0
a,0
very,0
flattering,0
hope,0
to,0
me,0
",",0
I,0
have,0
indulged,0
myself,0
in,0
repeating,0
it,0
to,0
you,0
.,0
Tell,0
my,0
dear,0
Louisa,B-pers
that,0
this,0
day,0
has,0
not,0
been,0
forgotten,0
by,0
her,0
affectionate,0
relatives,0
at,0
Birch,B-place
Hall,I-place
.,0
Grand,0
papa,0
tho,0
much,0
better,0
",",0
does,0
not,0
feel,0
well,0
enough,0
to,0
write,0
",",0
but,0
he,0
joins,0
me,0
in,0
sincere,0
wishes,0
for,0
a,0
long,0
continuance,0
of,0
helth,0
&,0
happineſs,0
to,0
her,0
.,0
I,0
have,0
not,0
heard,0
from,0
my,0
sister,0
for,0
some,0
time,0
.,0
I,0
am,0
of,0
course,0
anxious,0
",",0
but,0
the,0
interruptions,0
that,0
must,0
naturally,0
arise,0
to,0
any,0
intercourse,0
with,0
that,0
devoted,0
in,0
sense,0
'doomed,0
',0
(,0
OED,0
s.v,0
.,0
devoted,0
5,0
),0
.,0
Where,0
her,0
sister,0
Elizabeth,0
(,0
Palombi,0
),0
resides,0
is,0
Naples,0
.,0
country,0
",",0
can,0
not,0
be,0
a,0
cause,0
of,0
surprise,0
tho,0
it,0
may,0
be,0
of,0
regret,0
.,0
I,0
am,0
in,0
a,0
fever,0
about,0
the,0
lottery,0
tickets,0
",",0
can,0
you,0
enquire,0
or,0
must,0
I,0
apply,0
elsewhere,0
;,0
I,0
have,0
not,0
written,0
to,0
her,0
lately,0
",",0
as,0
I,0
woud,0
not,0
finally,0
dash,0
all,0
her,0
airy,0
dreams,0
whilst,0
there,0
was,0
the,0
least,0
hope,0
of,0
their,0
being,0
realised,0
.,0
I,0
have,0
paid,0
the,0
8:8:0,0
to,0
Mr,B-pers
Brandt,I-pers
Possibly,0
the,0
Charles,0
Frederic,0
Brandt,0
of,0
Manchester,0
",",0
merchant,0
",",0
whose,0
will,0
of,0
17,0
August,0
1811,0
was,0
proved,0
in,0
PCC,0
on,0
17,0
October,0
1814,0
(,0
TNA,0
PROB,0
11/1561/274,0
),0
.,0
.,0
I,0
propose,0
to,0
take,0
this,0
letter,0
tomorrow,0
(,0
if,0
my,0
father,0
is,0
tolerably,0
well,0
),0
to,0
Manchester,B-place
when,0
I,0
propose,0
to,0
call,0
on,0
Mr,B-pers
Brandt,I-pers
&,0
gather,0
what,0
intelligence,0
I,0
can,0
from,0
him,0
we,0
are,0
much,0
obliged,0
to,0
my,0
Brother,0
for,0
the,0
presentation,0
",",0
&,0
medicine,0
for,0
the,0
horse,0
",",0
he,0
is,0
now,0
better,0
&,0
the,0
farrier,0
says,0
he,0
will,0
be,0
a,0
very,0
valuable,0
animal,0
to,0
my,0
father,0
",",0
so,0
all,0
thoughts,0
of,0
changing,0
him,0
is,0
given,0
up,0
.,0
you,0
will,0
thank,0
my,0
Brother,0
for,0
the,0
horse,0
",",0
&,0
the,0
vines,0
which,0
I,0
hope,0
will,0
be,0
more,0
productive,0
than,0
their,0
predeceſsors,0
.,0
I,0
am,0
not,0
now,0
going,0
to,0
flourish,0
",",0
Here,0
in,0
sense,0
'use,0
florid,0
language,0
',0
(,0
OED,0
s.v,0
.,0
flourish,0
v.,0
7b,0
),0
.,0
or,0
paſs,0
the,0
strict,0
bounds,0
of,0
sober,0
truth,0
when,0
I,0
tell,0
you,0
of,0
the,0
flowers,0
in,0
my,0
garden,0
about,0
the,0
10,0
th,0
to,0
1,0
5,0
th,0
of,0
January,0
I,0
had,0
in,0
bloom,0
a,0
jonquil,0
roses,0
purple,0
primrose,0
snow,0
drop,0
hepatica,0
aconite,0
oxlip,0
heartsease,0
bearsfoot,0
",",0
yellow,0
&,0
white,0
potentilla,0
Italian,0
cytiſsus,0
Christmas,0
rose,0
daisies,0
periwinkle,0
laurustinus,0
;,0
&,0
in,0
full,0
bud,0
a,0
branch,0
of,0
the,0
paſsion,0
tree,0
that,0
had,0
not,0
been,0
in,0
the,0
greenhouses,0
",",0
a,0
while,0
either,0
",",0
anemone,0
&,0
c,0
&,0
c.,0
I,0
heard,0
a,0
throstle,0
sing,0
in,0
december,0
",",0
&,0
a,0
sparrow,0
this,0
morning,0
pickd,0
up,0
a,0
feather,0
to,0
line,0
no,0
doubt,0
its,0
nest,0
.,0
Late,0
1806,0
was,0
exceptionally,0
mild,0
:,0
'To,0
the,0
very,0
close,0
of,0
the,0
year,0
the,0
grass,0
continued,0
to,0
grow,0
...,0
and,0
many,0
of,0
the,0
inmates,0
of,0
our,0
gardens,0
(,0
native,0
and,0
exotic,0
),0
to,0
thrive,0
and,0
blossom,0
.,0
',0
(,0
Luke,0
Howard,0
",",0
1818,0
",",0
The,0
Climate,0
of,0
London,0
:,0
Deduced,0
from,0
meteorological,0
observations,0
",",0
vol,0
.,0
1,0
",",0
notes,0
to,0
Table,0
II,0
),0
.,0
M,0
rs,0
:,0
becky,0
presents,0
her,0
respectful,0
duty,0
to,0
her,0
young,0
mistreſs,0
&,0
desires,0
me,0
to,0
say,0
that,0
being,0
as,0
broad,0
as,0
long,0
is,0
a,0
small,0
matter,0
compared,0
to,0
her,0
weighty,0
charms,0
.,0
Mungo,0
is,0
very,0
fat,0
&,0
very,0
dirty,0
",",0
&,0
angus,0
increases,0
daily,0
in,0
size,0
&,0
good,0
manners,0
",",0
he,0
is,0
no,0
longer,0
the,0
Bonaparte,0
of,0
the,0
neighbourhood,0
",",0
&,0
even,0
sustains,0
courage,0
enables,0
him,0
to,0
br,0
ing,0
the,0
news,0
paper,0
with,0
leſs,0
dismay,0
than,0
formerly,0
.,0
Mrs,B-pers
:,I-pers
Mckenner,I-pers
has,0
been,0
very,0
ill,0
but,0
is,0
now,0
better,0
",",0
the,0
good,0
news,0
of,0
to,0
day,0
has,0
raised,0
Mr,B-pers
M,I-pers
above,0
par,0
",",0
&,0
he,0
coud,0
not,0
make,0
up,0
a,0
sorrowful,0
face,0
all,0
tho,0
his,0
wife,0
has,0
been,0
so,0
Great,0
Overwriting,0
makes,0
the,0
final,0
reading,0
uncertain,0
.,0
an,0
invalid,0
Mr,B-pers
Streetly,I-pers
looks,0
very,0
delicate,0
&,0
I,0
think,0
is,0
declining,0
",",0
Dr,B-pers
C,I-pers
continues,0
in,0
excellent,0
mind,0
&,0
the,0
marriage,0
of,0
a,0
third,0
cousin,0
to,0
a,0
man,0
of,0
4000,0
a,0
year,0
is,0
an,0
undeniable,0
subject,0
on,0
all,0
occasions,0
.,0
Mrs,B-pers
N,I-pers
&,0
I,0
write,0
notes,0
",",0
&,0
very,0
pretty,0
notes,0
too,0
I,0
aſsure,0
you,0
",",0
&,0
visit,0
very,0
cordially,0
",",0
so,0
I,0
expect,0
we,0
shall,0
not,0
be,0
off,0
the,0
hinges,0
again,0
for,0
some,0
time,0
to,0
come,0
Blagsey,B-pers
is,0
arrived,0
at,0
his,0
ne,0
plus,0
ultra,0
",",0
his,0
insolence,0
&,0
ingratitude,0
can,0
go,0
no,0
farther,0
as,0
I,0
trust,0
there,0
is,0
a,0
final,0
stop,0
to,0
all,0
intercourse,0
of,0
every,0
kind,0
",",0
I,0
am,0
not,0
now,0
sorry,0
",",0
altho,0
I,0
was,0
afraid,0
lest,0
my,0
father,0
might,0
suffer,0
",",0
but,0
as,0
h,0
e,0
s,0
borne,0
this,0
fresh,0
instance,0
of,0
his,0
malignity,0
with,0
tolerable,0
composure,0
",",0
I,0
am,0
disposed,0
to,0
think,0
it,0
a,0
very,0
happy,0
ecclairciſsement,0
.,0
I,0
will,0
not,0
enter,0
into,0
particulars,0
as,0
the,0
detail,0
will,0
be,0
too,0
long,0
for,0
for,0
me,0
to,0
write,0
it,0
to,0
distinctly,0
",",0
but,0
my,0
father,0
will,0
not,0
fail,0
in,0
his,0
next,0
letter,0
to,0
give,0
you,0
a,0
circumstantial,0
account,0
--,0
Mr.,B-pers
Lucas,I-pers
's,0
paragon,0
Here,0
in,0
the,0
now-obsolete,0
sense,0
'companion,0
or,0
partner,0
in,0
marriage,0
',0
(,0
OED,0
s.v,0
.,0
paragon,0
n.,0
2,0
),0
.,0
is,0
I,0
believe,0
better,0
",",0
if,0
not,0
quite,0
well,0
.,0
There,0
is,0
a,0
pleasant,0
young,0
woman,0
come,0
to,0
live,0
in,0
this,0
neighbourhood,0
with,0
whose,0
mother,0
I,0
was,0
formally,0
A,0
conscious,0
use,0
of,0
formally,0
rather,0
