TOKEN,NE
Honble,B-pers
.,I-pers
Mrs.,I-pers
Murray,I-pers
Moved,0
annotation,0
here,0
from,0
below,0
dateline,0
at,0
the,0
top,0
of,0
p.1,0
.,0
Stanley,0
House,0
1,0
of,0
August,0
1788,0
my,0
Dear,0
Mrs.,B-pers
Dickinson,I-pers
I,0
am,0
too,0
vain,0
perhaps,0
",",0
but,0
judging,0
of,0
a,0
Friends,0
heart,0
by,0
my,0
own,0
",",0
am,0
very,0
loth,0
to,0
imagine,0
because,0
they,0
are,0
silent,0
",",0
the,0
old,0
adage,0
is,0
verified,0
",",0
out,0
of,0
sight,0
",",0
out,0
of,0
mind,0
:,0
but,0
am,0
willing,0
to,0
supose,0
they,0
are,0
taken,0
up,0
with,0
something,0
more,0
material,0
than,0
writing,0
:,0
but,0
am,0
sorry,0
to,0
find,0
yours,0
was,0
owing,0
to,0
the,0
fair,0
Louisa,B-pers
's,0
pains,0
:,0
believe,0
me,0
I,0
thought,0
your,0
silence,0
very,0
long,0
",",0
but,0
hope,0
you,0
will,0
make,0
amends,0
and,0
give,0
me,0
the,0
pleasure,0
of,0
hearing,0
soon,0
that,0
you,0
are,0
all,0
well,0
",",0
and,0
that,0
I,0
shall,0
in,0
future,0
have,0
a,0
better,0
Correspondent,0
:,0
for,0
tho,0
',0
your,0
young,0
charge,0
will,0
every,0
day,0
have,0
a,0
longer,0
claim,0
upon,0
your,0
time,0
yet,0
remember,0
I,0
was,0
honor,0
'd,0
with,0
your,0
Friendship,0
before,0
she,0
was,0
born,0
--,0
I,0
am,0
much,0
flatter,0
'd,0
by,0
the,0
kind,0
enquiries,0
you,0
make,0
after,0
my,0
health,0
which,0
is,0
now,0
very,0
good,0
;,0
It,0
was,0
not,0
so,0
when,0
last,0
in,0
London,B-place
",",0
and,0
never,0
having,0
known,0
what,0
it,0
was,0
to,0
be,0
out,0
of,0
health,0
made,0
my,0
friends,0
think,0
the,0
more,0
of,0
it,0
:,0
and,0
myself,0
too,0
I,0
believe,0
:,0
but,0
I,0
was,0
very,0
good,0
and,0
did,0
as,0
I,0
was,0
bid,0
",",0
and,0
by,0
following,0
good,0
advice,0
from,0
Doctor,B-pers
Douglas,I-pers
and,0
coming,0
into,0
this,0
good,0
air,0
have,0
the,0
pleasure,0
to,0
tell,0
you,0
I,0
am,0
very,0
well,0
;,0
tho,0
',0
it,0
has,0
taught,0
me,0
to,0
think,0
as,0
we,0
grow,0
old,0
",",0
we,0
must,0
expect,0
sometimes,0
to,0
be,0
sick,0
--,0
Your,0
picture,0
of,0
the,0
Bon,0
Ton,0
is,0
well,0
drawn,0
",",0
and,0
I,0
am,0
sorry,0
to,0
say,0
very,0
like,0
",",0
tho,0
',0
I,0
am,0
of,0
opinion,0
the,0
World,0
is,0
much,0
as,0
it,0
was,0
",",0
a,0
certain,0
proportion,0
of,0
Virtue,0
&,0
Vice,0
always,0
have,0
prevail,0
'd,0
",",0
but,0
fashon,0
makes,0
some,0
ages,0
more,0
flagrant,0
than,0
others,0
