TOKEN,NE
I,0
beg,0
to,0
have,0
a,0
True,0
Honest,0
Faithful,0
account,0
of,0
you,0
my,0
dear,0
",",0
pray,0
be,0
particular,0
",",0
for,0
I,0
shall,0
not,0
to,0
day,0
see,0
any,0
body,0
who,0
can,0
tell,0
me,0
",",0
no,0
Meſsages,0
about,0
waiting,0
upon,0
pain,0
of,0
my,0
Severe,0
diſpleasure,0
--,0
Mlle,B-pers
desires,0
her,0
kind,0
love,0
Adieu,0
Affly,0
Yr,0
MCG,B-pers
Tuesday,0
Mgg,0
16,0
th,0
.,0
April,0
1782,0
53,0
This,0
annotation,0
is,0
written,0
vertically,0
.,0
Miſs,B-pers
Hamilton,I-pers
The,0
addressee,0
's,0
name,0
is,0
split,0
in,0
three,0
",",0
each,0
with,0
a,0
different,0
orientation,0
",",0
by,0
unfolding,0
.,0
