TOKEN,NE
Parts,0
of,0
the,0
following,0
entries,0
from,0
21,0
and,0
24,0
June,0
1784,0
have,0
been,0
transcribed,0
in,0
Archibald,0
Edward,0
Harbord,0
Anson,0
's,0
‘,0
About,0
others,0
and,0
myself,0
1745,0
to,0
1920,0
’,0
(,0
1920,0
:,0
19-20,0
),0
.,0
Various,0
other,0
parts,0
of,0
this,0
diary,0
have,0
furthermore,0
been,0
transcribed,0
in,0
Anson,0
&,0
Anson,0
(,0
1925,0
:,0
208-224,0
),0
.,0
The,0
red,0
pencil,0
marks,0
found,0
throughout,0
this,0
volume,0
are,0
likely,0
by,0
members,0
of,0
the,0
Anson,0
family,0
given,0
how,0
closely,0
the,0
marked,0
sections,0
correspond,0
to,0
what,0
was,0
eventually,0
published,0
in,0
Anson,0
&,0
Anson,0
(,0
1925,0
),0
.,0
X,0
June,0
21,0
st,0
.,0
1784,0
--,0
(,0
longest,0
day,0
),0
Sent,0
a,0
Note,0
to,0
Mr.,B-pers
R,I-pers
:,I-pers
Glover,I-pers
to,0
inform,0
him,0
he,0
need,0
not,0
be,0
at,0
ye,0
.,0
trouble,0
to,0
go,0
into,0
ye,0
.,0
City,0
--,0
sent,0
my,0
diary,0
to,0
my,0
friend,0
Note,0
of,0
excuse,0
for,0
not,0
going,0
to,0
Mrs.,B-pers
Pepys,I-pers
--,0
&,0
c,0
&,0
c.,0
made,0
Miſs,B-pers
Clarke,I-pers
a,0
Visit,0
--,0
at,0
½,0
past,0
12,0
set,0
out,0
wth,0
.,0
Mr,B-pers
.,I-pers
&,0
Mrs.,B-pers
Vesey,I-pers
&,0
Mrs.,B-pers
Handcock,I-pers
for,0
Strawberry,0
Hill,0
.,0
Strawberry,0
Hill,0
House,0
(,0
referred,0
to,0
here,0
),0
was,0
the,0
Gothic,0
Revival,0
villa,0
built,0
by,0
Horace,0
Walpole,0
in,0
Twickenham,0
.,0
We,0
arrived,0
there,0
at,0
¼,0
before,0
3,0
--,0
Mr-,B-pers
Walpole,I-pers
came,0
out,0
to,0
receive,0
us,0
",",0
I,0
told,0
him,0
it,0
was,0
not,0
my,0
fault,0
we,0
did,0
not,0
come,0
earlier,0
--,0
he,0
had,0
desired,0
us,0
to,0
be,0
with,0
him,0
at,0
2,0
o'Clock,0
--,0
but,0
Mr,B-pers
V,I-pers
:,I-pers
is,0
never,0
punctual,0
--,0
Mrs,B-pers
:,I-pers
Garrick,I-pers
came,0
immediately,0
after,0
us,0
--,0
Mr.,B-pers
Walpole,I-pers
was,0
so,0
obliging,0
to,0
take,0
us,0
through,0
most,0
of,0
ye,0
.,0
rooms,0
&,0
opened,0
the,0
Cabinets,0
(,0
wch,0
.,0
are,0
not,0
opened,0
to,0
the,0
Company,0
who,0
come,0
to,0
see,0
ye,0
.,0
house,0
),0
wch,0
.,0
contain,0
fine,0
Miniatures,0
&,0
various,0
fine,0
&,0
curious,0
things,0
both,0
Modern,0
&,0
Antique,0
--,0
I,0
have,0
not,0
time,0
to,0
ennumerate,0
--,0
the,0
whole,0
stile,0
of,0
this,0
House,0
is,0
true,0
Gothic,0
--,0
every,0
Room,0
--,0
closet,0
--,0
