TOKEN,NE
My,0
love,0
to,0
Miſs,B-pers
Burney,I-pers
when,0
You,0
see,0
her,0
Mrs.,B-pers
G,I-pers
.,I-pers
is,0
just,0
come,0
into,0
my,0
Room,0
She,0
bids,0
me,0
say,0
Your,0
Orange,0
Tree,0
Hamilton,0
gave,0
Mrs,0
Garrick,0
her,0
orange,0
tree,0
on,0
1,0
May,0
1783,0
(,0
see,0
HAM/2/2,0
),0
",",0
to,0
keep,0
in,0
her,0
hothouse,0
.,0
For,0
another,0
comment,0
relating,0
to,0
her,0
orange,0
tree,0
see,0
MS,0
Eng,0
1778,0
141,0
.,0
is,0
in,0
perfect,0
health,0
",",0
but,0
is,0
not,0
disposed,0
to,0
be,0
prolific,0
--,0
It,0
must,0
be,0
budded,0
Most,0
likely,0
‘,0
Miſs,0
’,0
was,0
written,0
before,0
‘,0
Hamilton,0
’,0
.,0
Hamilton,B-pers
Clar,0
ges,0
Street,0
This,0
address,0
is,0
written,0
vertically,0
.,0
