TOKEN,NE
54,0
Satry,0
.,0
Morng,0
.,0
Octbr,0
.,0
23,0
d,0
.,0
1779,0
--,0
My,0
dearest,0
",",0
dearest,0
",",0
dearest,0
Sister,0
",",0
Friend,0
",",0
Miranda,B-pers
I,0
thank,0
you,0
very,0
much,0
for,0
ye,0
.,0
Books,0
you,0
was,0
so,0
good,0
as,0
to,0
send,0
me,0
",",0
I,0
have,0
not,0
as,0
yet,0
been,0
able,0
to,0
look,0
into,0
ye,0
.,0
first,0
you,0
sent,0
me,0
",",0
as,0
I,0
ha,0
d,0
v,0
e,0
still,0
a,0
little,0
more,0
to,0
read,0
in,0
order,0
to,0
finish,0
another,0
Book,0
which,0
my,0
Brother,0
was,0
so,0
good,0
as,0
to,0
lend,0
me,0
",",0
&,0
as,0
my,0
jaunts,0
to,0
W——r,B-place
you,0
know,0
",",0
are,0
not,0
famous,0
for,0
leaving,0
me,0
much,0
time,0
upon,0
my,0
hands,0
",",0
I,0
could,0
not,0
read,0
much,0
while,0
I,0
was,0
there,0
",",0
however,0
I,0
will,0
now,0
immediately,0
set,0
about,0
reading,0
ym,0
..,0
&,0
will,0
read,0
ym,0
..,0
with,0
great,0
attention,0
",",0
&,0
mark,0
ye,0
.,0
s,0
parts,0
according,0
to,0
yr,0
.,0
permiſsion,0
that,0
I,0
like,0
best,0
.,0
Oh,0
my,0
Friend,0
since,0
I,0
wrote,0
this,0
Yesterday,0
Evening,0
a,0
Scene,0
paſsed,0
upon,0
my,0
account,0
",",0
which,0
gave,0
me,0
infinite,0
pain,0
pains,0
and,0
drew,0
tears,0
from,0
most,0
of,0
ye,0
.,0
Bystanders,0
.,0
Upon,0
my,0
entering,0
my,0
Mother,0
's,0
Room,0
last,0
Night,0
",",0
who,0
should,0
I,0
see,0
there,0
to,0
my,0
great,0
surprise,0
but,0
ye,0
.,0
poor,0
Ducheſs,0
of,0
A——r,0
",",0
Mary,B-pers
Bertie,I-pers
",",0
Duchess,0
of,0
Ancaster,0
and,0
Kesteven,0
",",0
Mistress,0
of,0
the,0
Robes,0
to,0
the,0
Queen,0
.,0
Her,0
son,0
",",0
the,0
4th,0
Duke,0
",",0
died,0
on,0
8,0
July,0
1779,0
(,0
Wikipedia,0
),0
",",0
a,0
year,0
after,0
her,0
husband,0
.,0
I,0
thought,0
she,0
looked,0
very,0
grave,0
and,0
particularly,0
so,0
when,0
I,0
made,0
one,0
bow,0
to,0
her,0
but,0
with,0
an,0
Air,0
of,0
affection,0
or,0
rather,0
of,0
tenderneſs,0
yt,0
.,0
struck,0
me,0
very,0
much,0
.,0
She,0
",",0
as,0
well,0
as,0
many,0
other,0
people,0
have,0
reckoned,0
me,0
ye,0
very,0
image,0
of,0
her,0
poor,0
late,0
Son,0
to,0
whom,0
I,0
was,0
always,0
singularly,0
attached,0
",",0
as,0
I,0
always,0
looked,0
upon,0
him,0
to,0
be,0
",",0
a,0
very,0
honest,0
",",0
open,0
goodhearted,0
young,0
Man,0
which,0
he,0
really,0
was,0
notwithstanding,0
all,0
his,0
wildneſs,0
.,0
Well,0
then,0
soon,0
after,0
I,0
had,0
been,0
in,0
ye,0
.,0
Chamber,0
",",0
&,0
after,0
some,0
mutual,0
expreſsions,0
of,0
tenderneſs,0
had,0
paſsed,0
between,0
my,0
Mother,0
&,0
me,0
",",0
which,0
recalled,0
to,0
her,0
memory,0
her,0
Son,0
's,0
tenderneſs,0
towards,0
her,0
",",0
which,0
was,0
always,0
very,0
remarkable,0
",",0
ye,0
.,0
Poor,0
Woman,0
rose,0
out,0
of,0
her,0
place,0
in,0
an,0
agony,0
of,0
grief,0
",",0
&,0
retired,0
into,0
another,0
Apartment,0
.,0
There,0
my,0
a,0
m,0
iable,0
Mother,0
soon,0
followed,0
her,0
to,0
sympathise,0
with,0
her,0
in,0
her,0
grief,0
",",0
every,0
body,0
immediately,0
gueſsed,0
ye,0
.,0
occasion,0
of,0
ye,0
sudden,0
emotion,0
of,0
ye,0
.,0
poor,0
D——s,0
when,0
my,0
Mother,0
returned,0
&,0
declared,0
yt,0
.,0
to,0
be,0
ye,0
.,0
reason,0
which,0
I,0
have,0
mentioned,0
above,0
.,0
I,0
saw,0
ye,0
.,0
tears,0
trickle,0
down,0
my,0
Mother,0
's,0
Cheeks,0
for,0
I,0
saw,0
perceived,0
she,0
cd,0
..,0
not,0
help,0
putting,0
herself,0
in,0
ye,0
.,0
same,0
situation,0
to,0
which,0
her,0
affection,0
for,0
me,0
",",0
(,0
which,0
I,0
thank,0
ye,0
Almighty,0
",",0
I,0
may,0
say,0
is,0
very,0
great,0
),0
prompted,0
her,0
.,0
My,0
heart,0
felt,0
very,0
much,0
for,0
ye,0
.,0
poor,0
Woman,0
",",0
so,0
that,0
it,0
was,0
painful,0
to,0
me,0
to,0
refrain,0
from,0
tears,0
for,0
some,0
time,0
.,0
I,0
know,0
what,0
my,0
Miranda,B-pers
wld,0
..,0
have,0
suffered,0
had,0
she,0
been,0
present,0
",",0
not,0
only,0
from,0
ye,0
knowledge,0
I,0
have,0
of,0
her,0
excellent,0
heart,0
",",0
but,0
from,0
what,0
she,0
felt,0
upon,0
a,0
similar,0
occasion,0
.,0
But,0
enough,0
of,0
this,0
melancholy,0
subject,0
for,0
ye,0
.,0
present,0
I,0
am,0
afraid,0
of,0
interesting,0
yr,0
.,0
tender,0
feelings,0
My,0
Miranda,B-pers
too,0
much,0
for,0
yr,0
.,0
Spirits,0
",",0
for,0
I,0
am,0
always,0
very,0
much,0
afraid,0
",",0
&,0
indeed,0
avoid,0
as,0
much,0
as,0
is,0
in,0
my,0
power,0
mentioning,0
any,0
such,0
dismal,0
subject,0
",",0
for,0
fear,0
it,0
shd,0
..,0
be,0
detremental,0
to,0
yr,0
.,0
health,0
",",0
because,0
I,0
know,0
how,0
much,0
you,0
love,0
to,0
brood,0
over,0
such,0
melancholy,0
topics,0
.,0
I,0
am,0
sorry,0
my,0
dearest,0
friend,0
&,0
Sister,0
yt,0
.,0
I,0
am,0
not,0
to,0
have,0
ye,0
.,0
happineſs,0
of,0
yr,0
.,0
Company,0
at,0
W——r,B-place
",",0
you,0
know,0
from,0
what,0
I,0
have,0
often,0
told,0
you,0
yt,0
.,0
it,0
is,0
not,0
flattery,0
when,0
I,0
tell,0
you,0
it,0
is,0
so,0
to,0
me,0
",",0
however,0
tho,0
',0
I,0
have,0
ſhall,0
ye,0
first,0
Afternoon,0
I,0
am,0
there,0
seat,0
myſelf,0
upon,0
yr,0
.,0
Chair,0
&,0
think,0
how,0
many,0
happy,0
moments,0
I,0
have,0
paſsed,0
with,0
my,0
Miranda,B-pers
in,0
yt,0
.,0
spot,0
&,0
how,0
many,0
more,0
I,0
have,0
yet,0
to,0
