TOKEN,NE
This,0
note,0
for,0
Queen,0
Charlotte,0
begins,0
about,0
two,0
thirds,0
of,0
the,0
way,0
down,0
the,0
first,0
page,0
of,0
the,0
image,0
.,0
It,0
is,0
preceded,0
by,0
Delany,0
's,0
letter,0
to,0
Hamilton,0
",",0
transcribed,0
as,0
LWL,0
Mss,0
Vol,0
.,0
75,0
(,0
22,0
),0
(,0
1,0
),0
.,0
Copy,0
of,0
Mrs.,B-pers
D——,I-pers
's,0
letter,0
to,0
meſsage,0
to,0
ye,0
.,0
Queen,0
Through,0
Miſs,B-pers
Hamilton,I-pers
wrote,0
under,0
ye,0
.,0
above,0
.,0
With,0
ye,0
.,0
utmost,0
fearfulneſs,0
of,0
being,0
too,0
presumptuous,0
Mrs.,B-pers
Delany,I-pers
most,0
earnestly,0
wishes,0
to,0
offer,0
this,0
lowly,0
tribute,0
of,0
her,0
most,0
humble,0
duty,0
&,0
warmest,0
gratitude,0
to,0
ye,0
.,0
Queen,0
.,0
the,0
apprehension,0
yt,0
it,0
may,0
be,0
ye,0
.,0
last,0
effort,0
she,0
shall,0
be,0
able,0
to,0
exert,0
of,0
this,0
work,0
wch,0
.,0
has,0
been,0
much,0
honor,0
'd,0
by,0
her,0
Majesty,0
's,0
approbation,0
",",0
urges,0
&,0
emboldens,0
her,0
to,0
lay,0
this,0
at,0
her,0
M,0
's,0
feet,0
",",0
&,0
if,0
in,0
ye,0
.,0
smallest,0
degree,0
it,0
shoud,0
prove,0
acceptable,0
&,0
recd,0
.,0
as,0
a,0
testimony,0
of,0
her,0
profound,0
respect,0
",",0
Her,0
highest,0
ambition,0
will,0
be,0
gratified,0
.,0
