TOKEN,NE
49a,0
Dear,0
Miſs,B-pers
Hamilton,I-pers
AAunt,0
D,0
desires,0
y,0
t,0
o,0
know,0
how,0
you,0
do,0
to,0
day,0
.,0
she,0
is,0
better,0
for,0
the,0
rain,0
--,0
begs,0
you,0
will,0
send,0
her,0
word,0
exactly,0
what,0
you,0
wd-,0
have,0
her,0
say,0
to,0
the,0
Dſ,0
D,0
of,0
P——,0
about,0
Westminster,0
Abbey,0
This,0
seems,0
to,0
be,0
the,0
excursion,0
mentioned,0
in,0
LWL,0
Mss,0
Vol,0
.,0
75,0
(,0
50,0
),0
--,0
Adieu,0
ever,0
your,0
Obliged,0
G,B-pers
MAPort,I-pers
24,0
th,0
.,0
May,0
1784,0
Mr.,B-pers
Cauderoy,I-pers
Caroline,0
Street,0
Now,0
Adeline,0
Place,0
",",0
between,0
Bedford,0
Square,0
and,0
Great,0
Russell,0
Street,0
.,0
Bedford,0
Square,0
--,0
William,0
Cowderoy,0
was,0
a,0
tea,0
merchant,0
and,0
grocer,0
",",0
whose,0
shop,0
was,0
on,0
the,0
corner,0
of,0
Great,0
Russell,0
Street,0
and,0
Caroline,0
Street,0
.,0
To,0
Miſs,B-pers
Hamilton,I-pers
Clarges,0
St,0
This,0
address,0
has,0
been,0
fragmented,0
by,0
unfolding,0
.,0
