TOKEN,NE
The,0
first,0
image,0
is,0
of,0
an,0
archival,0
note,0
with,0
basic,0
metadata,0
",",0
the,0
location,0
in,0
the,0
Yale,0
Edition,0
of,0
Horace,0
Walpole,0
's,0
correspondence,0
",",0
and,0
the,0
provenance,0
of,0
the,0
document,0
.,0
This,0
letter,0
appears,0
in,0
Lewis,0
(,0
1937-83,0
:,0
XXXI,0
",",0
232-233,0
),0
.,0
Strawberry,0
hill,0
July,0
19,0
.,0
1785,0
.,0
Dear,0
Madam,0
Printed,0
By,0
a,0
postscript,0
in,0
a,0
letter,0
which,0
I,0
have,0
just,0
received,0
from,0
DMr,B-pers
Keate,I-pers
",",0
he,0
tells,0
me,0
the,0
Ducheſs,0
of,0
Portland,0
is,0
dead,0
.,0
I,0
did,0
hear,0
at,0
Ditton,B-place
on,0
Sunday,0
that,0
she,0
had,0
been,0
thought,0
dead,0
",",0
but,0
was,0
much,0
better,0
--,0
Still,0
",",0
as,0
it,0
comes,0
from,0
Mr,B-pers
Keate,I-pers
",",0
&,0
as,0
you,0
was,0
so,0
much,0
alarmed,0
when,0
I,0
saw,0
you,0
",",0
&,0
indeed,0
as,0
I,0
thought,0
her,0
so,0
much,0
altered,0
",",0
I,0
fear,0
it,0
is,0
but,0
too,0
true,0
.,0
You,0
will,0
forgive,0
me,0
therefore,0
for,0
troubling,0
you,0
with,0
inquiring,0
about,0
poor,0
Mrs,B-pers
Delany,I-pers
.,0
It,0
woud,0
be,0
to,0
no,0
purpose,0
to,0
send,0
to,0
her,0
House,0
.,0
I,0
did,0
intend,0
to,0
be,0
in,0
town,B-place
on,0
thursday,0
",",0
but,0
Madame,0
de,0
Genlis,0
has,0
invited,0
herself,0
hither,0
on,0
friday,0
.,0
I,0
am,0
not,0
sure,0
I,0
shall,0
be,0
able,0
to,0
go,0
on,0
Saturday,0
.,0
I,0
am,0
afraid,0
of,0
miſsing,0
you,0
",",0
&,0
I,0
want,0
to,0
see,0
our,0
poor,0
Friend,0
over,0
against,0
you,0
.,0
I,0
see,0
a,0
French,0
account,0
of,0
poor,0
Louisa,B-pers
advertised,0
This,0
presumably,0
refers,0
to,0
the,0
'poor,0
Louisa,0
',0
mentioned,0
in,0
MSS1,0
b.12,0
f.39,0
--,0
do,0
you,0
know,0
anything,0
of,0
it,0
?,0
Pray,0
forgive,0
all,0
this,0
trouble,0
--,0
but,0
whom,0
does,0
one,0
tease,0
but,0
good,0
hearts,0
!,0
The,0
Bad,0
neither,0
encourage,0
nor,0
indulge,0
one,0
--,0
but,0
will,0
Mr,B-pers
Dickinson,I-pers
not,0
think,0
me,0
impertinent,0
?,0
yet,0
I,0
am,0
yr,0
most,0
devoted,0
HorWalpole,B-pers
This,0
page,0
is,0
blank,0
.,0
This,0
page,0
is,0
blank,0
.,0
Honble,0
H,B-pers
Walpole,I-pers
July,0
19,0
:,0
1785,0
Remains,0
of,0
a,0
postmark,0
'II,0
ISLEWORTH,B-place
',0
remain,0
;,0
the,0
address,0
is,0
crossed,0
with,0
a,0
',0
2,0
',0
indicating,0
postage,0
due,0
.,0
To,0
Mrs,B-pers
Dickinson,I-pers
in,0
Clarges,0
street,0
London,B-place
.,I-place
This,0
address,0
is,0
written,0
verticallly,0
.,0
Remains,0
of,0
Bishop,0
mark,0
dated,0
19,0
June,0
visible,0
.,0
Seal,0
in,0
red,0
wax,0
remains,0
intact,0
.,0
