TOKEN	NE
My	O
Dear	O
Friends	O
the	B-pers
Ducſs	I-pers
.	I-pers
Dowgr	I-pers
.	I-pers
of	I-pers
Portland	I-pers
&	O
Mrs.	B-pers
Delany	I-pers
always	O
called	O
Mr	B-pers
Dickenson	I-pers
the	O
King	O
of	O
Poland	O
--	O
as	O
they	O
thought	O
he	O
resembled	O
him	O
.	O
We	O
hope	O
the	B-pers
King	I-pers
of	I-pers
P	I-pers
.	I-pers
will	O
stay	O
till	O
twelveth	O
day	O
and	O
that	O
you	O
will	O
be	O
Queen	O
,	O
you	O
have	O
pushed	O
him	O
about	O
so	O
much	O
that	O
he	O
would	O
not	O
condescend	O
to	O
a	O
vulgar	O
beef	O
stake	O
but	O
for	O
a	O
particular	O
relish	O
he	O
knows	O
he	O
shall	O
meet	O
with	O
.	O
wou	O
'd	O
you	O
believe	O
it	O
my	O
Dear	O
Miſs	B-pers
Hamilton	I-pers
the	O
D	O
.	O
D	O
.	O
G	O
.	O
ordered	O
a	O
poor	O
rook	O
to	O
be	O
shot	O
to	O
death	O
&	O
a	O
whole	O
Colony	O
frighten	O
'd	O
out	O
of	O
their	O
wits	O
who	O
were	O
all	O
starving	O
for	O
picking	O
up	O
a	O
few	O
grains	O
of	O
Corn	O
from	O
the	O
Hares	O
whilst	O
the	O
screaming	O
Peacocks	O
squalling	O
Guineas	O
Cackling	O
Bantams	O
gobbled	O
it	O
all	O
up	O
with	O
impunity	O
we	O
do	O
n't	O
doubt	O
you	O
have	O
had	O
a	O
merry	O
Xmas	O
&	O
return	O
your	O
kind	O
wishes	O
with	O
great	O
Warmth	O
Mrs	B-pers
D	I-pers
.	I-pers
says	O
that	O
must	O
be	O
very	O
acceptable	O
it	O
is	O
sufficient	O
to	O
have	O
the	O
word	O
warmth	O
warmth	O
in	O
it	O
We	O
do	O
n't	O
know	O
what	O
your	O
fashions	O
are	O
in	O
London	B-place
but	O
ours	O
are	O
three	O
Handkerchiefs	O
four	O
Cloaks	O
hoods	O
to	O
the	O
tip	O
of	O
our	O
Nose	O
besides	O
spectacles	O
an	O
Oxonian	O
is	O
just	O
entered	O
&	O
must	O
put	O
an	O
end	O
to	O
the	O
Chatter	O
of	O
your	O
affectionate	O
MC	B-pers
Portland	I-pers
he	O
has	O
told	O
us	O
strange	O
reports	O
I	O
shall	O
be	O
impatient	O
to	O
meet	O
my	O
Dearest	O
Friend	O
on	O
thursday	O
at	O
Dinner	O
in	O
S	O
t	O
James	O
's	O
place	O
I	O
shall	O
set	O
down	O
our	O
dear	O
friend	O
on	O
Wednesday	O
&	O
go	O
home	O
directly	O
.	O
rejoyce	O
Ldy	B-pers
S	I-pers
.	I-pers
little	O
Boy	O
is	O
recovered	O
may	O
every	O
thing	O
tend	O
to	O
the	O
Happineſs	O
of	O
my	O
Dear	O
Freind	O
&	O
Lady	B-pers
Stormont	I-pers
to	O
whom	O
I	O
beg	O
you	O
will	O
make	O
my	O
Compts	O
acceptable	O
Bullstrode	O
Sunday	O
night	O
Decbr	O
26	O
th	O
:	O
1784	O
To	O
Henry	B-pers
Clarges	O
Street	O
the	B-pers
K.	I-pers
of	I-pers
Poland	I-pers
Decbr	O
.	O
84	O
