TOKEN	NE
Canterbury	B-place
March	O
7	O
th	O
-	O
1773	O
I	O
have	O
attempted	O
above	O
twenty	O
times	O
My	O
dearest	O
Mary	B-pers
writing	O
you	O
but	O
might	O
as	O
well	O
have	O
just	O
tryed	O
to	O
have	O
jumped	O
to	O
Northampton	B-place
as	O
to	O
write	O
nor	O
do	O
I	O
know	O
whither	O
I	O
'll	O
be	O
able	O
to	O
make	O
out	O
this	O
ſide	O
as	O
I	O
am	O
interrupted	O
every	O
moment	O
,	O
this	O
is	O
my	O
buſy	O
time	O
nor	O
have	O
I	O
time	O
almost	O
to	O
sit	O
down	O
from	O
seven	O
in	O
the	O
morning	O
to	O
bed	O
time	O
,	O
what	O
with	O
field	O
days	O
,	O
drills	O
on	O
Horse	O
back	O
&	O
Foot	O
,	O
parades	O
,	O
&	O
other	O
neceſsary	O
business	O
's	O
my	O
time	O
is	O
so	O
taken	O
up	O
that	O
my	O
friends	O
must	O
take	O
the	O
word	O
for	O
the	O
deed	O
till	O
after	O
the	B-pers
King	I-pers
s	O
review	O
,	O
&	O
except	O
to	O
Mrs	B-pers
Napier	I-pers
&	O
yourself	O
I	O
am	O
resolved	O
not	O
to	O
write	O
a	O
single	O
line	O
and	O
you	O
both	O
must	O
be	O
content	O
with	O
a	O
few	O
lines	O
your	O
selves	O
,	O
this	O
My	O
dearest	O
Girl	O
I	O
tell	O
you	O
that	O
you	O
may	O
not	O
expect	O
long	O
ones	O
from	O
me	O
till	O
after	O
I	O
see	O
you	O
which	O
I	O
hope	O
will	O
be	O
in	O
the	O
middle	O
of	O
May	O
in	O
my	O
way	O
northwards	O
.	O
You	O
give	O
me	O
your	O
opinion	O
of	O
Colonel	B-pers
Bland	I-pers
which	O
I	O
make	O
no	O
doubt	O
is	O
ju	O
st	O
tho	O
I	O
am	O
little	O
acquaint	O
with	O
him	O
but	O
as	O
a	O
Soldier	O
never	O
having	O
ſeen	O
him	O
much	O
but	O
in	O
Camp	O
,	O
as	O
to	O
common	O
place	O
Compliments	O
to	O
the	O
Lady	O
's	O
thats	O
a	O
fault	O
most	O
Men	O
get	O
when	O
young	O
and	O
often	O
continues	O
with	O
them	O
after	O
years	O
grows	O
upon	O
them	O
,	O
you	O
My	O
dear	O
Mary	B-pers
have	O
been	O
bred	O
up	O
very	O
differently	O
from	O
the	O
generality	O
of	O
your	O
Sex	O
otherwise	O
you	O
would	O
not	O
have	O
been	O
either	O
surprised	O
or	O
shocked	O
at	O
hearing	O
these	O
Compliment	O
s	O
made	O
use	O
off	O
to	O
young	O
Ladys	O
indiscriminally	O
,	O
as	O
they	O
have	O
no	O
meaning	O
they	O
becom	O
e	O
words	O
of	O
course	O
&	O
go	O
into	O
one	O
ear	O
&	O
out	O
of	O
t'other	O
,	O
&	O
a	O
little	O
more	O
uſuage	O
in	O
the	O
World	O
will	O
shew	O
you	O
its	O
the	O
only	O
conversation	O
carried	O
on	O
between	O
the	O
young	O
people	O
of	O
either	O
Sex	O
in	O
this	O
age	O
,	O
so	O
no	O
wonder	O
if	O
some	O
of	O
it	O
remains	O
with	O
both	O
after	O
they	O
come	O
to	O
more	O
years	O
.	O
It	O
gives	O
me	O
great	O
concern	O
to	O
hear	O
o	O
f	O
Mr	B-pers
Hope	I-pers
's	O
misfortune	O
tho	O
its	O
been	O
