TOKEN	NE
August	O
18	O
th	O
.	O
1784	O
Wednesday	O
Clarges	O
Street	O
Br	O
in	O
my	O
own	O
Room	O
work	O
'd	O
till	O
10	O
--	O
sat	O
then	O
went	O
down	O
stai	O
rs	O
wth	O
.	O
Miſs	B-pers
C	I-pers
's	I-pers
till	O
dinner	O
time	O
.	O
sent	O
a	O
Note	O
to	O
Mrs.	B-pers
Delany	I-pers
to	O
enquire	O
after	O
her	O
&	O
excuse	O
my	O
not	O
going	O
to	O
her	O
to	O
day	O
,	O
recd	O
.	O
an	O
answer	O
&	O
yt	O
.	O
she	O
was	O
pretty	O
well	O
.	O
A	B-pers
Maria	I-pers
chatted	O
&	O
scribbled	O
--	O
I	O
added	O
some	O
things	O
to	O
her	O
screens	O
&	O
wrote	O
--	O
letters	O
--	O
one	O
to	O
Mrs.	B-pers
Murray	I-pers
(	O
a	O
long	O
one	O
)	O
to	O
Mrs.	B-pers
Vesey	I-pers
.	O
to	O
Lady	B-pers
Dartrey	I-pers
.	O
Mr.	B-pers
Stanhope	I-pers
call	O
'd	O
again	O
--	O
he	O
was	O
not	O
let	O
in	O
he	O
intreated	O
ye	O
.	O
Servt	O
.	O
to	O
let	O
him	O
know	O
if	O
I	O
had	O
a	O
moments	O
leisure	O
as	O
he	O
much	O
wish	O
'd	O
to	O
see	O
me	O
before	O
he	O
went	O
out	O
of	O
Town	B-place
--	O
din	O
'd	O
wth	O
.	O
Miſs	B-pers
C	I-pers
's	I-pers
--	O
good	O
old	O
Mrs.	B-pers
Ruſsel	I-pers
came	O
in	O
we	O
made	O
her	O
sit	O
with	O
us	O
&	O
drank	O
a	O
glaſs	O
of	O
wine	O
after	O
her	O
walk	O
.	O
Recd	O
.	O
a	O
letter	O
by	O
ye	O
.	O
Post	O
from	O
my	O
friend	O
Lady	B-pers
Wake	I-pers
--	O
was	O
rather	O
disappointed	O
not	O
to	O
receive	O
one	O
from	O
D——shire	O
.	O
wrote	O
a	O
few	O
lines	O
to	O
Mr.	B-pers
D	I-pers
.	I-pers
by	O
this	O
Post	O
to	O
inform	O
him	O
ye	O
.	O
Picture	O
was	O
not	O
sent	O
&	O
c	O
.	O
At	O
6	O
o'Clock	O
Lady	B-pers
Stormont	I-pers
s	O
Coach	O
came	O
for	O
me	O
.	O
we	O
had	O
a	O
tête	O
á	O
tête	O
expe	O
except	O
George	B-pers
,	O
Chs	B-pers
&	O
ye	O
.	O
little	O
one	O
,	O
&	O
Nurse	B-pers
Hill	I-pers
till	O
past	O
7	O
--	O
she	O
told	O
me	O
that	O
she	O
had	O
told	O
my	O
our	O
Uncle	O
William	B-pers
&	O
Cousin	O
Chs	B-pers
:	I-pers
Greville	I-pers
yesterday	O
abt	O
.	O
Mr.	B-pers
Dickenson	I-pers
&	O
me	O
to	O
prepare	O
them	O
&	O
c.	O
&	O
c.	O
&	O
c.	O
that	O
my	O
Uncle	O
was	O
much	O
satisfied	O
,	O
h	O
as	O
he	O
had	O
taken	O
it	O
into	O
his	O
head	O
I	O
should	O
might	O
accept	O
&	O
Mr.	B-pers
D——w——	I-pers
would	O
offer	O
&	O
that	O
he	O
was	O
not	O
suited	O
to	O
my	O
disposition	O
&	O
c	O
&	O
c	O
.	O
Lord	B-pers
Stormont	I-pers
came	O
to	O
us	O
at	O
½	O
past	O
7	O
he	O
first	O
paid	O
his	O
compts	O
.	O
&	O
left	O
us	O
to	O
go	O
to	O
dinner	O
he	O
had	O
been	O
speaking	O
at	O
in	O
ye	O
.	O
house	O
of	O
Lord	O
's	O
--	O
at	O
½	O
past	O
8	O
he	O
return	O
'd	O
to	O
us	O
--	O
told	O
us	O
ye	O
.	O
subject	O
of	O
ye	O
.	O
debate	O
--	O
It	O
was	O
interesting	O
to	O
me	O
to	O
hear	O
it	O
from	O
him	O
but	O
not	O
neceſsary	O
for	O
