TOKEN	NE
My	O
dearest	O
dearest	O
dearest	O
friend	O
,	O
I	O
have	O
now	O
but	O
a	O
moment	O
,	O
therefore	O
I	O
will	O
say	O
what	O
little	O
I	O
can	O
to	O
you	O
now	O
the	O
rest	O
must	O
be	O
deferred	O
till	O
5	O
o	O
clock	O
tomorrow	O
Morning	O
.	O
I	O
have	O
not	O
forgot	O
the	O
situation	O
Providence	O
has	O
placed	O
me	O
in	O
,	O
I	O
can	O
not	O
help	O
however	O
help	O
lamenting	O
that	O
I	O
am	O
of	O
such	O
rank	O
as	O
to	O
prevent	O
at	O
least	O
for	O
ye	O
present	O
,	O
my	O
being	O
united	O
to	O
her	O
,	O
whom	O
alone	O
I	O
can	O
love	O
.	O
I	O
should	O
look	O
upon	O
myself	O
as	O
the	O
most	O
execrable	O
wretch	O
upon	O
ye	O
face	O
of	O
ye	O
Earth	O
,	O
if	O
I	O
was	O
wanting	O
in	O
ye	O
smallest	O
tittle	O
to	O
ye	O
best	O
of	O
Parents	O
,	O
I	O
would	O
not	O
be	O
ye	O
cause	O
of	O
a	O
moment	O
's	O
un	O
happineſs	O
to	O
them	O
for	O
all	O
the	O
Earth	O
poſseſses	O
.	O
Impetuosity	O
,	O
ardor	O
,	O
no	O
word	O
is	O
too	O
ſtrong	O
for	O
my	O
present	O
sentiments	O
.	O
I	O
see	O
Beauty	O
Person	O
,	O
accomplishments	O
,	O
every	O
thing	O
in	O
ſhort	O
in	O
you	O
that	O
could	O
make	O
my	O
life	O
happy	O
.	O
But	O
after	O
tomorrow	O
I	O
will	O
forever	O
close	O
my	O
lips	O
upon	O
that	O
subject	O
whatever	O
my	O
feelings	O
may	O
be	O
as	O
it	O
seems	O
to	O
be	O
disagreable	O
to	O
you	O
.	O
Disgraceful	O
t	O
d	O
o	O
you	O
call	O
it	O
for	O
me	O
to	O
feel	O
such	O
sentiments	O
for	O
you	O
,	O
I	O
look	O
upon	O
it	O
as	O
ye	O
glory	O
of	O
my	O
life	O
.	O
I	O
conjure	O
you	O
by	O
all	O
that	O
's	O
sacred	O
to	O
explain	O
yrself	O
what	O
you	O
mean	O
when	O
you	O
say	O
whatever	O
appearance	O
things	O
may	O
carry	O
with	O
them	O
,	O
or	O
however	O
affairs	O
may	O
turn	O
out	O
you	O
will	O
act	O
up	O
to	O
ye	O
character	O
of	O
my	O
friend	O
.	O
ever	O
dear	O
ever	O
precious	O
name	O
.	O
You	O
drive	O
me	O
to	O
distraction	O
,	O
think	O
not	O
I	O
conjure	O
you	O
of	O
ever	O
going	O
,	O
if	O
you	O
do	O
at	O
present	O
,	O
you	O
will	O
drive	O
me	O
notwithstanding	O
all	O
ye	O
.	O
strong	O
principles	O
of	O
Religion	O
I	O
have	O
had	O
instilled	O
into	O
me	O
,	O
from	O
my	O
earliest	O
Childhood	O
,	O
to	O
commit	O
some	O
horrid	O
attempt	O
upon	O
myself	O
,	O
if	O
hereafter	O
you	O
go	O
&	O
retire	O
abroad	O
I	O
will	O
leave	O
my	O
Country	O
,	O
Parents	O
,	O
family	O
in	O
short	O
every	O
thing	O
that	O
ought	O
to	O
be	O
dear	O
to	O
me	O
on	O
Earth	O
,	O
merely	O
to	O
follow	O
you	O
in	O
order	O
to	O
have	O
ye	O
happineſs	O
of	O
seeing	O
her	O
to	O
whom	O
I	O
am	O
so	O
firmly	O
attached	O
.	O
But	O
after	O
tomorrow	O
I	O
again	O
declare	O
,	O
I	O
will	O
never	O
for	O
ye	O
.	O
future	O
open	O
my	O
lips	O
to	O
you	O
upon	O
that	O
subject	O
.	O
Excuse	O
I	O
entreat	O
of	O
you	O
the	O
violence	O
of	O
my	O
terms	O
,	O
it	O
is	O
upon	O
a	O
so	O
much	O
a	O
subject	O
too	O
much	O
connected	O
with	O
my	O
happineſs	O
for	O
m	O
y	O
e	O
to	O
speak	O
otherwise	O
upon	O
it	O
.	O
You	O
will	O
ever	O
be	O
my	O
friend	O
,	O
&	O
I	O
hope	O
you	O
never	O
will	O
find	O
any	O
reason	O
to	O
think	O
me	O
otherwise	O
than	O
yrs	O
.	O
Adieu	O
My	O
dearest	O
,	O
dearest	O
,	O
dearest	O
Friend	O
.	O
P.S	O
.	O
Excuse	O
my	O
writing	O
for	O
I	O
am	O
in	O
prodigious	O
hast	O
,	O
as	O
well	O
as	O
ye	O
stile	O
.	O
