TOKEN	NE
My	O
dear	O
Madam	O
how	O
unlucky	O
I	O
was	O
to	O
be	O
gone	O
to	O
try	O
sleeping	O
in	O
the	O
air	O
when	O
Mr	B-pers
dickenson	I-pers
was	O
so	O
good	O
as	O
to	O
call	O
on	O
me	O
;	O
but	O
I	O
shall	O
be	O
happy	O
.	O
to	O
see	O
him	O
&	O
Miſs	B-pers
Louisa	I-pers
any	O
morning	O
or	O
evening	O
after	O
after	O
half	O
an	O
hour	O
after	O
one	O
,	O
as	O
he	O
goes	O
I	O
go	O
out	O
to	O
air	O
.	O
After	O
breakfast	O
.	O
yrs	O
most	O
&	O
c	O
Orford	B-pers
8	O
May	O
1792	O
To	O
Mrs	B-pers
Dickenson	I-pers
