TOKEN,NE
THE,0
TRUE,0
NARRATIVE,0
OF,0
THE,0
PROCEEDINGS,0
AT,0
The,0
Sessions-House,0
IN,0
THE,0
OLD-BAYLY,0
Which,0
began,0
on,0
Monday,0
the,0
17th,0
of,0
this,0
Instant,0
January,0
",",0
and,0
ended,0
on,0
Tuesday,0
the,0
18th,0
following,0
.,0
Giving,0
an,0
Account,0
of,0
most,0
of,0
the,0
Remarkable,0
Trials,0
there,0
",",0
viz,0
.,0
For,0
Murder,0
",",0
Fellonies,0
and,0
Burglaries,0
",",0
&,0
c.,0
with,0
a,0
particular,0
Relation,0
of,0
their,0
Names,0
",",0
and,0
the,0
places,0
of,0
their,0
committing,0
their,0
Facts,0
",",0
with,0
the,0
number,0
of,0
those,0
Condemned,0
to,0
die,0
",",0
Burn,0
'd,0
in,0
the,0
Hand,0
",",0
Transported,0
and,0
to,0
be,0
whipt,0
.,0
But,0
more,0
particularly,0
of,0
the,0
Trial,0
and,0
Gondemnation,0
of,0
Alice,B-pers
Wigginton,I-pers
",",0
alias,0
Wiggens,0
",",0
for,0
Murdering,0
a,0
Child,0
of,0
about,0
12,0
or,0
14,0
years,0
of,0
Age,0
",",0
and,0
in,0
such,0
a,0
barbarous,0
manner,0
",",0
that,0
the,0
like,0
hath,0
scarce,0
been,0
heard,0
.,0
John,B-pers
Cooper,I-pers
and,0
Richard,B-pers
Johnson,I-pers
were,0
Indicted,0
for,0
the,0
Murther,0
of,0
one,0
Richard,B-pers
Washborne,I-pers
Gentleman,0
",",0
the,0
circumstances,0
as,0
follow,0
;,0
the,0
Prisoners,0
being,0
Sedanmen,0
",",0
had,0
as,0
they,0
said,0
",",0
been,0
carrying,0
one,0
Captain,0
Lucy,0
",",0
and,0
after,0
having,0
set,0
him,0
down,0
",",0
as,0
they,0
were,0
going,0
by,0
Nortnumberland-House,B-place
",",I-place
in,I-place
the,I-place
Strand,I-place
",",0
on,0
the,0
first,0
of,0
December,0
",",0
they,0
Jostelled,0
the,0
deceased,0
against,0
the,0
Rails,0
",",0
whereupon,0
he,0
struck,0
them,0
with,0
his,0
Cain,0
",",0
saying,0
",",0
that,0
since,0
they,0
undertook,0
the,0
work,0
of,0
Horses,0
",",0
they,0
ought,0
to,0
keep,0
the,0
Horse-way,0
",",0
this,0
began,0
the,0
Quarrel,0
",",0
after,0
which,0
they,0
fell,0
to,0
Fighting,0
",",0
in,0
which,0
conflict,0
the,0
deceased,0
was,0
so,0
wounded,0
and,0
bruised,0
",",0
that,0
in,0
thirteen,0
days,0
after,0
he,0
dyed,0
",",0
whereupon,0
the,0
Evidence,0
being,0
heard,0
for,0
both,0
parties,0
",",0
the,0
Jury,0
brought,0
them,0
in,0
Guilty,0
of,0
Manslaughter,0
.,0
John,B-pers
Oliver,I-pers
a,0
Frenchman,0
",",0
was,0
Indicted,0
for,0
robbing,0
one,0
Alexander,B-pers
Man,I-pers
",",0
at,0
Chearing-Cross,B-place
",",0
on,0
the,0
first,0
of,0
January,0
",",0
the,0
Prosecuter,0
keeping,0
a,0
Coffe-House,0
",",0
the,0
Prisoner,0
came,0
in,0
and,0
called,0
for,0
Coffe,0
",",0
staying,0
there,0
till,0
he,0
found,0
an,0
opportunity,0
to,0
get,0
innto,0
a,0
Chamber,0
where,0
he,0
got,0
a,0
Gold,0
Ring,0
",",0
and,0
several,0
other,0
things,0
",",0
which,0
were,0
taken,0
about,0
him,0
",",0
but,0
for,0
want,0
of,0
the,0
Evidences,0
being,0
in,0
Court,0
he,0
was,0
discharged,0
.,0
Thomas,B-pers
Wicks,I-pers
",",0
was,0
Arraigned,0
and,0
Tryed,0
",",0
for,0
that,0
he,0
in,0
the,0
Company,0
of,0
a,0
Fellow,0
called,0
little,0
Anthony,0
",",0
and,0
one,0
Smith,0
",",0
broke,0
open,0
the,0
House,0
of,0
one,0
Thomas,B-pers
Legisman,I-pers
",",0
living,0
in,0
the,0
Strand,B-place
",",0
during,0
the,0
time,0
that,0
He,0
and,0
his,0
Wife,0
were,0
at,0
a,0
Neighbours,0
house,0
at,0
Supper,0
",",0
taking,0
from,0
thence,0
a,0
silk,0
Petticoat,0
laced,0
with,0
Gold,0
and,0
Silver,0
Lace,0
",",0
vallued,0
at,0
four,0
pounds,0
",",0
seven,0
other,0
Petticoats,0
",",0
Sheets,0
",",0
Scarfs,0
",",0
Hoods,0
",",0
and,0
other,0
wearing,0
Apparel,0
",",0
a,0
Necklace,0
of,0
Peerl,0
",",0
a,0
Gold,0
Meddal,0
",",0
and,0
several,0
other,0
Goods,0
",",0
and,0
nineteen,0
pounds,0
of,0
money,0
",",0
in,0
all,0
",",0
to,0
the,0
vallue,0
of,0
100,0
pounds,0
",",0
being,0
seen,0
to,0
come,0
out,0
of,0
the,0
House,0
with,0
the,0
same,0
.,0
The,0
Robbery,0
was,0
committed,0
on,0
the,0
19th,0
of,0
February,0
last,0
and,0
the,0
Prisoner,0
after,0
much,0
Search,0
",",0
found,0
in,0
the,0
Marshalsea,0
Prison,0
",",0
his,0
Plea,0
was,0
that,0
he,0
knew,0
not,0
any,0
thing,0
of,0
the,0
Robbery,0
;,0
but,0
the,0
Evidence,0
being,0
very,0
positive,0
",",0
he,0
was,0
brought,0
in,0
Guilty,0
.,0
John,B-pers
Swift,I-pers
",",0
was,0
Indicted,0
for,0
the,0
Murther,0
of,0
Charles,B-pers
Jones,I-pers
",",0
in,0
the,0
Savoy,B-place
;,0
the,0
manner,0
of,0
the,0
Fact,0
was,0
thus,0
",",0
The,0
Prisoner,0
",",0
the,0
Deceased,0
and,0
another,0
Gentleman,0
being,0
at,0
Supper,0
together,0
",",0
there,0
arose,0
a,0
Quarrel,0
betwixt,0
the,0
Prisoner,0
and,0
the,0
Deceased,0
",",0
caused,0
by,0
the,0
Deceased,0
's,0
Singing,0
a,0
Baudy,0
Song,0
under,0
a,0
Ladies,0
Window,0
which,0
the,0
Deceased,0
did,0
aggravate,0
with,0
many,0
base,0
words,0
",",0
so,0
that,0
the,0
Prisoner,0
desiring,0
to,0
avoid,0
farther,0
mischif,0
",",0
took,0
his,0
leave,0
to,0
go,0
home,0
to,0
his,0
Lodging,0
",",0
when,0
as,0
the,0
Deceased,0
geting,0
from,0
the,0
Gentleman,0
that,0
held,0
him,0
",",0
followed,0
the,0
Prisoner,0
",",0
who,0
standing,0
upon,0
his,0
defence,0
had,0
the,0
ill,0
hap,0
to,0
wound,0
him,0
under,0
the,0
right,0
Pap,0
",",0
of,0
which,0
wound,0
in,0
a,0
short,0
time,0
he,0
dyed,0
.,0
So,0
that,0
upon,0
the,0
Evidence,0
the,0
Jury,0
found,0
that,0
what,0
was,0
done,0
",",0
was,0
for,0
self,0
Preservation,0
",",0
and,0
thereupon,0
returned,0
it,0
Se,0
Defendendo,0
.,0
Phillip,B-pers
Le-Merry,I-pers
was,0
Indicted,0
for,0
being,0
in,0
a,0
Burglary,0
breaking,0
open,0
the,0
House,0
of,0
James,B-pers
Holmes,I-pers
",",0
on,0
the,0
16th,0
of,0
June,0
last,0
",",0
but,0
refusing,0
to,0
Plead,0
",",0
the,0
Executioner,0
was,0
called,0
to,0
tie,0
him,0
up,0
and,0
he,0
ordered,0
to,0
the,0
Press,0
;,0
but,0
afterwards,0
being,0
perswaded,0
by,0
the,0
Court,0
and,0
the,0
Ordinary,0
he,0
consented,0
to,0
Plead,0
",",0
and,0
Pleaded,0
not,0
guilty,0
",",0
but,0
the,0
Fellony,0
and,0
Burglary,0
being,0
proved,0
against,0
him,0
by,0
one,0
Evans,0
",",0
who,0
was,0
confederate,0
with,0
him,0
in,0
the,0
Robery,0
",",0
he,0
was,0
Cast,0
.,0
James,B-pers
Dixon,I-pers
",",0
was,0
Indicted,0
for,0
a,0
Fellony,0
and,0
Burgalary,0
",",0
for,0
breaking,0
open,0
the,0
House,0
of,0
Rose,B-pers
Hayes,I-pers
Widdow,0
",",0
near,0
South-Town,B-place
;,0
and,0
taking,0
thence,0
one,0
Watch,0
vallued,0
at,0
Forty,0
Shillings,0
;,0
the,0
manner,0
thus,0
",",0
Three,0
of,0
them,0
as,0
supposed,0
being,0
in,0
the,0
Gang,0
",",0
the,0
Prisoner,0
broak,0
open,0
the,0
Shutter,0
of,0
a,0
Window,0
and,0
getting,0
in,0
",",0
let,0
in,0
the,0
other,0
Two,0
who,0
being,0
in,0
the,0
House,0
",",0
light,0
a,0
Candel,0
and,0
made,0
a,0
Fire,0
",",0
after,0
which,0
they,0
went,0
up,0
Stairs,0
and,0
took,0
a,0
Suit,0
of,0
Cloathes,0
off,0
from,0
a,0
Fellow,0
's,0
Bed,0
whilst,0
he,0
was,0
in,0
it,0
;,0
he,0
not,0
in,0
the,0
least,0
feeling,0
them,0
and,0
then,0
putting,0
out,0
the,0
Candel,0
they,0
departed,0
;,0
next,0
Morning,0
the,0
Prisoner,0
having,0
been,0
formerly,0
a,0
Servant,0
to,0
the,0
Party,0
robed,0
was,0
suspected,0
",",0
and,0
upon,0
inquiry,0
after,0
him,0
he,0
was,0
found,0
with,0
the,0
Suit,0
of,0
Cloathes,0
upon,0
his,0
Back,0
",",0
and,0
the,0
Watch,0
in,0
the,0
Room,0
where,0
he,0
Lodged,0
;,0
he,0
said,0
",",0
that,0
he,0
bought,0
the,0
Cloathes,0
of,0
a,0
Traveller,0
",",0
but,0
not,0
being,0
able,0
to,0
prove,0
it,0
",",0
he,0
was,0
convicted,0
of,0
the,0
Burglary,0
.,0
Matthew,B-pers
Snowden,I-pers
",",0
was,0
Indicted,0
for,0
Robing,0
the,0
House,0
of,0
Peter,B-pers
Erazmus,I-pers
in,0
Shadwell,B-place
",",0
on,0
the,0
18th,0
of,0
November,0
last,0
",",0
and,0
stealing,0
thence,0
Linnen,0
and,0
other,0
Goods,0
to,0
the,0
vallue,0
of,0
5,0
pounds,0
",",0
upon,0
which,0
Indictment,0
he,0
was,0
found,0
Guilty,0
.,0
THe,0
first,0
we,0
shall,0
here,0
give,0
you,0
an,0
Account,0
of,0
",",0
was,0
one,0
John,B-pers
Peetly,I-pers
",",0
who,0
was,0
Indicted,0
for,0
Killing,0
one,0
Mr.,0
John,B-pers
Gerrard,I-pers
",",0
Nephew,0
to,0
a,0
person,0
of,0
Quality,0
",",0
the,0
manner,0
thus,0
",",0
