TOKEN,NE
THE,0
PROCEEDINGS,0
AT,0
THE,0
SESSIONS,0
of,0
PEACE,0
",",0
Oyer,0
and,0
Terminer,0
",",0
FOR,0
THE,0
CITY,0
of,0
LONDON,0
",",0
AND,0
County,0
of,0
MIDDLESEX,0
",",0
ON,0
WEDNESDAY,0
the,0
8th,0
",",0
THURSDAY,0
the,0
9th,0
",",0
and,0
FRIDAY,0
the,0
10th,0
of,0
December,0
.,0
In,0
the,0
16th,0
Year,0
of,0
His,0
MAJESTY,0
'S,0
Reign,0
.,0
BEING,0
THE,0
First,0
SESSIONS,0
in,0
the,0
MAYORALTY,0
OF,0
THE,0
Right,0
Hon,0
.,0
Robert,B-pers
Willimott,I-pers
",",0
Esq,0
;,0
LORD-MAYOR,0
of,0
the,0
CITY,0
of,0
LONDON,0
.,0
LONDON,0
:,0
Printed,0
for,0
T.,0
COOPER,0
",",0
at,0
the,0
Globe,0
in,0
Pater-Noster-Row,0
",",0
1742,0
.,0
[,0
Price,0
Six-pence,0
.,0
],0
THE,0
PROCEEDINGS,0
AT,0
THE,0
Sessions,0
of,0
the,0
Peace,0
",",0
and,0
Oyer,0
and,0
Terminer,0
",",0
For,0
the,0
CITY,0
of,0
LONDON,0
",",0
&,0
c.,0
BEFORE,0
the,0
Right,0
Honourable,0
ROBERT,B-pers
WILLIMOTT,I-pers
",",0
Esq,0
;,0
Lord-Mayor,0
of,0
the,0
City,0
of,0
London,0
",",0
the,0
Right,0
Honourable,0
the,0
Lord,0
Chief,0
Justice,0
WILLES,0
",",0
Mr,0
Justice,0
CHAPPLE,0
",",0
Mr,0
Baron,B-pers
ABNEY,I-pers
",",0
Mr,0
Serjeant,0
URLIN,0
++,0
",",0
and,0
others,0
of,0
His,0
Majesty,0
's,0
Justices,0
of,0
Oyer,0
and,0
Terminer,0
for,0
the,0
City,0
of,0
London,0
",",0
and,0
Justices,0
of,0
Goal,0
Delivery,0
of,0
Newgate,0
",",0
holden,0
for,0
the,0
said,0
City,0
",",0
and,0
County,0
of,0
Middlesex,0
.,0
++,0
On,0
Tuesday,0
",",0
Dec.,0
14th,0
",",0
Mr,0
Serjeant,0
URLIN,0
was,0
chosen,0
Recorder,0
of,0
this,0
City,0
",",0
in,0
the,0
Room,0
of,0
Sir,0
JOHN,B-pers
STRANGE,I-pers
",",0
who,0
had,0
resign,0
'd,0
that,0
Office,0
.,0
London,0
Jury,0
.,0
James,B-pers
Figgins,I-pers
",",0
John,B-pers
Cargill,I-pers
",",0
Paul,B-pers
Henry,I-pers
Robinson,I-pers
",",0
John,B-pers
Catterns,I-pers
",",0
Edward,B-pers
Philpot,I-pers
",",0
Francis,B-pers
Collins,I-pers
",",0
Norris,B-pers
John,I-pers
Hancks,I-pers
",",0
Robert,B-pers
Munro,I-pers
",",0
Matthew,B-pers
Wealy,I-pers
",",0
Thomas,B-pers
Wheat,I-pers
",",0
Richard,B-pers
Wilson,I-pers
",",0
William,B-pers
Chesson,I-pers
.,0
Middlesex,0
Jury,0
.,0
John,B-pers
Dickins,I-pers
",",0
John,B-pers
Sheppard,I-pers
",",0
Richard,B-pers
Steel,I-pers
",",0
Thomas,B-pers
Skeats,I-pers
",",0
William,B-pers
Singleton,I-pers
",",0
Roger,B-pers
Whitfield,I-pers
",",0
Samuel,B-pers
Hammond,I-pers
",",0
Charles,B-pers
Durham,I-pers
",",0
Daniel,B-pers
Everden,I-pers
",",0
Nathaniel,B-pers
Gittings,I-pers
",",0
Roger,B-pers
Blagrove,I-pers
",",0
Henry,B-pers
Spenceley,I-pers
.,0
1.,0
John,B-pers
Creighton,I-pers
",",0
of,0
St,B-place
Giles,I-place
in,I-place
the,I-place
Fields,I-place
",",0
was,0
indicted,0
for,0
stealing,0
one,0
Pair,0
of,0
Leather,0
Pumps,0
",",0
Value,0
6,0
s.,0
the,0
Goods,0
of,0
John,B-pers
Crouch,I-pers
",",0
November,0
6th,0
.,0
John,B-pers
Crouch,I-pers
.,0
These,0
are,0
my,0
Pumps,0
;,0
they,0
hung,0
at,0
my,0
Door,0
",",0
the,0
Corner,0
of,0
Turnstile-Alley,B-place
in,0
Lincoln's-Inn-Fields,0
:,0
I,0
was,0
told,0
",",0
somebody,0
had,0
stole,0
a,0
Pair,0
of,0
Shoes,0
;,0
the,0
Prisoner,0
had,0
got,0
them,0
under,0
his,0
Coat,0
;,0
I,0
took,0
them,0
out,0
of,0
his,0
Right,0
Hand,0
",",0
and,0
he,0
fell,0
down,0
on,0
his,0
Knees,0
and,0
begged,0
Pardon,0
.,0
Guilty,0
.,0
[,0
Transportation,0
.,0
See,0
summary,0
.,0
],0
2.,0
Daniel,B-pers
Watson,I-pers
",",0
of,0
St,B-place
Martins,I-place
",",I-place
Ludgate,I-place
",",0
was,0
indicted,0
for,0
stealing,0
a,0
Cotton,0
Handkerchief,0
",",0
Value,0
6,0
d.,0
and,0
a,0
Tortoiseshell,0
Snuff-box,0
lined,0
with,0
Silver,0
",",0
with,0
a,0
Silver,0
Rim,0
and,0
Hinge,0
",",0
Value,0
10,0
s,0
the,0
Goods,0
of,0
Isaac,B-pers
Lacour,I-pers
",",0
October,0
25.,0
Isaac,B-pers
Lacour,I-pers
.,0
On,0
the,0
25th,0
of,0
October,0
last,0
",",0
I,0
was,0
coming,0
from,0
the,0
other,0
End,0
of,0
the,0
Town,0
",",0
with,0
my,0
Brother,0
Dr,0
Lacour,0
",",0
and,0
at,0
the,0
Corner,0
of,0
the,0
Old-Bailey,B-place
I,0
felt,0
a,0
Fellow,0
fumbling,0
at,0
my,0
Pocket,0
;,0
I,0
laid,0
hold,0
of,0
the,0
Prisoner,0
at,0
the,0
Bar,0
;,0
said,0
I,0
",",0
you,0
have,0
robbed,0
me,0
of,0
my,0
Handkerchief,0
:,0
Says,0
my,0
Brother,0
",",0
he,0
has,0
not,0
only,0
robbed,0
you,0
of,0
your,0
Handkerchief,0
",",0
but,0
has,0
just,0
dropped,0
your,0
Snuff-box,0
into,0
the,0
Channel,0
;,0
and,0
it,0
was,0
taken,0
out,0
of,0
the,0
Channel,0
wet,0
:,0
Said,0
I,0
",",0
do,0
you,0
look,0
after,0
the,0
Box,0
",",0
and,0
I,0
will,0
secure,0
the,0
Fellow,0
.,0
+,0
-,0
I,0
am,0
positive,0
I,0
felt,0
that,0
Fellow,0
at,0
my,0
Pocket,0
.,0
-,0
I,0
took,0
him,0
immediately,0
:,0
I,0
could,0
not,0
find,0
the,0
Handkerchief,0
upon,0
him,0
",",0
but,0
believe,0
it,0
to,0
be,0
taken,0
out,0
of,0
my,0
Pocket,0
at,0
that,0
Time,0
.,0
-,0
I,0
did,0
not,0
know,0
he,0
had,0
taken,0
the,0
Snuff-box,0
",",0
but,0
my,0
Brother,0
saw,0
him,0
drop,0
it,0
;,0
I,0
charged,0
a,0
Constable,0
with,0
him,0
",",0
and,0
the,0
next,0
Day,0
he,0
was,0
carried,0
before,0
one,0
of,0
the,0
Aldermen,0
",",0
and,0
committed,0
to,0
Newgate,0
.,0
+,0
The,0
Breaks,0
",",0
in,0
This,0
and,0
other,0
Trials,0
",",0
are,0
to,0
shew,0
",",0
that,0
what,0
follows,0
is,0
in,0
Answer,0
to,0
Questions,0
put,0
to,0
the,0
Witnesses,0
;,0
which,0
Questions,0
are,0
omitted,0
",",0
when,0
the,0
Answers,0
sufficiently,0
denote,0
what,0
they,0
were,0
.,0
Dr,0
Philip,B-pers
Lacour,I-pers
.,0
I,0
was,0
with,0
my,0
Brother,0
",",0
and,0
coming,0
by,0
the,0
Corner,0
of,0
the,0
Old-Bailey,0
",",0
I,0
saw,0
him,0
lay,0
hold,0
of,0
that,0
Fellow,0
",",0
and,0
heard,0
him,0
say,0
",",0
you,0
have,0
picked,0
my,0
Pocket,0
of,0
a,0
Handkerchief,0
;,0
it,0
was,0
just,0
by,0
a,0
Grocer,0
's,0
",",0
and,0
he,0
carried,0
him,0
into,0
the,0
Grocer,0
's,0
Shop,0
:,0
I,0
took,0
the,0
Box,0
out,0
of,0
the,0
Channel,0
",",0
and,0
brought,0
it,0
in,0
wet,0
.,0
-,0
It,0
is,0
a,0
large,0
Box,0
",",0
this,0
is,0
the,0
Box,0
I,0
took,0
out,0
of,0
the,0
Channel,0
;,0
I,0
took,0
a,0
Pinch,0
a,0
Snuff,0
out,0
of,0
it,0
at,0
Brown,0
's,0
Coffee-House,0
about,0
half,0
an,0
Hour,0
before,0
;,0
I,0
saw,0
the,0
Prisoner,0
throw,0
something,0
out,0
of,0
his,0
Hand,0
",",0
and,0
I,0
take,0
it,0
to,0
be,0
this,0
