TOKEN,NE
A,0
Full,0
and,0
True,0
ACCOUNT,0
OF,0
THE,0
PROCEEDINGS,0
AT,0
THE,0
Sessions,0
of,0
Oyer,0
and,0
Terminer,0
",",0
Holden,0
for,0
the,0
City,0
of,0
London,0
",",0
County,0
of,0
Middlesex,0
",",0
and,0
Goal-Delivery,0
of,0
Newgate,0
;,0
WHICH,0
BEGAN,0
AT,0
THE,0
SESSIONS-House,0
IN,0
THE,0
Old-Bayly,0
",",0
On,0
Thursday,0
",",0
June,0
1st,0
",",0
and,0
Ended,0
on,0
Fryday,0
",",0
June,0
2d,0
.,0
1682,0
.,0
Wherein,0
is,0
Contained,0
the,0
Tryal,0
of,0
many,0
Notorious,0
Malefactors,0
",",0
for,0
Murders,0
",",0
Fellonies,0
",",0
Burglary,0
",",0
and,0
other,0
Misdemeanours,0
",",0
but,0
more,0
especially,0
the,0
TRYAL,0
of,0
JANE,B-pers
KENT,I-pers
for,0
Witch-Craft,0
.,0
TOGETHER,0
",",0
With,0
the,0
Names,0
of,0
those,0
that,0
received,0
Sentence,0
of,0
Death,0
",",0
the,0
Number,0
of,0
those,0
Burn,0
'd,0
in,0
the,0
Hand,0
",",0
Transported,0
",",0
and,0
Whip,0
'd,0
.,0
As,0
likewise,0
some,0
Proceedings,0
in,0
Relation,0
to,0
the,0
Persons,0
that,0
Violently,0
took,0
the,0
Lady,0
out,0
of,0
the,0
Coach,0
on,0
Hounslow-Heath,0
.,0
LONDON,0
",",0
June,0
1st,0
",",0
1682,0
.,0
THis,0
Day,0
the,0
Sessions,0
of,0
Oyer,0
and,0
Terminer,0
",",0
began,0
at,0
the,0
Sessions-House,0
in,0
Old,0
Bayly,0
",",0
holden,0
there,0
for,0
the,0
City,0
of,0
London,0
",",0
County,0
of,0
Middlesex,0
",",0
and,0
Goal-Delivery,0
of,0
Newgate,0
",",0
until,0
the,0
2d,0
.,0
of,0
the,0
aforesaid,0
Instant,0
",",0
where,0
the,0
Proceedings,0
were,0
as,0
followeth,0
.,0
Elizabeth,B-pers
Hunt,I-pers
was,0
Indicted,0
for,0
picking,0
the,0
Pocket,0
of,0
Mary,B-pers
Rome,I-pers
",",0
of,0
25,0
shillings,0
;,0
the,0
manner,0
(,0
as,0
it,0
appeared,0
to,0
be,0
upon,0
Evidence,0
),0
was,0
thus,0
:,0
The,0
Prosecutor,0
going,0
through,0
a,0
narrow,0
Lane,0
in,0
Cheapside,B-place
",",0
to,0
avoid,0
being,0
hurt,0
by,0
a,0
Coach,0
that,0
was,0
coming,0
stood,0
up,0
in,0
a,0
door,0
way,0
",",0
whereupon,0
the,0
Prisoner,0
and,0
two,0
more,0
",",0
supposed,0
to,0
be,0
of,0
her,0
Gang,0
",",0
Shoulder'dher,0
up,0
",",0
and,0
in,0
the,0
mean,0
while,0
the,0
Prisoner,0
picked,0
her,0
Pocket,0
",",0
delivering,0
the,0
Money,0
to,0
the,0
Comrades,0
",",0
who,0
went,0
off,0
with,0
it,0
;,0
but,0
the,0
Prosecutor,0
immediately,0
perceiving,0
that,0
she,0
was,0
robbed,0
",",0
apprehended,0
the,0
Prisoner,0
",",0
who,0
desired,0
her,0
to,0
make,0
no,0
noise,0
and,0
she,0
would,0
give,0
her,0
satisfaction,0
",",0
and,0
thereupon,0
pulled,0
out,0
a,0
considerable,0
parcel,0
of,0
Money,0
",",0
but,0
upon,0
her,0
Tryal,0
she,0
denied,0
it,0
",",0
but,0
the,0
proofs,0
being,0
plain,0
",",0
not,0
only,0
by,0
another,0
Witness,0
",",0
but,0
also,0
by,0
her,0
former,0
Confession,0
",",0
she,0
was,0
found,0
Guilty,0
.,0
[,0
Death,0
