TOKEN,NE
THE,0
PROCEEDINGS,0
ON,0
THE,0
KING,0
's,0
Commission,0
of,0
the,0
Peace,0
",",0
AND,0
Oyer,0
and,0
Terminer,0
",",0
and,0
Goal-Delivery,0
of,0
New,0
gate,0
",",0
held,0
for,0
the,0
CITY,0
of,0
London,0
",",0
and,0
COUNTY,0
of,0
Middlesex,0
",",0
at,0
Justice-Hall,0
in,0
the,0
Old,0
Bayly,0
",",0
On,0
Friday,0
",",0
and,0
Saturday,0
",",0
being,0
the,0
13th,0
",",0
and,0
14th,0
",",0
of,0
January,0
",",0
17,0
15/16,0
.,0
In,0
the,0
Second,0
Year,0
of,0
His,0
MAJESTY,0
's,0
Reign,0
.,0
Before,0
the,0
Right,0
Hon,0
.,0
Sir,0
CHARLES,B-pers
PEERS,I-pers
",",0
Kt,0
.,0
Lord,0
Mayor,0
of,0
the,0
City,0
of,0
London,0
;,0
Mr.,0
Justice,0
Dormer,0
",",0
Mr.,0
Justice,0
Pratt,0
",",0
Sir,0
William,B-pers
Thompson,I-pers
",",0
Kt,0
.,0
Recorder,0
;,0
with,0
several,0
of,0
His,0
Majesty,0
's,0
Justices,0
of,0
the,0
Peace,0
for,0
the,0
City,0
of,0
London,0
",",0
and,0
County,0
of,0
Middlesex,0
.,0
The,0
Jurors,0
were,0
as,0
followeth,0
:,0
London,0
Jury,0
.,0
William,B-pers
Hicks,I-pers
Samuel,B-pers
Monk,I-pers
John,B-pers
Luckin,I-pers
Robert,B-pers
Lowick,I-pers
Joseph,B-pers
Alder,I-pers
Thomas,B-pers
Pestell,I-pers
Roger,B-pers
Jewers,I-pers
James,B-pers
Hedgeabout,I-pers
Joseph,B-pers
Gaywood,I-pers
James,B-pers
Field,I-pers
Henry,B-pers
Stevens,I-pers
Joseph,B-pers
Bowler,I-pers
Middlesex,0
Jury,0
.,0
John,B-pers
Mills,I-pers
",",0
Gent,0
.,0
Joseph,B-pers
Spencer,I-pers
Edward,B-pers
Boswell,I-pers
Adam,B-pers
White,I-pers
Thomas,B-pers
Griffith,I-pers
John,B-pers
Prater,I-pers
William,B-pers
Smithies,I-pers
Robert,B-pers
Cromwell,I-pers
William,B-pers
Gillmore,I-pers
Robert,B-pers
Weely,I-pers
Robert,B-pers
Chadd,I-pers
Richard,B-pers
Beatknife,I-pers
.,0
The,0
Proceedings,0
were,0
as,0
followeth,0
:,0
",",0
of,0
the,0
Parish,0
of,0
St.,B-place
Botolph,I-place
Aldgate,I-place
",",0
was,0
indicted,0
for,0
feloniously,0
stealing,0
1,0
pair,0
of,0
Shoes,0
",",0
value,0
2,0
s.,0
1,0
pair,0
of,0
Silver,0
Buckles,0
8,0
s.,0
and,0
a,0
small,0
Gun,0
12,0
s.,0
the,0
Goods,0
of,0
Thomas,B-pers
Saunders,I-pers
",",0
on,0
the,0
2d,0
Instant,0
.,0
It,0
appear,0
'd,0
the,0
Prisoner,0
was,0
the,0
Prosecutor,0
's,0
Servant,0
",",0
and,0
having,0
Opportunities,0
",",0
stole,0
the,0
Goods,0
",",0
which,0
was,0
fully,0
prov,0
'd,0
.,0
The,0
Prisoner,0
made,0
no,0
Defence,0
;,0
and,0
the,0
Jury,0
found,0
him,0
Guilty,0
.,0
[,0
Branding,0
.,0
See,0
summary,0
.,0
],0
William,B-pers
Llewellyn,I-pers
",",0
a,0
Boy,0
",",0
of,0
the,0
Parish,0
of,0
Alhallows,B-place
on,I-place
London,I-place
Wall,I-place
",",0
was,0
indicted,0
upon,0
two,0
Indictments,0
;,0
the,0
first,0
for,0
privately,0
stealing,0
a,0
Hat,0
",",0
value,0
2,0
s.,0
6,0
d.,0
from,0
the,0
Person,0
of,0
William,B-pers
Lewis,I-pers
",",0
jun,0
.,0
(,0
a,0
little,0
Boy,0
),0
on,0
the,0
10th,0
of,0
December,0
last,0
:,0
The,0
other,0
for,0
privately,0
stealing,0
a,0
Hat,0
",",0
value,0
7,0
s.,0
6,0
d.,0
from,0
the,0
Person,0
of,0
Elias,B-pers
Wynn,I-pers
(,0
also,0
a,0
little,0
Boy,0
),0
on,0
the,0
Day,0
aforesaid,0
.,0
Mr.,0
Lewis,0
depos,0
'd,0
",",0
his,0
Child,0
and,0
Elias,0
Wynn,0
were,0
at,0
Play,0
in,0
the,0
Church,0
Yard,0
",",0
and,0
came,0
home,0
without,0
their,0
Hats,0
;,0
and,0
sometime,0
after,0
going,0
along,0
with,0
his,0
Child,0
",",0
the,0
Prisoner,0
went,0
by,0
them,0
",",0
and,0
his,0
Boy,0
told,0
him,0
it,0
was,0
he,0
that,0
took,0
away,0
his,0
Hat,0
;,0
upon,0
which,0
he,0
secur,0
'd,0
him,0
",",0
and,0
carried,0
him,0
to,0
Mrs.,0
Wynn,0
's,0
",",0
whose,0
Child,0
also,0
knew,0
him,0
again,0
",",0
and,0
charg,0
'd,0
him,0
with,0
the,0
Fact,0
.,0
It,0
appear,0
'd,0
afterwards,0
by,0
another,0
Evidence,0
",",0
that,0
the,0
Prisoner,0
confess,0
'd,0
the,0
Facts,0
",",0
and,0
discover,0
'd,0
where,0
both,0
Hats,0
were,0
sold,0
;,0
and,0
upon,0
Search,0
",",0
Wyan,0
's,0
Hat,0
was,0
found,0
",",0
but,0
the,0
other,0
was,0
dispos,0
'd,0
of,0
.,0
The,0
Prisoner,0
made,0
a,0
weak,0
Defence,0
;,0
but,0
the,0
Jury,0
",",0
considering,0
his,0
Youth,0
",",0
found,0
him,0
Guilty,0
of,0
each,0
Indictment,0
to,0
the,0
Value,0
of,0
10,0
d.,0
only,0
.,0
[,0
Whipping,0
.,0
See,0
summary,0
.,0
],0
Edward,B-pers
Smith,I-pers
",",I-pers
alias,I-pers
Allcock,I-pers
",",0
of,0
the,0
Parish,0
of,0
St.,B-place
Vedast,I-place
",",0
alias,0
Foster,0
",",0
was,0
indicted,0
for,0
feloniously,0
stealing,0
3,0
Silver,0
Spoons,0
",",0
Value,0
42,0
s.,0
out,0
of,0
the,0
House,0
of,0
Edward,B-pers
Rogers,I-pers
",",0
on,0
the,0
13th,0
of,0
Decembe,0
r,0
last,0
.,0
It,0
appear,0
'd,0
the,0
Prisoner,0
came,0
into,0
Mr.,0
Roger,0
's,0
House,0
(,0
the,0
Naggs-Head,B-place
Tavern,I-place
in,I-place
Cheapside,I-place
),0
and,0
went,0
immediately,0
into,0
the,0
Kitchin,0
",",0
and,0
call,0
'd,0
for,0
a,0
Gill,0
of,0
Wine,0
;,0
just,0
before,0
which,0
the,0
Cook-Maid,0
had,0
wash,0
'd,0
the,0
Spoons,0
and,0
other,0
Things,0
",",0
and,0
put,0
them,0
into,0
a,0
convenient,0
Place,0
by,0
the,0
Sink,0
to,0
dry,0
.,0
The,0
Prisoner,0
was,0
extraordinary,0
gay,0
and,0
genteel,0
",",0
and,0
complemented,0
away,0
his,0
Wine,0
to,0
the,0
Cook,0
",",0
and,0
went,0
very,0
often,0
to,0
the,0
Sink,0
under,0
Pretence,0
of,0
making,0
Water,0
;,0
while,0
the,0
Cook,0
was,0
busied,0
in,0
dressing,0
a,0
Duck,0
for,0
some,0
Company,0
in,0
another,0
Room,0
",",0
which,0
being,0
near,0
ready,0
",",0
before,0
she,0
had,0
Occasion,0
for,0
Spoons,0
to,0
the,0
Sauce,0
",",0
the,0
Prisoner,0
went,0
away,0
:,0
When,0
he,0
was,0
gone,0
",",0
the,0
Spoons,0
were,0
miss,0
'd,0
immediately,0
;,0
and,0
the,0
abovemention,0
'd,0
Circumstances,0
gave,0
Mr.,0
Rogers,0
Reason,0
to,0
suspect,0
the,0
Prisoner,0
",",0
and,0
forthwith,0
sent,0
away,0
his,0
Servants,0
with,0
a,0
Description,0
of,0
him,0
to,0
all,0
the,0
Taverns,0
about,0
",",0
who,0
heard,0
of,0
him,0
twice,0
that,0
Night,0
.,0
At,0
last,0
the,0
Prosecutor,0
became,0
inform,0
'd,0
of,0
a,0
Coffee,0
House,0
he,0
us,0
'd,0
",",0
to,0
which,0
he,0
went,0
",",0
and,0
got,0
him,0
in,0
Track,0
and,0
in,0
Essex,0
Street,0
apprehended,0
him,0
",",0
and,0
charg,0
'd,0
him,0
with,0
the,0
Fact,0
;,0
at,0
which,0
Time,0
he,0
humbly,0
begged,0
the,0
Prosecutor,0
to,0
go,0
with,0
him,0
into,0
a,0
House,0
",",0
to,0
prevent,0
being,0
insulted,0
by,0
the,0
Populace,0
",",0
and,0
he,0
would,0
make,0
him,0
Satisfaction,0
;,0
which,0
was,0
complied,0
with,0
",",0
when,0
the,0
Prisoner,0
confess,0
'd,0
the,0
Fact,0
",",0
and,0
