TOKEN	NE
THE	O
TRYALS	O
OF	O
THE	O
PRISONERS	O
AT	O
THE	O
Sessions-House	O
in	O
the	O
Old	O
Bayly	O
,	O
Which	O
began	O
there	O
on	O
Wednesday	O
the	O
6th	O
of	O
this	O
Instant	O
September	O
,	O
and	O
ended	O
on	O
Thursday	O
the	O
7th	O
of	O
the	O
same	O
.	O
But	O
more	O
remarkably	O
of	O
the	O
Pewterer	O
,	O
who	O
was	O
Tryed	O
for	O
Killing	O
the	O
Boy	O
in	O
Walbrook	O
.	O
Together	O
with	O
the	O
Bailiffs	O
Tryals	O
for	O
Killing	O
a	O
Man	O
upon	O
an	O
Arrest	O
.	O
As	O
likewise	O
the	O
Account	O
of	O
those	O
Condemned	O
,	O
Burnt	O
in	O
the	O
Hand	O
,	O
and	O
to	O
be	O
Whipt	O
;	O
with	O
many	O
other	O
Remarkable	O
Passages	O
.	O
September	O
6	O
.	O
This	O
Day	O
the	O
Sessions	O
of	O
Oyer	O
and	O
Terminer	O
for	O
London	O
and	O
Middlesex	O
began	O
in	O
the	O
Old	O
Bayly	O
,	O
where	O
the	O
Proceedings	O
were	O
these	O
sequent	O
.	O
ANN	B-pers
Parkinson	I-pers
was	O
Indicted	O
for	O
Robbing	O
Sarah	B-pers
Puzny	I-pers
of	O
several	O
pieces	O
of	O
Plate	O
,	O
a	O
Mantua	O
Gown	O
,	O
pieces	O
of	O
Gold	O
,	O
and	O
a	O
considerable	O
quantity	O
of	O
Silver	O
Coin	O
,	O
all	O
amounting	O
to	O
upwards	O
of	O
50	O
pounds	O
;	O
a	O
great	O
part	O
of	O
which	O
was	O
found	O
in	O
her	O
Custody	O
,	O
and	O
at	O
such	O
places	O
where	O
she	O
had	O
pawned	O
them	O
;	O
and	O
it	O
being	O
evident	O
thet	O
she	O
Confessed	O
the	O
Robbery	O
since	O
her	O
Imprisonment	O
,	O
she	O
was	O
found	O
Guilty	O
,	O
though	O
she	O
pleaded	O
that	O
they	O
were	O
given	O
her	O
to	O
sell	O
by	O
a	O
Woman	O
that	O
owed	O
her	O
Money	O
.	O
[	O
Death	O
.	O
See	O
summary	O
.	O
]	O
John	B-pers
Clifford	I-pers
received	O
his	O
Tryal	O
for	O
taking	O
a	O
Queen	O
Elizabeth	O
Piece	O
of	O
Gold	O
out	O
of	O
the	O
Pocket	O
of	O
John	B-pers
Paine	I-pers
,	O
a	O
Person	O
who	O
came	O
to	O
lodg	O
at	O
an	O
Inn	O
,	O
where	O
he	O
was	O
under-Ostler	O
,	O
which	O
he	O
had	O
disposed	O
of	O
to	O
a	O
Goldsmith	O
for	O
25	O
Shillings	O
,	O
at	O
first	O
he	O
denied	O
it	O
,	O
but	O
afterwards	O
said	O
hefound	O
it	O
,	O
but	O
that	O
availed	O
him	O
nothing	O
,	O
for	O
he	O
was	O
found	O
Guilty	O
.	O
Richard	B-pers
Trebarford	I-pers
upon	O
his	O
Arraignment	O
for	O
stealing	O
a	O
Tankard	O
,	O
laid	O
