TOKEN	NE
THE	O
PROCEEDINGS	O
ON	O
THE	O
KING	O
's	O
Commission	O
of	O
the	O
Peace	O
,	O
AND	O
Oyer	O
and	O
Terminer	O
,	O
and	O
Goal-Delivery	O
of	O
Newgate	O
,	O
held	O
for	O
the	O
CITY	O
of	O
London	O
,	O
and	O
COUNTY	O
of	O
Middlesex	O
,	O
at	O
Justice-Hall	O
in	O
the	O
Old	O
Bayly	O
,	O
ON	O
Friday	O
and	O
Saturday	O
,	O
being	O
the	O
15th	O
and	O
16th	O
of	O
this	O
Instant	O
January	O
,	O
1719	O
.	O
In	O
the	O
Sixth	O
Year	O
of	O
His	O
MAJESTY	O
's	O
Reign	O
.	O
BEFORE	O
the	O
Right	O
Honourable	O
Sir	O
GEORGE	B-pers
THOROLD	I-pers
,	O
Kt	O
.	O
and	O
Baronet	O
,	O
Lord	O
Mayor	O
of	O
the	O
City	O
of	O
London	O
;	O
The	O
Lord	O
Chief	O
Baron	B-pers
Bury	I-pers
;	O
Mr.	O
Justice	O
Tracy	O
;	O
Mr.	O
Baron	B-pers
Page	I-pers
;	O
John	B-pers
Raby	I-pers
,	O
Esq	O
;	O
Deputy	O
Recorder	O
;	O
and	O
several	O
of	O
his	O
Majesty	O
's	O
Justices	O
of	O
the	O
Peace	O
for	O
the	O
City	O
of	O
London	O
,	O
and	O
County	O
of	O
Middlesex	O
.	O
The	O
Jurors	O
Names	O
'	O
were	O
as	O
followeth	O
:	O
London	O
Jury	O
.	O
Robert	B-pers
Brooks	I-pers
,	O
John	B-pers
Longbothom	I-pers
,	O
Joseph	B-pers
Gaywood	I-pers
,	O
Joseph	B-pers
Tucker	I-pers
,	O
Francis	B-pers
Lathom	I-pers
,	O
Thomas	B-pers
Forfeit	I-pers
,	O
William	B-pers
Palleday	I-pers
,	O
Richard	B-pers
Chadwick	I-pers
,	O
William	B-pers
Withers	I-pers
,	O
Thomas	B-pers
Parker	I-pers
,	O
Thomas	B-pers
Colebourn	I-pers
,	O
William	B-pers
Bates	I-pers
,	O
Middlesex	O
Jury	O
.	O
John	B-pers
Mills	I-pers
,	O
Edward	B-pers
Prior	I-pers
,	O
Henry	B-pers
Hall	I-pers
,	O
John	B-pers
Richbell	I-pers
,	O
George	B-pers
Dagget	I-pers
,	O
William	B-pers
Smitheys	I-pers
,	O
John	B-pers
Ragdale	I-pers
,	O
Thomas	B-pers
Palmer	I-pers
,	O
Richard	B-pers
Smith	I-pers
,	O
Thomas	B-pers
Griffith	I-pers
,	O
William	B-pers
Gilmore	I-pers
,	O
Edward	B-pers
Heather	I-pers
.	O
Margaret	B-pers
Norris	I-pers
and	O
Elizabeth	B-pers
Phillips	I-pers
,	O
of	O
the	O
Parish	O
of	O
St.	B-place
Christophers	I-place
,	O
were	O
indicted	O
,	O
the	O
former	O
for	O
feloniously	O
stealing	O
a	O
Piece	O
of	O
Holland	O
,	O
3	O
Holland	O
Aprons	O
,	O
a	O
pair	O
of	O
HollandSheets	O
,	O
a	O
Pillowbear	O
,	O
16	O
ells	O
of	O
Dowlas	O
,	O
15	O
Yards	O
of	O
Muslin	O
,	O
a	O
Silver	O
Watch	O
and	O
Chain	O
,	O
1	O
dozen	O
of	O
Knives	O
and	O
Forks	O
,	O
and	O
1	O
doz	O
,	O
of	O
Buckles	O
,	O
in	O
the	O
Dwelling	O
House	O
of	O
James	B-pers
Burstal	I-pers
,	O
on	O
the	O
9th	O
of	O
this	O
Instant	O
January	O
;	O
and	O
Elizabeth	O
Phillips	O
as	O
Accessary	O
for	O
receiving	O
the	O
same	O
,	O
knowing	O
them	O
to	O
be	O
stole	O
.	O
It	O
appeared	O
that	O
Norris	O
was	O
very	O
intimate	O
with	O
Mrs.	O
Bustal	O
,	O
and	O
complained	O
to	O
her	O
that	O
the	O
Scarf	O
Trade	O
,	O
which	O
she	O
(	O
Norris	O
)	O
then	O
followed	O
,	O
was	O
very	O
bad	O
,	O
and	O
that	O
she	O
was	O
in	O
a	O
very	O
low	O
Condition	O
;	O
whereupon	O
the	O
Prosecutor	O
took	O
her	O
in	O
out	O
of	O
Charity	O
,	O
and	O
put	O
great	O
Confidence	O
in	O
her	O
;	O
committing	O
all	O
to	O
her	O
Charge	O
while	O
they	O
went	O
into	O
the	O
Country	O
;	O
that	O
several	O
things	O
were	O
lost	O
out	O
of	O
the	O
House	O
,	O
and	O
Norris	O
told	O
the	O
Prosecutor	O
that	O
there	O
must	O
be	O
some	O
private	O
Thief	O
in	O
the	O
House	O
,	O
who	O
it	O
would	O
be	O
impossible	O
to	O
discover	O
while	O
he	O
kept	O
two	O
Servants	O
;	O
that	O
he	O
put	O
Norris	O
in	O
the	O
way	O
of	O
selling	O
Cutlery	O
Wares	O
to	O
the	O
Shops	O
in	O
the	O
City	O
,	O
turn	O
'd	O
away	O
several	O
Servants	O
,	O
but	O
did	O
not	O
suspect	O
Norris	O
;	O
till	O
coming	O
the	O
Day	O
mention	O
'd	O
in	O
the	O
Indictment	O
to	O
look	O
out	O
Goods	O
,	O
she	O
was	O
seen	O
to	O
take	O
the	O
Knives	O
,	O
Forks	O
,	O
and	O
Buckles	O
off	O
the	O
Compter	O
and	O
put	O
them	O
into	O
her	O
Petticoat	O
,	O
and	O
go	O
into	O
the	O
Back	O
Shop	O
with	O
them	O
,	O
whereupon	O
they	O
Secur	O
'd	O
her	O
;	O
and	O
searching	O
Phillips	O
's	O
Lodging	O
found	O
some	O
of	O
their	O
Goods	O
there	O
,	O
and	O
more	O
at	O
a	O
Pawnbrokers	O
in	O
Hounsditch	O
,	O
where	O
Phillip	O
's	O
had	O
pawn	O
'd	O
them	O
;	O
they	O
went	O
also	O
to	O
Norris	O
's	O
House	O
,	O
and	O
found	O
several	O
there	O
.	O
The	O
Goods	O
were	O
produc	O
'd	O
in	O
Court	O
and	O
own	O
by	O
the	O
Prosecutor	O
;	O
and	O
the	O
Pawnbroker	O
swore	O
that	O
Phillips	O
had	O
brought	O
the	O
Goods	O
which	O
he	O
took	O
in	O
.	O
The	O
Prisoners	O
called	O
some	O
to	O
their	O
Reputation	O
,	O
but	O
the	O
Evidence	O
being	O
positive	O
against	O
them	O
,	O
the	O
Jury	O
found	O
Norris	O
Guilty	O
to	O
the	O
value	O
of	O
39	O
s.	O
and	O
Phillips	O
Guilty	O
of	O
Receiving	O
the	O
same	O
,	O
knowing	O
them	O
to	O
be	O
stole	O
.	O
Both	O
Transportation	O
.	O
Edward	B-pers
Busby	I-pers
of	O
Alhallows	B-place
Barkin	I-place
,	O
was	O
indicted	O
for	O
feloniously	O
stealing	O
a	O
Barrel	O
of	O
Raisins	O
value	O
10	O
s.	O
the	O
Goods	O
of	O
Francis	B-pers
Booteen	I-pers
on	O
the	O
9th	O
of	O
this	O
instant	O
January	O
.	O
Mr.	O
Norman	O
deposed	O
that	O
he	O
was	O
employ	O
'd	O
by	O
the	O
Prosecutor	O
to	O
land	O
his	O
Goods	O
,	O
and	O
the	O
Barrel	O
of	O
Raisins	O
gone	O
,	O
but	O
taken	O
presently	O
after	O
on	O
the	O
Prisoner	O
's	O
Back	O
on	O
Tower-Hill	O
.	O
The	O
Prisoner	O
had	O
nothing	O
to	O
say	O
in	O
his	O
Defence	O
,	O
nor	O
any	O
to	O
his	O
Reputation	O
;	O
the	O
Jury	O
found	O
him	O
Guilty	O
.	O
Transportation	O
.	O
Elizabeth	B-pers
Simpson	I-pers
and	O
Mary	B-pers
Jones	I-pers
,	O
of	O
St.	B-place
Leonard	I-place
Eastcheap	I-place
,	O
were	O
indicted	O
for	O
privately	O
stealing	O
50	O
Ells	O
of	O
Black	O
Silk	O
value	O
12	O
l.	O
out	O
of	O
the	O
Shop	O
of	O
Jacob	B-pers
Wyam	I-pers
on	O
the	O
23	O
d	O
of	O
December	O
last	O
.	O
It	O
appeared	O
that	O
the	O
Prisoners	O
came	O
to	O
the	O
Prosecutor	O
's	O
Shop	O
to	O
cheapen	O
Silk	O
,	O
and	O
while	O
Simpson	O
was	O
buying	O
,	O
Jones	O
took	O
the	O
piece	O
mention	O
'd	O
in	O
the	O
Indictment	O
and	O
put	O
it	O
under	O
her	O
Riding	O
Hood	O
;	O
that	O
they	O
went	O
out	O
together	O
,	O
and	O
turning	O
back	O
again	O
the	O
Goods	O
were	O
found	O
on	O
Jones	O
,	O
which	O
she	O
dropt	O
at	O
the	O
Door	O
.	O
Jones	O
denyed	O
the	O
Fact	O
,	O
saying	O
they	O
came	O
back	O
to	O
buy	O
more	O
Silk	O
,	O
and	O
the	O
piece	O
mention	O
'd	O
was	O
found	O
in	O
the	O
Prosecutor	O
's	O
Shop	O
,	O
and	O
call	O
'd	O
several	O
to	O
her	O
Reputation	O
.	O
Simpson	O
pleaded	O
,	O
that	O
Jones	O
came	O
to	O
her	O
House	O
for	O
a	O
Petticoat	O
she	O
was	O
quilting	O
for	O
her	O
;	O
that	O
she	O
ask	O
'd	O
Jones	O
to	O
go	O
along	O
with	O
her	O
to	O
buy	O
a	O
Furbelow	O
Scarf	O
;	O
that	O
they	O
went	O
into	O
several	O
Shops	O
but	O
could	O
meet	O
with	O
none	O
to	O
fit	O
her	O
,	O
being	O
a	O
short	O
Woman	O
;	O
whereupon	O
they	O
went	O
into	O
the	O
Prosecutor	O
's	O
to	O
buy	O
Silk	O
to	O
make	O
one	O
;	O
that	O
she	O
bought	O
Silk	O
for	O
one	O
and	O
paid	O
for	O
it	O
,	O
and	O
going	O
Home	O
,	O
bethought	O
her	O
self	O
that	O
her	O
Hood	O
,	O
which	O
was	O
old	O
and	O
rusty	O
,	O
would	O
not	O
look	O
well	O
with	O
a	O
new	O
Scarf	O
,	O
they	O
went	O
back	O
to	O
buy	O
more	O
Silk	O
for	O
a	O
Hood	O
,	O
and	O
were	O
charged	O
by	O
the	O
Prosecutor	O
with	O
stealing	O
the	O
Silk	O
aforesaid	O
,	O
which	O
she	O
declared	O
she	O
knew	O
nothing	O
of	O
,	O
and	O
called	O
several	O
to	O
her	O
Reputation	O
,	O
who	O
gave	O
her	O
a	O
very	O
good	O
Character	O
.	O
The	O
Jury	O
considering	O
the	O
whole	O
matter	O
Acquitted	O
her	O
,	O
but	O
the	O
Evidence	O
being	O
very	O
full	O
and	O
positive	O
against	O
Jones	O
,	O
they	O
found	O
her	O
Guilty	O
of	O
the	O
Indictment	O
.	O
Death	O
.	O
John	B-pers
Wilson	I-pers
,	O
of	O
St.	B-place
Stephen	I-place
Colemanstreet	I-place
,	O
was	O
indicted	O
for	O
breaking	O
open	O
the	O
House	O
of	O
Philip	B-pers
Constable	I-pers
in	O
the	O
Night-time	O
,	O
with	O
an	O
intention	O
to	O
steal	O
,	O
on	O
the	O
12th	O
of	O
this	O
Instant	O
January	O
.	O
The	O
Prosecutor	O
deposed	O
,	O
that	O
about	O
6	O
a	O
Clock	O
in	O
the	O
Morning	O
he	O
hearing	O
a	O
Noise	O
,	O
got	O
up	O
and	O
found	O
the	O
Prisoner	O
breaking	O
open	O
his	O
Lock	O
,	O
which	O
he	O
let	O
him	O
alone	O
to	O
do	O
,	O
and	O
then	O
went	O
out	O
and	O
seiz	O
'd	O
him	O
by	O
the	O
Collar	O
.	O
The	O
Prisoner	O
pleaded	O
that	O
he	O
came	O
to	O
Town	O
on	O
his	O
Master	O
's	O
Business	O
,	O
and	O
by	O
his	O
Order	O
,	O
with	O
his	O
Cart	O
and	O
Horses	O
with	O
Gardening	O
for	O
Stock-Market	O
,	O
which	O
having	O
deliver	O
'd	O
,	O
as	O
he	O
was	O
going	O
for	O
a	O
Load	O
of	O
Dung	O
to	O
an	O
Inn	O
next	O
the	O
Prosecutor	O
's	O
House	O
,	O
just	O
as	O
he	O
came	O
against	O
his	O
Door	O
the	O
Prosecutor	O
came	O
out	O
and	O
seiz	O
'd	O
him	O
.	O
His	O
Master	O
deposed	O
he	O
sent	O
him	O
to	O
Market	O
as	O
aforesaid	O
,	O
and	O
order	O
'd	O
