TOKEN	NE
An	O
Account	O
of	O
the	O
PROCEEDINGS	O
AT	O
THE	O
SESSIONS	O
Of	O
Oyer	O
and	O
Terminer	O
,	O
and	O
Gaol-delivery	O
of	O
Newgate	O
:	O
Which	O
Began	O
at	O
the	O
Sessions-House	O
in	O
the	O
OLD-BAYLY	O
,	O
For	O
the	O
City	O
of	O
London	O
and	O
County	O
of	O
Middlesex	O
,	O
the	O
10	O
of	O
October	O
1683.	O
and	O
ended	O
the	O
Twelfth	O
of	O
the	O
same	O
Instant	O
.	O
Where	O
divers	O
persons	O
were	O
tryed	O
for	O
HIGH-TREASON	O
,	O
Murder	O
,	O
Felony	O
,	O
Burglary	O
,	O
and	O
other	O
Misdemeanors	O
.	O
With	O
the	O
Names	O
of	O
the	O
Persons	O
Condemned	O
,	O
Burnt	O
in	O
the	O
Hand	O
,	O
to	O
be	O
Whipt	O
,	O
and	O
Transported	O
.	O
JOhn	B-pers
Derry	I-pers
was	O
tryed	O
for	O
killing	O
Thomas	B-pers
Robinson	I-pers
,	O
in	O
the	O
Parish	O
of	O
St.	B-place
Bartholomew	I-place
the	I-place
Great	I-place
;	O
which	O
upon	O
Evidence	O
appeared	O
thus	O
:	O
the	O
Prisoner	O
and	O
the	O
Deceased	O
working	O
together	O
(	O
being	O
Printer	O
s	O
by	O
Trade	O
)	O
upon	O
some	O
words	O
passing	O
between	O
them	O
,	O
the	O
Prisoner	O
struck	O
the	O
Deceased	O
with	O
the	O
handle	O
of	O
a	O
Printers	O
Ball	O
,	O
drawing	O
blood	O
by	O
the	O
stroak	O
which	O
happening	O
on	O
the	O
27.	O
of	O
Joune	O
last	O
,	O
he	O
lived	O
till	O
the	O
23	O
of	O
August	O
,	O
and	O
then	O
dyed	O
;	O
but	O
no	O
former	O
Malice	O
appearing	O
,	O
and	O
the	O
Doctor	O
and	O
Chyrurgion	O
giving	O
Testimony	O
,	O
that	O
they	O
verily	O
believed	O
the	O
Deceased	O
died	O
a	O
natural	O
Death	O
,	O
not	O
being	O
any	O
ways	O
occasioned	O
by	O
that	O
stroak	O
,	O
the	O
Prisoner	O
was	O
acquitted	O
.	O
John	B-pers
Knight	I-pers
,	O
John	B-pers
Paybody	I-pers
,	O
and	O
Thomas	B-pers
Edmunds	I-pers
,	O
were	O
Tryed	O
upon	O
two	O
Indictments	O
;	O
one	O
for	O
stealing	O
two	O
Horses	O
;	O
one	O
from	O
Sir	O
Adam	B-pers
Brown	I-pers
,	O
and	O
the	O
other	O
from	O
one	O
Mr.	B-pers
Tapin	I-pers
near	O
Darkin	B-place
in	I-place
Surry	I-place
;	O
which	O
being	O
plainly	O
proved	O
,	O
they	O
were	O
all	O
found	O
guilty	O
of	O
the	O
Felony	O
.	O
[	O
Death	O
.	O
See	O
summary	O
.	O
]	O
Hugh	B-pers
Jones	I-pers
,	O
Sidny	B-pers
Vandelo	I-pers
,	O
Edward	B-pers
Williams	I-pers
,	O
Charles	B-pers
Dod	I-pers
,	O
and	O
Charles	B-pers
Roberts	I-pers
,	O
were	O
tryed	O
for	O
robbing	O
Richard	B-pers
Littleton	I-pers
of	O
a	O
Castor	O
,	O
and	O
four	O
Shillings	O
in	O
Money	O
,	O
taking	O
it	O
from	O
his	O
Person	O
in	O
the	O
Parish	O
of	O
St.	B-place
Michael	I-place
Cornhil	I-place
,	O
on	O
the	O
27.	O
of	O
September	O
last	O
,	O
which	O
being	O
proved	O
against	O
them	O
,	O
and	O
that	O
Sidney	O
Vandelo	O
,	O
one	O
of	O
them	O
,	O
had	O
run	O
the	O
Prosecutor	O
into	O
the	O
Body	O
,	O
and	O
that	O
they	O
were	O
notorious	O
Pick-pockets	O
,	O
they	O
were	O
found	O
guilty	O
of	O
the	O
Felony	O
and	O
Robbery	O
.	O
[	O
Death	O
.	O
See	O
summary	O
.	O
]	O
Elizabeth	B-pers
Hare	I-pers
was	O
Tryed	O
for	O
Clipping	O
divers	O
Half-Crowns	O
,	O
Shillings	O
,	O
and	O
Six-pences	O
,	O
of	O
the	O
Lawful	O
and	O
Currant	O
Coyn	O
of	O
this	O
Kingdom	O
.	O
Upon	O
the	O
Tryal	O
,	O
the	O
Circumstances	O
were	O
thus	O
:	O
The	O
Prisoner	O
having	O
a	O
Maid-Servant	O
living	O
with	O
her	O
some	O
time	O
since	O
,	O
the	O
said	O
Servant	O
swore	O
,	O
That	O
she	O
saw	O
her	O
Mistriss	O
Clipping	O
divers	O
times	O
in	O
her	O
Closet	O
,	O
as	O
also	O
found	O
Clippings	O
there	O
,	O
with	O
Files	O
,	O
Shears	O
,	O
and	O
Aqua	O
Fortis	O
:	O
And	O
further	O
,	O
That	O
she	O
had	O
taken	O
a	O
Bond	O
on	O
her	O
,	O
to	O
conceal	O
her	O
Secrets	O
.	O
It	O
was	O
also	O
alledged	O
,	O
That	O
she	O
had	O
formerly	O
Clipped	O
,	O
and	O
had	O
been	O
Convicted	O
of	O
it	O
:	O
And	O
that	O
divers	O
Instruments	O
and	O
some	O
Symptoms	O
of	O
Clippings	O
,	O
were	O
upon	O
search	O
found	O
in	O
her	O
House	O
.	O
Against	O
which	O
she	O
pleaded	O
,	O
That	O
it	O
was	O
done	O
in	O
Malice	O
,	O
&	O
c.	O
But	O
in	O
Fine	O
,	O
the	O
Jury	O
having	O
received	O
he	O
Charge	O
from	O
the	O
Court	O
,	O
they	O
found	O
her	O
Guilty	O
of	O
the	O
High-Treason	O
.	O
[	O
Death	O
.	O
See	O
summary	O
.	O
]	O
Jonathan	B-pers
Parsons	I-pers
,	O
Joseph	B-pers
Roberts	I-pers
,	O
and	O
Robert	B-pers
Thomas	I-pers
,	O
were	O
Tryed	O
for	O
stealing	O
a	O
Gelding	O
,	O
valued	O
at	O
10	O
pounds	O
,	O
from	O
one	O
John	B-pers
Newman	I-pers
of	O
Hampstead	B-place
,	O
on	O
the	O
26th	O
.	O
of	O
August	O
last	O
,	O
which	O
Horse	O
was	O
sold	O
to	O
another	O
person	O
by	O
Joseph	B-pers
Roberts	I-pers
;	O
but	O
upon	O
refusing	O
to	O
toll	O
him	O
,	O
the	O
Horse	O
and	O
Money	O
was	O
stopped	O
,	O
and	O
the	O
true	O
owner	O
found	O
;	O
but	O
it	O
appearing	O
that	O
Roberts	O
and	O
Thomas	O
had	O
no	O
hand	O
in	O
stealing	O
the	O
Horse	O
,	O
or	O
that	O
they	O
knew	O
he	O
was	O
stole	O
,	O
but	O
ignorantly	O
upon	O
the	O
word	O
of	O
Parsons	O
,	O
that	O
he	O
came	O
honestly	O
by	O
him	O
,	O
received	O
him	O
into	O
their	O
custody	O
,	O
they	O
were	O
acquitted	O
,	O
and	O
Parsons	O
only	O
found	O
guilty	O
of	O
the	O
Felony	O
;	O
but	O
being	O
tryed	O
on	O
another	O
Indictment	O
,	O
for	O
stealing	O
divers	O
silver	O
Tankards	O
,	O
from	O
Mr	B-pers
.	I-pers
Page	I-pers
of	O
St.	B-place
Bartholomew	I-place
the	I-place
Great	I-place
,	O
and	O
there	O
being	O
no	O
home	O
proof	O
against	O
him	O
,	O
he	O
was	O
acquitted	O
.	O
[	O
Death	O
.	O
See	O
summary	O
.	O
]	O
Robert	B-pers
Barrier	I-pers
,	O
was	O
indicted	O
,	O
