TOKEN	NE
The	O
TRUE	O
PROCEEDINGS	O
OF	O
THE	O
SESSIONS	O
,	O
Begun	O
at	O
the	O
OLD-BAYLY	O
,	O
On	O
Thursday	O
the	O
24th	O
.	O
of	O
May	O
,	O
1683	O
.	O
Giving	O
an	O
Account	O
of	O
the	O
several	O
Tryals	O
,	O
viz	O
.	O
for	O
Murders	O
,	O
Felonies	O
,	O
&	O
c	O
with	O
Condemnation	O
of	O
those	O
Convicted	O
.	O
Printed	O
by	O
Authority	O
.	O
Mary	B-pers
Philips	I-pers
(	O
being	O
one	O
that	O
Buys	O
and	O
Sells	O
Old	O
Cloaths	O
in	O
Thamesstreet	O
)	O
was	O
Indicted	O
for	O
being	O
accessory	O
with	O
Anne	B-pers
Parkinson	I-pers
to	O
the	O
stealing	O
a	O
black	O
Suit	O
,	O
a	O
Campagne	O
Coat	O
,	O
and	O
Several	O
other	O
Goods	O
from	O
one	O
Mr.	B-pers
Wood	I-pers
,	O
which	O
said	O
Parkinson	O
being	O
fled	O
,	O
is	O
Outlawed	O
for	O
the	O
same	O
.	O
The	O
principal	O
thing	O
which	O
aggravated	O
the	O
matter	O
against	O
Philips	O
was	O
,	O
that	O
she	O
did	O
not	O
keep	O
them	O
in	O
her	O
Shop	O
where	O
she	O
pretended	O
to	O
Buy	O
them	O
,	O
but	O
had	O
hidden	O
them	O
up	O
two	O
pair	O
of	O
Stairs	O
,	O
under	O
a	O
very	O
great	O
parcel	O
of	O
Old	O
Rags	O
.	O
But	O
many	O
Witnesses	O
speaking	O
to	O
her	O
good	O
Reputation	O
,	O
and	O
to	O
the	O
Buying	O
them	O
in	O
her	O
Shop	O
,	O
she	O
was	O
therefore	O
Acquitted	O
.	O
Isabel	B-pers
Barker	I-pers
,	O
Indicted	O
for	O
Keeping	O
a	O
Common	O
Bawdy-house	O
in	O
Moor-Lane	O
,	O
not	O
far	O
from	O
Moor-fields	O
;	O
but	O
there	O
being	O
no	O
proof	O
thereof	O
,	O
more	O
than	O
that	O
a	O
Married	O
Man	O
lay	O
for	O
some	O
time	O
at	O
her	O
House	O
with	O
a	O
Strumpet	O
as	O
Lodgers	O
,	O
and	O
affirming	O
they	O
were	O
Man	O
and	O
Wife	O
,	O
she	O
was	O
therefore	O
brought	O
in	O
not	O
Guilty	O
.	O
John	B-pers
Butler	I-pers
,	O
Indicted	O
for	O
Stealing	O
a	O
white	O
Caster	O
,	O
a	O
Sword	O
and	O
Belt	O
,	O
&	O
c	O
the	O
Witnesses	O
proved	O
that	O
he	O
coming	O
into	O
a	O
Publick	O
House	O
with	O
other	O
Company	O
to	O
Drink	O
,	O
and	O
being	O
shewed	O
into	O
an	O
upper	O
Room	O
,	O
he	O
left	O
his	O
Company	O
,	O
and	O
went	O
into	O
a	O
back	O
Chamber	O
,	O
from	O
whence	O
he	O
took	O
the	O
said	O
Goods	O
.	O
He	O
in	O
his	O
defence	O
said	O
,	O
the	O
Closet	O
or	O
Back-chamber	O
door	O
being	O
open	O
,	O
and	O
he	O
full	O
of	O
Drink	O
,	O
did	O
go	O
in	O
and	O
take	O
out	O
the	O
Sword	O
,	O
which	O
one	O
of	O
his	O
Consorts	O
afterwards	O
got	O
from	O
him	O
,	O
but	O
denied	O
the	O
rest	O
,	O
this	O
Confession	O
of	O
his	O
making	O
it	O
so	O
evident	O
,	O
he	O
was	O
found	O
Guilty	O
of	O
Felony	O
.	O
Christopher	B-pers
Gage	I-pers
,	O
a	O
kind	O
of	O
Beggar-man	O
,	O
under	O
pretence	O
of	O
Begging	O
,	O
went	O
into	O
a	O
Shop	O
,	O
and	O
put	O
up	O
some	O
Half-hundred	O
weights	O
(	O
or	O
one	O
at	O
least	O
)	O
into	O
a	O
Bag	O
,	O
which	O
being	O
noted	O
by	O
a	O
Milk-woman	O
he	O
fled	O
,	O
but	O
when	O
taken	O
confessed	O
he	O
had	O
at	O
times	O
Sold	O
four	O
such	O
Weights	O
to	O
a	O
Pewterer	O
,	O
all	O
which	O
were	O
lost	O
from	O
the	O
same	O
place	O
,	O
and	O
the	O
Pewterer	O
since	O
