TOKEN	NE
THE	O
PROCEEDINGS	O
AT	O
THE	O
SESSIONS	O
of	O
PEACE	O
,	O
Oyer	O
and	O
Terminer	O
,	O
FOR	O
THE	O
CITY	O
of	O
LONDON	O
,	O
AND	O
County	O
of	O
MIDDLESEX	O
,	O
ON	O
WEDNESDAY	O
the	O
21st	O
,	O
THURSDAY	O
the	O
22d	O
,	O
FRIDAY	O
the	O
23d	O
,	O
and	O
SATURDAY	O
the	O
24th	O
,	O
of	O
February	O
.	O
In	O
the	O
12th	O
Year	O
of	O
His	O
MAJESTY	O
'S	O
Reign	O
.	O
BEING	O
THE	O
Third	O
SESSIONS	O
in	O
the	O
MAYORALTY	O
OF	O
THE	O
Right	O
Honourable	O
Micajah	O
Perry	O
,	O
Esquire	O
,	O
LORD	O
-	O
MAYOR	O
of	O
the	O
CITY	O
of	O
LONDON	O
.	O
NUMBER	O
III	O
.	O
LONDON	O
:	O
Printed	O
and	O
Sold	O
by	O
T.	O
COOPER	O
,	O
at	O
the	O
Globe	O
in	O
Pater-noster	O
Row	O
.	O
[	O
Price	O
SIX-PENCE	O
.	O
]	O
THE	O
PROCEEDINGS	O
AT	O
THE	O
Sessions	O
of	O
the	O
Peace	O
,	O
and	O
Oyer	O
and	O
Terminer	O
,	O
For	O
the	O
CITY	O
of	O
LONDON	O
,	O
&	O
c.	O
BEFORE	O
the	O
Right	O
Honourable	O
MICAJAH	B-pers
PERRY	I-pers
,	O
Esq	O
;	O
Lord-Mayor	O
of	O
the	O
City	O
of	O
London	O
;	O
Mr.	O
Justice	O
PAGE	O
,	O
Mr.	O
Baron	B-pers
CARTER	I-pers
,	O
Mr.	O
Justice	O
FORTESCUE	O
,	O
Mr.	O
Serjeant	O
URLIN	O
,	O
Deputy	O
Recorder	O
of	O
the	O
City	O
of	O
London	O
,	O
and	O
others	O
of	O
his	O
Majesty	O
's	O
Justices	O
of	O
Oyer	O
and	O
Terminer	O
of	O
the	O
City	O
of	O
London	O
,	O
and	O
Justices	O
of	O
Goal	O
Delivery	O
of	O
Newgate	O
,	O
holden	O
for	O
the	O
said	O
City	O
and	O
County	O
of	O
Middlesex	O
.	O
London	O
Jury	O
.	O
Thomas	B-pers
Gregg	I-pers
,	O
John	B-pers
Phillibrown	I-pers
,	O
John	B-pers
Haines	I-pers
,	O
Samuel	B-pers
Champion	I-pers
,	O
Peter	B-pers
Blunt	I-pers
,	O
Richard	B-pers
Hawkins	I-pers
,	O
Moses	B-pers
Alnard	I-pers
,	O
George	B-pers
Randall	I-pers
,	O
John	B-pers
Worral	I-pers
,	O
Richard	B-pers
Day	I-pers
,	O
Arthur	B-pers
Loveledge	I-pers
,	O
Thomas	B-pers
Ballard	I-pers
.	O
Middlesex	O
Jury	O
.	O
Philip	B-pers
Chandler	I-pers
,	O
John	B-pers
Dickens	I-pers
,	O
William	B-pers
Lockwood	I-pers
,	O
William	B-pers
Singleton	I-pers
,	O
John	B-pers
Eades	I-pers
,	O
Isaac	B-pers
Hancock	I-pers
,	O
Thomas	B-pers
Harrison	I-pers
,	O
John	B-pers
Sheppard	I-pers
,	O
Richard	B-pers
Oakman	I-pers
,	O
William	B-pers
Cholmondley	I-pers
,	O
Thomas	B-pers
Keate	I-pers
,	O
Thomas	B-pers
Morris	I-pers
.	O
142.	O
Elizabeth	B-pers
Cale	I-pers
,	O
of	O
St.	B-place
Magnus	I-place
the	I-place
Martyr	I-place
,	O
was	O
indicted	O
for	O
stealing	O
a	O
Silver	O
Spoon	O
,	O
val	O
.	O
10	O
s.	O
the	O
Goods	O
of	O
William	B-pers
White	I-pers
,	O
Feb.	O
9	O
.	O
It	O
appeared	O
,	O
That	O
the	O
Prisoner	O
carried	O
the	O
Spoon	O
to	O
Jane	B-pers
Bunn	I-pers
,	O
in	O
order	O
to	O
pawn	O
it	O
.	O
Bunn	O
suspecting	O
it	O
was	O
not	O
honestly	O
come	O
by	O
,	O
sent	O
her	O
Servant	O
,	O
with	O
the	O
Spoon	O
and	O
the	O
Prisoner	O
,	O
to	O
Mr.	O
White	O
,	O
who	O
immediately	O
charged	O
her	O
with	O
the	O
Robbery	O
.	O
Guilty	O
,	O
10	O
d	O
.	O
[	O
Whipping	O
.	O
See	O
summary	O
.	O
]	O
143	O
.	O
*	O
William	B-pers
Udal	I-pers
+	O
was	O
indicted	O
for	O
assaulting	O
Thomas	B-pers
Thorn	I-pers
on	O
the	O
King	O
's	O
Highway	O
,	O
putting	O
him	O
in	O
Fear	O
,	O
&	O
c.	O
taking	O
from	O
him	O
a	O
Silver	O
Watch	O
with	O
a	O
Tortois-shell	O
Case	O
,	O
value	O
40	O
s.	O
a	O
Hat	O
,	O
value	O
2	O
s.	O
a	O
Brass	O
Seal	O
,	O
value	O
2	O
d.	O
and	O
four	O
Shillings	O
in	O
Money	O
,	O
Dec.	O
26	O
.	O
*	O
Udal	O
was	O
admitted	O
an	O
Evidence	O
against	O
John	B-pers
Slade	I-pers
and	O
Henry	B-pers
Fluellin	I-pers
,	O
last	O
September	O
Sessions	O
,	O
for	O
a	O
Street	O
Robbery	O
,	O
in	O
which	O
he	O
was	O
concerned	O
with	O
them	O
.	O
See	O
Sessions	O
Book	O
,	O
No	O
.	O
7.	O
p.	O
122	O
.	O
He	O
was	O
try	O
'd	O
the	O
same	O
Sessions	O
for	O
stealing	O
a	O
Hat	O
,	O
from	O
William	B-pers
Young	I-pers
in	O
his	O
Dwelling-House	O
,	O
and	O
convicted	O
;	O
but	O
received	O
corporal	O
Punishment	O
.	O
William	B-pers
Thorn	I-pers
.	O
I	O
was	O
robbed	O
of	O
my	O
Watch	O
,	O
and	O
a	O
Brass	O
Seal	O
,	O
and	O
my	O
Hat	O
,	O
and	O
four	O
Shillings	O
,	O
or	O
more	O
at	O
Holloway	B-place
;	O
but	O
I	O
ca	O
n't	O
swear	O
to	O
the	O
Prisoner	O
,	O
for	O
't	O
was	O
Night	O
;	O
I	O
was	O
going	O
from	O
Holloway	O
to	O
Highgate	O
,	O
when	O
they	O
were	O
taken	O
from	O
me	O
.	O
The	O
Watch	O
was	O
found	O
at	O
a	O
Pawn-Broker	O
's	O
in	O
Shoe-Lane	O
This	O
is	O
the	O
Watch	O
I	O
then	O
lost	O
.	O
Richard	B-pers
Wornel	I-pers
.	O
I	O
took	O
Mann	O
[	O
the	O
Evidence	O
]	O
and	O
Udal	O
.	O
Mann	O
told	O
me	O
they	O
had	O
robbed	O
two	O
Men	O
about	O
Highgate	O
,	O
and	O
told	O
me	O
where	O
this	O
Watch	O
was	O
pawned	O
.	O
I	O
found	O
out	O
the	O
Prosecutor	O
,	O
and	O
went	O
with	O
him	O
to	O
the	O
Pawnbroker	O
's	O
,	O
where	O
he	O
saw	O
the	O
Watch	O
and	O
claimed	O
it	O
.	O
Thomas	B-pers
Mann	I-pers
.	O
The	O
Day	O
after	O
Christmas	O
Day	O
the	O
Prisoner	O
and	O
I	O
were	O
going	O
to	O
the	O
Castle	O
at	O
Holloway	O
;	O
as	O
we	O
went	O
along	O
,	O
we	O
called	O
at	O
a	O
House	O
and	O
had	O
some	O
Pork	O
Stakes	O
.	O
We	O
returned	O
about	O
Seven	O
or	O
Eight	O
o'Clock	O
,	O
and	O
robbed	O
a	O
Man	O
of	O
a	O
Hat	O
;	O
Udal	O
took	O
the	O
Man	O
's	O
Watch	O
out	O
of	O
his	O
Pocket	O
,	O
and	O
some	O
Money	O
.	O
He	O
was	O
the	O
Man	O
that	O
robbed	O
the	O
Prosecutor	O
,	O
and	O
He	O
carry	O
'd	O
the	O
Things	O
Home	O
to	O
his	O
Lodgings	O
,	O
at	O
Mr.	O
Morris	O
's	O
in	O
White-Lyon-Court	O
;	O
and	O
next	O
Morning	O
he	O
and	O
I	O
carried	O
it	O
to	O
a	O
Pawnbroker	O
's	O
,	O
in	O
Shoe-Lane	O
,	O
and	O
he	O
pawned	O
it	O
for	O
ten	O
Shillings	O
,	O
while	O
I	O
stood	O
at	O
the	O
Door	O
.	O
He	O
brought	O
out	O
ten	O
Shillings	O
,	O
and	O
gave	O
me	O
five	O
.	O
Richard	B-pers
Wernel	I-pers
.	O
When	O
I	O
took	O
Mann	O
and	O
Udal	O
,	O
Mann	O
was	O
carried	O
to	O
one	O
House	O
,	O
and	O
Udal	O
to	O
another	O
.	O
Mann	O
desired	O
to	O
be	O
admitted	O
an	O
Evidence	O
,	O
and	O
it	O
was	O
granted	O
.	O
He	O
gave	O
me	O
Directions	O
where	O
the	O
Watch	O
was	O
pawned	O
for	O
ten	O
Shillings	O
.	O
I	O
went	O
to	O
the	O
Pawn-broker	O
's	O
,	O
and	O
demanded	O
the	O
Watch	O
,	O
telling	O
the	O
Man	O
it	O
was	O
stole	O
.	O
He	O
refused	O
to	O
produce	O
it	O
,	O
upon	O
which	O
I	O
sent	O
for	O
Mr.	O
Thorn	O
,	O
and	O
he	O
described	O
it	O
.	O
and	O
said	O
it	O
was	O
in	O
a	O
Tortois-shell	O
Case	O
,	O
and	O
a	O
Piece	O
was	O
broke	O
out	O
;	O
then	O
the	O
Pawnbroker	O
produced	O
it	O
,	O
and	O
Thorn	O
immediately	O
owned	O
it	O
;	O
but	O
we	O
could	O
not	O
have	O
it	O
,	O
unless	O
we	O
paid	O
twelve	O
Shillings	O
,	O
and	O
twelve	O
Shillings	O
I	O
was	O
obliged	O
to	O
pay	O
for	O
it	O
.	O
The	O
Prisoner	O
desired	O
to	O
be	O
admitted	O
an	O
Evidence	O
,	O
and	O
said	O
he	O
could	O
hang	O
three	O
or	O
four	O
;	O
but	O
,	O
as	O
he	O
had	O
been	O
admitted	O
an	O
Evidence	O
several	O
Times	O
before	O
,	O
his	O
Request	O
was	O
deny	O
'd	O
.	O
He	O
wanted	O
to	O
have	O
been	O
made	O
an	O
Evidence	O
against	O
Mann	O
,	O
and	O
said	O
he	O
could	O
put	O
three	O
or	O
four	O
more	O
into	O
his	O
Information	O
.	O
He	O
did	O
not	O
deny	O
the	O
Fact	O
at	O
all	O
.	O
Mann	O
.	O
The	O
Prisoner	O
would	O
have	O
killed	O
the	O
Man	O
,	O
for	O
fear	O
of	O
being	O
discovered	O
,	O
had	O
it	O
not	O
been	O
for	O
me	O
.	O
Thorn	O
.	O
Yes	O
;	O
He	O
threatened	O
me	O
;	O
-	O
't	O
was	O
upon	O
the	O
long	O
Causeway	O
.	O
Udal	O
.	O
The	O
Evidence	O
and	O
I	O
were	O
Debtors	O
in	O
the	O
Marshalsea	O
Prison	O
;	O
we	O
broke	O
out	O
and	O
made	O
our	O
Escape	O
.	O
He	O
has	O
done	O
this	O
for	O
Lucre	O
,	O
-	O
for	O
the	O
Sake	O
of	O
the	O
Reward	O
,	O
that	O
he	O
may	O
clear	O
himself	O
of	O
his	O
Debt	O
.	O
Mann	O
.	O
Udal	O
broke	O
open	O
the	O
Goal	O
himself	O
,	O
and	O
let	O
me	O
out	O
with	O
him	O
.	O
The	O
Pawnbroker	O
,	O
William	B-pers
Key	I-pers
,	O
was	O
sent	O
for	O
,	O
and	O
brought	O
into	O
Court	O
.	O
He	O
urged	O
that	O
he	O
was	O
but	O
a	O
Servant	O
to	O
Mr.	O
Crockat	O
.	O
Crockat	O
appeared	O
,	O
and	O
was	O
told	O
,	O
That	O
his	O
Profession	O
was	O
a	O
most	O
scandalous	O
one	O
;	O
That	O
Pawnbrokers	O
were	O
the	O
Encouragers	O
of	O
Felons	O
,	O
and	O
it	O
would	O
be	O
well	O
if	O
they	O
would	O
be	O
warned	O
to	O
get	O
into	O
honester	O
Callings	O
and	O
Employments	O
.	O
Crockat	O
and	O
another	O
Person	O
were	O
bound	O
for	O
Key	O
's	O
good	O
Behaviour	O
and	O
Appearance	O
next	O
Sessions	O
.	O
He	O
was	O
a	O
second	O
Time	O
indicted	O
for	O
assaulting	O
John	B-pers
Bradford	I-pers
on	O
the	O
King	O
's	O
Highway	O
,	O
putting	O
him	O
in	O
Fear	O
