TOKEN	NE
1a	O
-1179	O
.	O
Sponge	O
from	O
the	O
beach	O
at	O
fishers	B-place
Island	I-place
.	O
There	O
is	O
stone	O
of	O
it	O
thrown	O
up	O
by	O
the	O
sea	O
.	O
from	O
Mr	B-pers
.	I-pers
Winthorpe	I-pers
.	I-pers
from	O
New	B-place
England	I-place
.	O
202	O
-1180	O
.	O
A	O
large	O
globose	O
lapis	O
Astroites	O
undulatus	O
given	O
to	O
me	O
by	O
Mr	B-pers
.	I-pers
Haines	I-pers
-1181	O
.	O
An	O
astroites	O
wt	O
.	O
small	O
starrs	O
.	O
growing	O
upon	O
an	O
East	O
India	O
pearl	O
oyster	O
shell	O
,	O
the	O
substance	O
of	O
which	O
is	O
more	O
solid	O
&	O
the	O
holes	O
of	O
various	O
figures	O
.	O
from	O
the	O
East	B-place
Indies	I-place
by	O
Mr	B-pers
.	I-pers
Hodson	I-pers
from	O
Mocha	B-place
.	O
vid	O
Shells	O
No	O
.	O
22	O
205	O
208	O
.	O
-1182	O
.	O
Fungus	O
saxeus	O
from	O
Mocha	B-place
.	O
Id	O
.	O
205	O
-1183	O
.	O
A	O
smaller	O
bra	O
n	O
ched	O
,	O
solid	O
tho	O
it	O
hath	O
cavities	O
alongst	O
its	O
branches	O
.	O
Id	O
200	O
-1184	O
Rete	O
marinum	O
growing	O
upon	O
a	O
shell	O
.	O
Id	O
.	O
200	O
-1185	O
.	O
Corallium	O
fossile	O
dichotom	O
.	O
&	O
a	O
larger	O
sort	O
from	O
Witney	B-place
quarry	O
.	O
200	O
15	O
q	O
-1186	O
.	O
Astroites	O
fossil	O
from	O
the	O
same	O
.	O
75	O
200	O
-1187	O
.	O
Calix	O
corallinus	O
in	O
saxo	O
arenario	O
.	O
From	O
Dr	B-pers
.	I-pers
Breynius	I-pers
from	O
Dantzig	B-place
.	O
32	O
15	O
q	O
-1188	O
.	O
Spongia	O
spuria	O
dura	O
hollow	O
&	O
of	O
a	O
Conicall	O
figure	O
growing	O
on	O
white	O
corall	O
.	O
from	O
Mr	B-pers
.	I-pers
Laurie	I-pers
from	O
Campeche	B-place
.	O
200	O
-1189	O
.	O
White	O
corall	O
in	O
the	O
form	O
of	O
mamillæ.Id	O
.	O
200	O
-1190	O
.	O
Flatt	O
white	O
corall	O
wt	O
.	O
starry	O
cavities	O
thick	O
sett	O
on	O
each	O
side	O
.	O
Id	O
.	O
205	O
-1191	O
.	O
Branchedcorall	O
from	O
the	O
quarry	O
at	O
Witney	B-place
.	O
43	O
1192	O
.	O
Broad	O
corallium	O
porosum	O
of	O
a	O
blew	O
colour	O
from	O
sumatra	B-place
by	O
Mr	B-pers
.	I-pers
Cox	I-pers
.	O
32	O
-1193	O
.	O
Astroites.Id	O
.	O
32	O
-1194	O
.	O
The	O
same	O
wt	O
.	O
190.	O
sent	O
me	O
from	O
Virginia	B-place
by	O
Mr	B-pers
.	I-pers
Swymmor	I-pers
supposed	O
to	O
be	O
a	O
petrified	O
bone	O
from	O
the	O
Western	O
shore	O
of	O
Cheseapeak	B-place
bay	I-place
189	O
248	O
1195	O
.	O
Corallina	O
fruticosa	O
elation	O
ramisla	O
quaquaversum	O
expansis	O
colore	O
dilute	O
purpureo	O
from	O
the	O
shores	O
of	O
Georgia	B-place
by	O
Capt	B-pers
.	I-pers
Jenkins	I-pers
.	O
208	O
1196.	O
cof	O
lore	O
sulphures	O
wt	O
.	O
bustard	O
sponge	O
.	O
Id	B-place
.	O
208	O
1197.	O
lactuca	O
marina	O
.	O
Id	O
.	O
208	O
1198.	O
bastard	O
sponge	O
&	O
fucus	O
feniculaceus	O
.	O
Id	O
.	O
208	O
1199.	O
color	O
dilute	O
sulphurec	O
wt	O
lacti	O
mar	O
.	O
Id	O
1200.	O
spec	O
.	O
feniculaceus	O
Id	O
.	O
1201.	O
wt	O
a	O
solid	O
corall	O
white	O
Id	O
2	O
Coralls	O
.	O
1	O
.	O
Corallium	O
album	O
porosum	O
maximum	O
muricatum	O
.	O
Cat	O
.	O
Jam	O
.	O
p.	O
1	O
.	O
226	O
.	O
207	O
LXXIIII	O
2	O
.	O
Frutex	O
marinus	O
?	O
Rete	O
marin	O
.	O
branched	O
?	O
LXXVI	O
3	O
.	O
Corallium	O
porosum	O
album	O
maxi=	O
=mum	O
striatum	O
&	O
stellatum	O
.	O
from	O
the	O
Canaries	B-place
.	O
208	O
4	O
.	O
Corallina	O
fruticosa	O
elatior	O
ramis	O
quaquaversum	O
expansis	O
teretibus	O
.	O
Cat	O
.	O
Jam	O
.	O
p.	O
3.	O
upon	O
207	O
LXXXVIII	O
5	O
.	O
The	O
same	O
with	O
