TOKEN	NE
2	O
Fishes	O
.	O
2a	O
-1484	O
.	O
A	O
very	O
large	O
sharks	O
jaw	O
from	O
the	O
coast	O
of	O
Guinea	B-place
.	O
241	O
f	O
-1485	O
.	O
A	O
wholes	O
eye	O
from	O
Capt	B-pers
.	I-pers
Craycoot	I-pers
.	I-pers
m.	O
7	O
-1486	O
.	O
Bones	O
from	O
the	O
heads	O
of	O
fishes	O
small	O
.	O
P.	O
221.	O
i	O
.	O
-1487	O
.	O
22	O
W	O
larger	O
.	O
221.	O
i	O
.	O
-1488	O
.	O
Dentes	O
raiæ	O
.	O
221.	O
i	O
.	O
-1489	O
.	O
Lapides	O
e	O
capite	O
carpionum	O
.	O
L.	O
221.	O
i	O
.	O
-1490	O
.	O
Ova	O
piscium	O
petrefacta	O
.	O
mark	O
'd	O
382	O
.	O
221.	O
i	O
.	O
-1491	O
.	O
The	O
sword	O
of	O
a	O
sword	O
fish	O
,	O
rough	O
rounder	O
&	O
brown	O
.	O
221.	O
i	O
-1492	O
.	O
22	O
w	O
A	O
small	O
dog	O
fish	O
,	O
from	O
D	B-pers
r.	I-pers
Massy	I-pers
.	I-pers
in	O
Sp	O
.	O
V.	O
n.	O
7	O
-1493	O
.	O
1.	O
polypus	O
2	O
.	O
A	O
serpens	O
marinus	O
or	O
tenia	O
from	O
M	B-pers
r.	I-pers
Edgcomb	I-pers
from	O
near	O
Plymmouth	B-place
in	O
Sp	O
.	O
V.	O
n	O
7	O
.	O
-1494	O
.	O
1	O
.	O
A	O
weaver	O
.	O
2	O
.	O
Lumpus	O
?	O
w	O
t.	O
its	O
eggs	O
.	O
3	O
.	O
A	O
monstrous	O
Batata	O
resembling	O
a	O
human	O
body	O
.	O
in	O
Sp	O
V	O
n.	O
7	O
-1495.	O
cheple	O
One	O
of	O
the	O
round	O
bones	O
between	O
the	O
Vertebres	O
of	O
a	O
whale	O
239	O
-1496.	O
chaple	O
Another	O
wt	O
.	O
the	O
cartilage	O
going	O
between	O
both	O
thrown	O
uppon	O
the	O
Island	O
of	O
Bermudas	B-place
by	O
a	O
Storm	O
239	O
.	O
-1497	O
.	O
Ossa	O
carpioaum	O
.	O
221	O
i	O
.	O
-1498	O
.	O
An	O
egg	O
w	O
t.	O
its	O
appendices	O
taken	O
out	O
of	O
the	O
belly	O
of	O
a	O
dog	O
fish	O
.	O
at	O
Cows	O
.	O
Pet	O
.	O
221.	O
i	O
.	O
-1499	O
.	O
A	O
small	O
palat	O
of	O
an	O
orbis	O
.	O
P.	O
221.	O
l	O
-1500	O
.	O
Testapiscis	O
Catcher	O
dicta	O
Cun	O
.	O
P.	O
162.	O
g.	O
221.	O
i	O
-1501	O
.	O
The	O
bone	O
of	O
a	O
fish	O
.	O
221.	O
i	O
1502	O
.	O
The	O
Sceleta	O
of	O
fishes	O
in	O
a	O
blackislate	O
from	O
er	O
Garnet	O
Pet	O
N	O
o	O
.	O
5	O
-	O
N	O
o	O
.	O
68	O
P.	O
17	O
3	O
Fishes	O
.	O
1	O
.	O
Canis	O
Carchariæ	O
