TOKEN,NE
2,0
Fishes,0
.,0
2a,0
-1484,0
.,0
A,0
very,0
large,0
sharks,0
jaw,0
from,0
the,0
coast,0
of,0
Guinea,B-place
.,0
241,0
f,0
-1485,0
.,0
A,0
wholes,0
eye,0
from,0
Capt,B-pers
.,I-pers
Craycoot,I-pers
.,I-pers
m.,0
7,0
-1486,0
.,0
Bones,0
from,0
the,0
heads,0
of,0
fishes,0
small,0
.,0
P.,0
221.,0
i,0
.,0
-1487,0
.,0
22,0
W,0
larger,0
.,0
221.,0
i,0
.,0
-1488,0
.,0
Dentes,0
raiæ,0
.,0
221.,0
i,0
.,0
-1489,0
.,0
Lapides,0
e,0
capite,0
carpionum,0
.,0
L.,0
221.,0
i,0
.,0
-1490,0
.,0
Ova,0
piscium,0
petrefacta,0
.,0
mark,0
'd,0
382,0
.,0
221.,0
i,0
.,0
-1491,0
.,0
The,0
sword,0
of,0
a,0
sword,0
fish,0
",",0
rough,0
rounder,0
&,0
brown,0
.,0
221.,0
i,0
-1492,0
.,0
22,0
w,0
A,0
small,0
dog,0
fish,0
",",0
from,0
D,B-pers
r.,I-pers
Massy,I-pers
.,I-pers
in,0
Sp,0
.,0
V.,0
n.,0
7,0
-1493,0
.,0
1.,0
polypus,0
2,0
.,0
A,0
serpens,0
marinus,0
or,0
tenia,0
from,0
M,B-pers
r.,I-pers
Edgcomb,I-pers
from,0
near,0
Plymmouth,B-place
in,0
Sp,0
.,0
V.,0
n,0
7,0
.,0
-1494,0
.,0
1,0
.,0
A,0
weaver,0
.,0
2,0
.,0
Lumpus,0
?,0
w,0
t.,0
its,0
eggs,0
.,0
3,0
.,0
A,0
monstrous,0
Batata,0
resembling,0
a,0
human,0
body,0
.,0
in,0
Sp,0
V,0
n.,0
7,0
-1495.,0
cheple,0
One,0
of,0
the,0
round,0
bones,0
between,0
the,0
Vertebres,0
of,0
a,0
whale,0
239,0
-1496.,0
chaple,0
Another,0
wt,0
.,0
the,0
cartilage,0
going,0
between,0
both,0
thrown,0
uppon,0
the,0
Island,0
of,0
Bermudas,B-place
by,0
a,0
Storm,0
239,0
.,0
-1497,0
.,0
Ossa,0
carpioaum,0
.,0
221,0
i,0
.,0
-1498,0
.,0
An,0
egg,0
w,0
t.,0
its,0
appendices,0
taken,0
out,0
of,0
the,0
belly,0
of,0
a,0
dog,0
fish,0
.,0
at,0
Cows,0
.,0
Pet,0
.,0
221.,0
i,0
.,0
-1499,0
.,0
A,0
small,0
palat,0
of,0
an,0
orbis,0
.,0
P.,0
221.,0
l,0
-1500,0
.,0
Testapiscis,0
Catcher,0
dicta,0
Cun,0
.,0
P.,0
162.,0
g.,0
221.,0
i,0
-1501,0
.,0
The,0
bone,0
of,0
a,0
fish,0
.,0
221.,0
i,0
1502,0
.,0
The,0
Sceleta,0
of,0
fishes,0
in,0
a,0
blackislate,0
from,0
er,0
Garnet,0
Pet,0
N,0
o,0
.,0
5,0
-,0
N,0
o,0
.,0
68,0
P.,0
17,0
3,0
Fishes,0
.,0
1,0
.,0
Canis,0
Carchariæ,0
alt,0
.,0
Spec,0
.,0
u.,0
p.,0
+,0
n.,0
c.,0
2,0
.,0
6,0
d,0
d.,0
Worm,0
.,0
p.,0
271,0
.,0
2,0
.,0
Canis,0
Carchariæ,0
pinna,0
.,0
241,0
.,0
3,0
.,0
Canis,0
Carchariæ,0
cauda,0
.,0
4,0
f,0
241,0
.,0
4,0
.,0
Canis,0
Carchariæ,0
mandibulæ,0
.,0
f,0
5,0
.,0
A,0
black,0
slate,0
with,0
the,0
impression,0
of,0
