TOKEN	NE
1a	0
-1179	0
.	0
Sponge	0
from	0
the	0
beach	0
at	0
fishers	0
Island	B-place
.	0
There	0
is	0
stone	0
of	0
it	0
thrown	0
up	0
by	0
the	0
sea	0
.	0
from	0
Mr	B-pers
.	I-pers
Winthorpe	I-pers
.	I-pers
from	0
New	B-place
England	I-place
.	0
202	0
-1180	0
.	0
A	0
large	0
globose	0
lapis	0
Astroites	0
undulatus	0
given	0
to	0
me	0
by	0
Mr	B-pers
.	I-pers
Haines	I-pers
-1181	0
.	0
An	0
astroites	0
wt	0
.	0
small	0
starrs	0
.	0
growing	0
upon	0
an	0
East	0
India	0
pearl	0
oyster	0
shell	0
,	0
the	0
substance	0
of	0
which	0
is	0
more	0
solid	0
&	0
the	0
holes	0
of	0
various	0
figures	0
.	0
from	0
the	0
East	B-place
Indies	I-place
by	0
Mr	B-pers
.	I-pers
Hodson	I-pers
from	0
Mocha	B-place
.	0
vid	0
Shells	0
No	0
.	0
22	0
205	0
208	0
.	0
-1182	0
.	0
Fungus	0
saxeus	0
from	0
Mocha	B-place
.	0
Id	0
.	0
205	0
-1183	0
.	0
A	0
smaller	0
bra	0
n	0
ched	0
,	0
solid	0
tho	0
it	0
hath	0
cavities	0
alongst	0
its	0
branches	0
.	0
Id	0
200	0
-1184	0
Rete	0
marinum	0
growing	0
upon	0
a	0
shell	0
.	0
Id	0
.	0
200	0
-1185	0
.	0
Corallium	0
fossile	0
dichotom	0
.	0
&	0
a	0
larger	0
sort	0
from	0
Witney	B-place
quarry	0
.	0
200	0
15	0
q	0
-1186	0
.	0
Astroites	0
fossil	0
from	0
the	0
same	0
.	0
75	0
200	0
-1187	0
.	0
Calix	0
corallinus	0
in	0
saxo	0
arenario	0
.	0
From	0
Dr	B-pers
.	I-pers
Breynius	I-pers
from	0
Dantzig	B-place
.	0
32	0
15	0
q	0
-1188	0
.	0
Spongia	0
spuria	0
dura	0
hollow	0
&	0
of	0
a	0
Conicall	0
figure	0
growing	0
on	0
white	0
corall	0
.	0
from	0
Mr	B-pers
.	I-pers
Laurie	I-pers
from	0
Campeche	B-place
.	0
200	0
-1189	0
.	0
White	0
corall	0
in	0
the	0
form	0
of	0
mamillæ.Id	0
.	0
200	0
-1190	0
.	0
Flatt	0
white	0
corall	0
wt	0
.	0
starry	0
cavities	0
thick	0
sett	0
on	0
each	0
side	0
.	0
Id	0
.	0
205	0
-1191	0
.	0
Branchedcorall	0
from	0
the	0
quarry	0
at	0
Witney	B-place
.	0
43	0
1192	0
.	0
Broad	0
corallium	0
porosum	0
of	0
a	0
blew	0
colour	0
from	0
sumatra	0
by	0
Mr	B-pers
.	I-pers
Cox	I-pers
.	0
32	0
-1193	0
.	0
Astroites.Id	0
.	0
32	0
-1194	0
.	0
The	0
same	0
wt	0
.	0
190.	0
sent	0
me	0
from	0
Virginia	B-place
by	0
Mr	B-pers
.	I-pers
Swymmor	I-pers
supposed	0
to	0
be	0
a	0
petrified	0
bone	0
from	0
the	0
Western	0
shore	0
of	0
Cheseapeak	B-place
bay	0
189	0
248	0
1195	0
.	0
Corallina	0
fruticosa	0
elation	0
ramisla	0
quaquaversum	0
expansis	0
colore	0
dilute	0
purpureo	0
from	0
the	0
shores	0
of	0
Georgia	B-place
by	0
Capt	B-pers
.	I-pers
Jenkins	I-pers
.	0
208	0
1196.	0
cof	0
lore	0
sulphures	0
wt	0
.	0
bustard	0
sponge	0
.	0
Id	B-place
.	0
208	0
1197.	0
lactuca	0
marina	0
.	0
Id	0
.	0
208	0
1198.	0
bastard	0
sponge	0
&	0
fucus	0
feniculaceus	0
.	0
Id	0
.	0
208	0
1199.	0
color	0
dilute	0
sulphurec	0
wt	0
lacti	0
mar	0
.	0
Id	0
1200.	0
spec	0
.	0
feniculaceus	0
Id	0
.	0
1201.	0
wt	0
a	0
solid	0
corall	0
white	0
Id	0
2	0
Coralls	0
.	0
1	0
.	0
Corallium	0
album	0
porosum	0
maximum	0
muricatum	0
.	0
Cat	0
.	0
Jam	0
.	0
p.	0
1	0
.	0
226	0
.	0
207	0
LXXIIII	0
2	0
.	0
Frutex	0
marinus	0
?	0
Rete	0
marin	0
.	0
branched	0
?	0
LXXVI	0
3	0
.	0
Corallium	0
porosum	0
album	0
maxi=	0
=mum	0
striatum	0
&	0
stellatum	0
.	0
from	0
the	0
Canaries	B-place
.	0
208	0
4	0
.	0
Corallina	0
fruticosa	0
elatior	0
ramis	0
quaquaversum	0
expansis	0
teretibus	0
.	0
Cat	0
.	0
Jam	0
.	0
p.	0
3.	0
upon	0
207	0
LXXXVIII	0
5	0
.	0
The	0
same	0
with	0
No	0
.	0
3.	0
with	0
barnacles	0
upon	0
it	0
.	0
208	0
6	0
.	0
The	0
same	0
.	0
208	0
7	0
.	0
Frutex	0
marinus	0
?	0
Vid	0
the	0
same	0
growing	0
in	0
the	0
soundings	0
No	0
.	0
298	0
.	0
LXXIX	0
upon	0
206	0
8	0
.	0
Corallium	0
asperum	0
candicans	0
adult	0
=erinum	0
.	0
J.B	0
?	0
upon	0
200	0
C	0
